Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51
ClassI:LTR	0.002	0.003	0.005	0.008	0.012	0.019	0.026	0.034	0.048	0.054	0.055	0.057	0.056	0.055	0.053	0.051	0.048	0.046	0.045	0.042	0.04	0.037	0.034	0.03	0.027	0.024	0.021	0.018	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.001	0.002	0.005	0.008	0.014	0.02	0.025	0.031	0.038	0.043	0.048	0.052	0.055	0.057	0.058	0.058	0.059	0.057	0.055	0.051	0.049	0.043	0.037	0.032	0.025	0.021	0.016	0.012	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.241	0.013	0.023	0.027	0.035	0.026	0.015	0.023	0.027	0.029	0.023	0.024	0.031	0.036	0.032	0.029	0.032	0.031	0.034	0.032	0.032	0.032	0.03	0.027	0.025	0.02	0.017	0.014	0.011	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.002	0.006	0.012	0.012	0.011	0.015	0.014	0.013	0.015	0.019	0.026	0.026	0.024	0.024	0.025	0.025	0.025	0.029	0.032	0.038	0.041	0.038	0.042	0.044	0.041	0.047	0.052	0.055	0.059	0.054	0.045	0.036	0.023	0.014	0.008	0.004	0.002	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.0	0.001	0.003	0.005	0.008	0.011	0.013	0.015	0.017	0.018	0.023	0.026	0.03	0.035	0.041	0.045	0.05	0.053	0.055	0.056	0.058	0.056	0.055	0.052	0.047	0.044	0.037	0.031	0.027	0.023	0.02	0.016	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.002	0.004	0.007	0.008	0.011	0.017	0.022	0.03	0.03	0.04	0.057	0.064	0.058	0.067	0.066	0.067	0.068	0.062	0.057	0.052	0.044	0.035	0.032	0.026	0.019	0.015	0.012	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0
ClassI:SINE	0.001	0.001	0.001	0.007	0.007	0.011	0.016	0.02	0.023	0.026	0.028	0.029	0.034	0.033	0.034	0.035	0.04	0.048	0.048	0.046	0.05	0.052	0.053	0.052	0.052	0.051	0.045	0.035	0.029	0.024	0.018	0.016	0.011	0.009	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.0	0.001	0.002	0.006	0.009	0.016	0.025	0.032	0.034	0.038	0.037	0.041	0.04	0.045	0.049	0.059	0.06	0.067	0.068	0.073	0.065	0.059	0.05	0.04	0.033	0.021	0.013	0.009	0.004	0.002	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.004	0.011	0.017	0.028	0.035	0.033	0.033	0.029	0.031	0.031	0.035	0.032	0.026	0.027	0.034	0.038	0.034	0.03	0.034	0.029	0.032	0.027	0.027	0.031	0.034	0.039	0.042	0.049	0.048	0.039	0.028	0.015	0.008	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.074	0.088	0.074	0.081	0.062	0.042	0.038	0.038	0.042	0.039	0.022	0.029	0.023	0.013	0.022	0.028	0.025	0.02	0.018	0.013	0.023	0.01	0.019	0.01	0.02	0.022	0.035	0.019	0.005	0.006	0.01	0.021	0.004	0.002	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.003	0.002	0.003	0.01	0.018	0.026	0.066	0.066	0.116	0.098	0.115	0.079	0.08	0.064	0.051	0.05	0.037	0.034	0.019	0.015	0.014	0.011	0.008	0.009	0.002	0.002	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
