Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	50-51
Simple_repeat	0.232	0.02	0.026	0.026	0.037	0.023	0.015	0.023	0.025	0.026	0.021	0.023	0.03	0.034	0.03	0.029	0.033	0.032	0.035	0.034	0.036	0.034	0.032	0.029	0.027	0.022	0.017	0.015	0.011	0.008	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassII:TIR	0.005	0.014	0.019	0.021	0.023	0.025	0.026	0.027	0.031	0.03	0.031	0.034	0.037	0.038	0.04	0.045	0.051	0.056	0.06	0.061	0.059	0.053	0.048	0.039	0.032	0.026	0.018	0.014	0.011	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Satellite	0.002	0.016	0.005	0.01	0.013	0.023	0.029	0.032	0.047	0.055	0.059	0.061	0.079	0.136	0.106	0.078	0.065	0.048	0.036	0.025	0.019	0.015	0.012	0.01	0.006	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.005	0.01	0.017	0.028	0.038	0.042	0.046	0.049	0.051	0.051	0.049	0.047	0.046	0.044	0.043	0.041	0.041	0.039	0.037	0.034	0.034	0.031	0.028	0.025	0.022	0.019	0.017	0.014	0.012	0.01	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Unknown	0.007	0.009	0.012	0.017	0.022	0.027	0.03	0.033	0.036	0.035	0.038	0.04	0.041	0.044	0.047	0.051	0.054	0.056	0.056	0.053	0.053	0.048	0.042	0.036	0.028	0.024	0.018	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.011	0.025	0.016	0.009	0.008	0.011	0.015	0.013	0.012	0.013	0.013	0.016	0.017	0.025	0.028	0.042	0.055	0.071	0.068	0.065	0.068	0.063	0.062	0.053	0.043	0.037	0.032	0.026	0.022	0.018	0.014	0.01	0.007	0.005	0.002	0.002	0.001	0.0	0.0	0	0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.004	0.007	0.009	0.012	0.019	0.023	0.031	0.03	0.043	0.054	0.063	0.055	0.066	0.064	0.066	0.067	0.061	0.06	0.054	0.047	0.036	0.034	0.026	0.019	0.014	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:Rolling_Circle	0.0	0.007	0.011	0.015	0.018	0.014	0.012	0.011	0.01	0.01	0.016	0.024	0.029	0.034	0.043	0.059	0.061	0.074	0.068	0.076	0.079	0.077	0.067	0.051	0.038	0.026	0.018	0.013	0.01	0.006	0.007	0.008	0.004	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0.001	0.002	0.001	0	0	0	0	0.001	0.003	0.004	0.005	0.007	0.02	0.02	0.028	0.028	0.042	0.066	0.082	0.097	0.096	0.088	0.095	0.07	0.068	0.058	0.044	0.023	0.021	0.017	0.006	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.001	0.006	0.044	0.205	0.231	0.099	0.064	0.028	0.015	0.027	0.028	0.013	0.017	0.028	0.026	0.024	0.019	0.023	0.023	0.015	0.012	0.017	0.006	0.003	0.008	0.005	0.005	0.001	0.003	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.21	0.077	0.072	0.066	0.061	0.017	0.022	0.022	0.028	0.028	0.006	0.033	0	0.011	0.017	0.011	0.028	0.011	0.011	0.006	0.033	0.006	0.022	0.017	0.011	0.072	0.033	0.022	0.028	0	0.006	0.006	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0.005	0	0.005	0.027	0.022	0.016	0.016	0.016	0.005	0.005	0.027	0.033	0.055	0.033	0.044	0.044	0.082	0.099	0.055	0.143	0.115	0.044	0.038	0.033	0.022	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.005	0.096	0.027	0.043	0.021	0.019	0.053	0.045	0.059	0.051	0.088	0.059	0.085	0.091	0.075	0.027	0.072	0.019	0.021	0.016	0.008	0.005	0.003	0.003	0.003	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
