Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	50-51
ClassI:LTR	0.003	0.004	0.008	0.015	0.025	0.035	0.039	0.042	0.048	0.05	0.054	0.053	0.053	0.051	0.049	0.047	0.043	0.04	0.038	0.036	0.035	0.032	0.031	0.028	0.026	0.025	0.02	0.018	0.014	0.012	0.009	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.004	0.003	0.012	0.014	0.022	0.021	0.024	0.024	0.026	0.028	0.031	0.035	0.038	0.045	0.048	0.055	0.06	0.066	0.067	0.065	0.062	0.053	0.047	0.038	0.028	0.023	0.018	0.013	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Satellite	0	0.001	0	0.003	0.002	0.006	0.004	0.003	0.004	0.007	0.009	0.022	0.037	0.133	0.296	0.227	0.072	0.031	0.018	0.015	0.011	0.01	0.012	0.009	0.014	0.015	0.016	0.007	0.007	0.003	0.002	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.008	0.003	0.008	0.01	0.014	0.017	0.023	0.027	0.031	0.033	0.039	0.042	0.044	0.046	0.048	0.052	0.056	0.06	0.061	0.059	0.059	0.053	0.046	0.039	0.031	0.026	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.002	0.004	0.007	0.008	0.01	0.019	0.024	0.032	0.033	0.041	0.054	0.062	0.06	0.066	0.066	0.066	0.068	0.063	0.053	0.053	0.047	0.036	0.032	0.026	0.02	0.013	0.011	0.006	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.0	0.0	0.0	0.001	0.001	0.001	0.002	0.002	0.004	0.005	0.007	0.01	0.014	0.018	0.024	0.032	0.041	0.048	0.056	0.055	0.055	0.051	0.044	0.039	0.033	0.03	0.033	0.057	0.108	0.119	0.068	0.023	0.009	0.005	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.188	0.01	0.016	0.023	0.036	0.023	0.014	0.023	0.027	0.028	0.024	0.025	0.034	0.038	0.034	0.034	0.038	0.037	0.04	0.037	0.038	0.038	0.036	0.03	0.03	0.024	0.019	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:SINE	0	0.001	0.001	0.01	0.007	0.011	0.026	0.015	0.014	0.008	0.012	0.015	0.014	0.015	0.023	0.022	0.029	0.03	0.047	0.057	0.072	0.079	0.081	0.079	0.066	0.054	0.058	0.039	0.039	0.028	0.019	0.008	0.012	0.001	0.006	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.011	0.023	0.031	0.038	0.059	0.074	0.052	0.043	0.041	0.042	0.04	0.038	0.036	0.032	0.023	0.021	0.013	0.015	0.013	0.016	0.014	0.023	0.02	0.028	0.026	0.027	0.04	0.033	0.035	0.034	0.024	0.012	0.016	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0.013	0	0.087	0.025	0.05	0.025	0.087	0.05	0.05	0.05	0.037	0.05	0.062	0.025	0.05	0.05	0.037	0.025	0.1	0.025	0.025	0.037	0	0	0	0.013	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
