Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	41-42	45-46
Unknown	0.216	0.054	0.031	0.029	0.025	0.022	0.018	0.016	0.02	0.019	0.026	0.022	0.026	0.025	0.032	0.031	0.033	0.034	0.035	0.032	0.038	0.031	0.03	0.026	0.026	0.023	0.02	0.016	0.012	0.01	0.008	0.004	0.004	0.002	0.001	0.001	0	0.0	0.0	0.0	0	0
Simple_repeat	0.112	0.0	0.002	0.018	0.044	0.027	0.016	0.027	0.035	0.035	0.032	0.032	0.038	0.048	0.04	0.04	0.042	0.042	0.046	0.039	0.04	0.043	0.035	0.026	0.028	0.022	0.021	0.015	0.014	0.01	0.007	0.007	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0
ClassI:LINE	0.186	0.035	0.021	0.011	0.006	0.018	0.017	0.016	0.02	0.03	0.025	0.027	0.029	0.027	0.025	0.03	0.027	0.023	0.031	0.025	0.034	0.032	0.02	0.033	0.031	0.033	0.027	0.04	0.032	0.019	0.023	0.012	0.014	0.008	0.008	0.006	0.001	0	0.001	0	0	0
ClassI:LTR	0.11	0.029	0.029	0.018	0.012	0.011	0.014	0.014	0.015	0.017	0.019	0.026	0.022	0.027	0.029	0.033	0.035	0.035	0.037	0.036	0.042	0.047	0.046	0.051	0.048	0.043	0.042	0.032	0.026	0.024	0.013	0.007	0.004	0.003	0.001	0.001	0.0	0	0	0.0	0	0
ClassII:TIR	0.115	0.034	0.039	0.02	0.015	0.009	0.012	0.008	0.013	0.017	0.016	0.016	0.026	0.029	0.035	0.037	0.046	0.043	0.045	0.039	0.051	0.042	0.045	0.043	0.033	0.034	0.028	0.025	0.025	0.023	0.014	0.01	0.007	0.003	0.002	0.001	0.001	0	0	0	0	0
ClassII:Rolling_Circle	0.273	0.045	0.057	0.003	0.019	0.017	0.005	0.019	0.002	0.023	0.016	0.009	0.017	0.012	0.012	0.01	0.014	0.026	0.01	0.012	0.03	0.023	0.026	0.016	0.052	0.042	0.038	0.035	0.031	0.035	0.019	0.01	0.014	0.021	0.007	0	0	0	0	0	0	0
Low_complexity	0	0	0.001	0.001	0.001	0.002	0.005	0.008	0.01	0.014	0.029	0.031	0.04	0.034	0.051	0.061	0.061	0.071	0.06	0.052	0.065	0.069	0.059	0.048	0.053	0.042	0.026	0.026	0.019	0.017	0.014	0.01	0.005	0.007	0.002	0.002	0.002	0.001	0.0	0.0	0	0
ClassI:SINE	0.071	0.016	0.029	0.013	0.019	0.01	0.013	0.013	0.003	0.039	0.042	0.042	0.045	0.032	0.052	0.081	0.048	0.039	0.039	0.045	0.029	0.048	0.055	0.035	0.039	0.045	0.003	0.019	0.016	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.367	0.067	0.3	0	0	0	0.033	0	0	0	0.033	0.067	0.1	0	0	0	0	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.241	0.172	0	0	0	0	0.31	0	0	0	0	0.069	0.034	0.069	0.069	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.164	0.066	0.016	0.016	0	0	0	0	0	0	0.033	0.016	0.016	0	0.098	0.066	0.098	0.049	0.033	0.082	0.098	0	0.016	0.033	0.066	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.178	0	0	0	0	0	0	0	0	0	0.067	0	0.022	0.022	0.022	0.222	0.089	0	0.067	0.111	0	0.067	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.522	0	0	0	0	0	0	0	0	0.015	0	0.045	0.104	0.015	0	0.09	0	0	0	0.03	0.134	0.015	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
