Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	48-49	49-50
Unknown	0.209	0.057	0.042	0.028	0.027	0.029	0.028	0.026	0.025	0.024	0.028	0.026	0.025	0.028	0.024	0.022	0.022	0.021	0.02	0.02	0.026	0.033	0.066	0.069	0.023	0.015	0.01	0.007	0.005	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0
Simple_repeat	0.157	0.011	0.029	0.04	0.038	0.028	0.024	0.028	0.031	0.029	0.028	0.024	0.03	0.032	0.03	0.03	0.031	0.029	0.032	0.029	0.03	0.032	0.03	0.027	0.028	0.025	0.022	0.02	0.017	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassI:LINE	0.152	0.118	0.06	0.043	0.03	0.027	0.035	0.022	0.021	0.02	0.02	0.028	0.022	0.023	0.021	0.023	0.023	0.024	0.023	0.025	0.028	0.027	0.027	0.025	0.023	0.024	0.022	0.017	0.015	0.011	0.008	0.005	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0
Low_complexity	0.001	0.0	0.0	0.002	0.001	0.002	0.006	0.007	0.009	0.013	0.023	0.025	0.034	0.036	0.041	0.062	0.061	0.059	0.067	0.063	0.064	0.065	0.058	0.051	0.047	0.04	0.034	0.028	0.024	0.022	0.015	0.012	0.008	0.007	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0.0
ClassII:TIR	0.052	0.024	0.018	0.014	0.016	0.102	0.267	0.104	0.019	0.012	0.011	0.016	0.021	0.017	0.015	0.013	0.015	0.017	0.018	0.017	0.021	0.02	0.021	0.021	0.023	0.021	0.018	0.017	0.014	0.01	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.13	0.085	0.059	0.052	0.054	0.048	0.028	0.029	0.023	0.024	0.023	0.022	0.022	0.024	0.024	0.023	0.027	0.023	0.024	0.018	0.024	0.024	0.024	0.022	0.017	0.018	0.025	0.017	0.016	0.013	0.01	0.007	0.007	0.007	0.004	0.003	0.0	0.002	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.166	0.071	0.049	0.047	0.046	0.048	0.035	0.034	0.046	0.04	0.039	0.038	0.04	0.04	0.038	0.031	0.035	0.025	0.022	0.018	0.022	0.015	0.013	0.012	0.008	0.01	0.003	0.004	0.002	0.0	0.001	0	0	0.0	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.053	0.036	0.007	0.019	0.007	0.01	0.009	0.009	0.039	0.031	0.047	0.023	0.012	0.022	0.033	0.047	0.042	0.033	0.037	0.058	0.093	0.099	0.071	0.044	0.023	0.025	0.03	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:PLE	0.068	0.057	0.096	0.099	0.084	0.045	0.033	0.029	0.034	0.02	0.028	0.036	0.026	0.018	0.028	0.03	0.028	0.023	0.023	0.016	0.023	0.02	0.032	0.022	0.023	0.014	0.015	0.008	0.008	0.002	0.004	0.002	0.001	0	0	0.003	0.003	0.001	0.002	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.663	0.079	0.03	0.021	0.018	0.015	0.011	0.019	0.006	0.024	0.012	0.01	0.002	0.007	0.007	0.002	0.004	0.006	0.006	0.006	0.016	0.003	0.005	0.011	0.009	0.005	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.04	0.014	0.049	0.03	0.025	0.029	0.029	0.028	0.026	0.074	0.039	0.038	0.039	0.046	0.043	0.055	0.056	0.042	0.045	0.082	0.042	0.032	0.032	0.021	0.012	0.014	0.011	0.005	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.233	0.101	0.052	0.05	0.018	0.041	0.02	0.027	0.018	0.007	0.014	0.022	0.02	0.014	0.02	0.009	0.016	0.011	0.013	0.011	0.009	0.009	0.029	0.007	0.02	0.022	0.031	0.013	0.013	0.022	0.027	0.013	0.022	0.036	0.011	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.053	0.02	0	0	0	0	0.007	0.013	0.007	0.033	0.046	0.066	0.013	0.046	0.053	0.033	0.033	0.026	0.033	0.053	0.073	0.053	0.046	0.026	0.053	0.053	0.066	0.02	0.013	0.013	0.02	0.013	0	0.007	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
