Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.185	0.004	0.012	0.022	0.039	0.026	0.014	0.024	0.029	0.031	0.024	0.026	0.033	0.041	0.036	0.037	0.038	0.038	0.041	0.037	0.038	0.037	0.032	0.028	0.029	0.023	0.019	0.017	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.001	0.0	0.001	0.005	0.008	0.01	0.012	0.019	0.024	0.034	0.033	0.045	0.056	0.059	0.058	0.07	0.064	0.067	0.069	0.06	0.053	0.052	0.043	0.035	0.03	0.024	0.019	0.014	0.011	0.008	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:TIR	0.002	0.005	0.012	0.021	0.025	0.029	0.034	0.036	0.039	0.04	0.041	0.042	0.045	0.049	0.051	0.054	0.054	0.055	0.054	0.052	0.049	0.043	0.037	0.031	0.025	0.021	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0
Unknown	0.008	0.011	0.023	0.03	0.031	0.034	0.034	0.037	0.041	0.041	0.043	0.043	0.045	0.047	0.047	0.049	0.049	0.048	0.047	0.043	0.044	0.038	0.033	0.029	0.024	0.022	0.016	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.003	0.007	0.014	0.021	0.031	0.032	0.028	0.03	0.029	0.032	0.036	0.04	0.043	0.046	0.047	0.054	0.055	0.056	0.055	0.057	0.054	0.049	0.041	0.033	0.027	0.021	0.018	0.012	0.01	0.006	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.007	0.012	0.029	0.039	0.047	0.049	0.049	0.048	0.046	0.045	0.043	0.042	0.041	0.039	0.04	0.039	0.038	0.038	0.035	0.034	0.033	0.031	0.028	0.027	0.023	0.022	0.018	0.016	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.003	0.006	0.007	0.011	0.014	0.019	0.022	0.025	0.033	0.037	0.049	0.053	0.053	0.056	0.063	0.063	0.064	0.056	0.06	0.052	0.047	0.041	0.035	0.032	0.023	0.021	0.018	0.01	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.012	0.012	0.008	0.01	0.012	0.013	0.013	0.014	0.015	0.018	0.024	0.03	0.033	0.037	0.037	0.042	0.043	0.044	0.05	0.054	0.055	0.059	0.059	0.06	0.059	0.049	0.041	0.033	0.022	0.017	0.01	0.007	0.004	0.001	0.001	0.0	0.0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.003	0.008	0.014	0.011	0.014	0.022	0.03	0.025	0.058	0.097	0.105	0.124	0.091	0.094	0.083	0.058	0.041	0.044	0.028	0.017	0.019	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.085	0.069	0.069	0.019	0.054	0.073	0.046	0.069	0.027	0.023	0.031	0.031	0.027	0.038	0.058	0.069	0.05	0.035	0.019	0.05	0.019	0.019	0.012	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0.01	0.01	0.049	0.039	0.068	0.039	0.019	0.068	0.039	0.126	0.126	0.039	0.049	0.019	0.039	0.068	0.049	0.058	0.01	0.029	0.019	0	0	0.01	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.009	0.012	0.033	0.058	0.107	0.11	0.112	0.072	0.068	0.07	0.061	0.028	0.023	0.054	0.026	0.03	0.012	0.016	0.007	0.012	0.019	0.012	0.012	0.012	0.009	0.005	0.005	0.002	0.002	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0.015	0.023	0	0.008	0.053	0.031	0.031	0.053	0.107	0.115	0.099	0.061	0.084	0.069	0.061	0.038	0.031	0.008	0.023	0.008	0.008	0.015	0.031	0.008	0.015	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
