Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49
Pseudogene:RNA	0.231	0.091	0.127	0.066	0.048	0.022	0.023	0.025	0.017	0.021	0.021	0.02	0.016	0.015	0.017	0.012	0.014	0.022	0.018	0.017	0.016	0.024	0.018	0.019	0.01	0.015	0.011	0.007	0.007	0.004	0.01	0.006	0.002	0.003	0.002	0	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.003	0.004	0.01	0.016	0.025	0.025	0.025	0.024	0.025	0.027	0.03	0.031	0.033	0.038	0.04	0.042	0.044	0.046	0.046	0.047	0.047	0.044	0.041	0.042	0.043	0.039	0.039	0.033	0.028	0.019	0.015	0.012	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.234	0.002	0.014	0.019	0.032	0.021	0.011	0.02	0.025	0.026	0.022	0.024	0.03	0.036	0.032	0.032	0.034	0.035	0.038	0.037	0.038	0.038	0.036	0.032	0.031	0.024	0.02	0.017	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
ClassII:TIR	0.01	0.006	0.01	0.008	0.012	0.021	0.023	0.022	0.025	0.03	0.032	0.034	0.037	0.038	0.041	0.042	0.051	0.051	0.053	0.057	0.056	0.054	0.05	0.048	0.042	0.035	0.029	0.022	0.02	0.013	0.011	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.003	0.001	0.002	0.004	0.005	0.007	0.009	0.012	0.015	0.017	0.023	0.028	0.036	0.043	0.052	0.06	0.068	0.072	0.077	0.073	0.071	0.064	0.056	0.049	0.039	0.033	0.025	0.018	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Satellite	0.199	0.034	0.007	0.021	0.034	0.041	0.041	0.021	0.055	0.068	0.048	0.041	0.075	0.048	0.048	0.014	0.027	0.034	0.021	0.027	0.021	0.007	0.014	0	0.014	0.021	0.007	0	0	0.007	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.051	0.014	0.016	0.011	0.024	0.019	0.016	0.01	0.014	0.022	0.008	0.014	0.027	0.029	0.03	0.042	0.035	0.042	0.05	0.056	0.066	0.067	0.05	0.064	0.043	0.037	0.037	0.026	0.027	0.026	0.016	0.006	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.004	0.008	0.008	0.011	0.018	0.022	0.031	0.032	0.044	0.051	0.061	0.058	0.068	0.064	0.069	0.069	0.061	0.057	0.054	0.047	0.037	0.034	0.026	0.019	0.014	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0	0.001	0.002	0.003	0.007	0.008	0.019	0.023	0.04	0.042	0.049	0.054	0.069	0.065	0.063	0.057	0.046	0.064	0.049	0.042	0.037	0.031	0.024	0.013	0.016	0.016	0.017	0.011	0.015	0.018	0.024	0.016	0.019	0.017	0.01	0.007	0.002	0.002	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.003	0.005	0.007	0.005	0.006	0.008	0.012	0.015	0.026	0.035	0.042	0.037	0.037	0.041	0.044	0.045	0.052	0.058	0.057	0.059	0.058	0.064	0.061	0.055	0.048	0.039	0.03	0.019	0.012	0.007	0.004	0.003	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.003	0.014	0.012	0.012	0.006	0.006	0.009	0.006	0.014	0.02	0.026	0.02	0.02	0.038	0.049	0.061	0.11	0.09	0.096	0.093	0.058	0.067	0.038	0.026	0.055	0.026	0.012	0.012	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
