Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	52-53
Simple_repeat	0.255	0.004	0.022	0.026	0.036	0.025	0.014	0.022	0.028	0.028	0.023	0.024	0.031	0.036	0.031	0.031	0.032	0.031	0.035	0.031	0.033	0.034	0.03	0.027	0.026	0.021	0.016	0.014	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.004	0.008	0.009	0.01	0.017	0.023	0.033	0.031	0.043	0.057	0.064	0.06	0.069	0.067	0.065	0.066	0.063	0.056	0.052	0.044	0.034	0.03	0.028	0.017	0.013	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0
Unknown	0.004	0.003	0.007	0.009	0.013	0.018	0.021	0.026	0.031	0.034	0.038	0.043	0.046	0.05	0.053	0.056	0.058	0.06	0.06	0.056	0.053	0.048	0.043	0.038	0.031	0.027	0.02	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0.019	0.028	0.083	0.12	0.194	0.093	0.056	0.102	0.046	0.074	0.056	0	0	0	0.019	0.009	0	0	0	0.028	0.009	0	0.019	0.019	0	0.009	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.007	0.003	0.01	0.01	0.016	0.024	0.028	0.032	0.034	0.036	0.041	0.042	0.044	0.044	0.044	0.042	0.041	0.041	0.041	0.043	0.044	0.042	0.042	0.041	0.039	0.037	0.032	0.027	0.022	0.016	0.013	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.008	0.007	0.013	0.017	0.021	0.025	0.028	0.028	0.029	0.03	0.031	0.034	0.04	0.045	0.047	0.05	0.05	0.051	0.05	0.046	0.047	0.043	0.038	0.036	0.033	0.031	0.027	0.024	0.019	0.016	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.036	0.001	0.024	0.009	0.017	0.024	0.022	0.022	0.017	0.022	0.024	0.028	0.03	0.025	0.025	0.025	0.031	0.028	0.032	0.035	0.036	0.037	0.037	0.039	0.041	0.047	0.044	0.048	0.045	0.038	0.035	0.026	0.019	0.013	0.009	0.005	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.002	0.01	0.006	0.002	0.002	0.001	0	0	0.001	0.002	0	0.004	0.002	0.004	0.006	0.012	0.022	0.025	0.038	0.045	0.052	0.057	0.079	0.058	0.091	0.062	0.085	0.078	0.081	0.046	0.056	0.03	0.022	0.011	0.007	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.0	0.0	0.002	0.001	0.004	0.006	0.012	0.021	0.032	0.037	0.04	0.049	0.046	0.041	0.041	0.036	0.042	0.054	0.056	0.053	0.072	0.061	0.055	0.049	0.041	0.038	0.031	0.028	0.019	0.013	0.009	0.004	0.002	0.001	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.0	0.002	0.002	0.011	0.023	0.026	0.021	0.018	0.018	0.029	0.025	0.027	0.028	0.036	0.043	0.051	0.057	0.064	0.062	0.066	0.063	0.063	0.063	0.054	0.042	0.033	0.03	0.017	0.009	0.009	0.003	0.003	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.005	0.014	0.019	0.029	0.066	0.08	0.069	0.062	0.052	0.042	0.033	0.031	0.03	0.038	0.033	0.037	0.042	0.037	0.034	0.033	0.032	0.027	0.023	0.017	0.015	0.016	0.011	0.013	0.013	0.013	0.014	0.007	0.007	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.0	0	0.0	0	0.001	0.001	0.0	0.005	0.011	0.024	0.04	0.067	0.091	0.09	0.09	0.081	0.069	0.082	0.075	0.06	0.048	0.031	0.044	0.036	0.023	0.02	0.006	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.001	0	0.001	0.001	0.001	0.001	0.002	0.004	0.004	0.014	0.012	0.011	0.031	0.032	0.07	0.08	0.123	0.124	0.145	0.1	0.091	0.069	0.043	0.019	0.009	0.012	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
