Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	49-50
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.004	0.009	0.008	0.01	0.019	0.024	0.032	0.032	0.043	0.055	0.062	0.058	0.066	0.065	0.064	0.067	0.06	0.055	0.055	0.045	0.036	0.032	0.027	0.019	0.014	0.011	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Simple_repeat	0.25	0.007	0.014	0.018	0.036	0.026	0.013	0.023	0.028	0.029	0.023	0.022	0.03	0.035	0.03	0.03	0.033	0.032	0.035	0.034	0.035	0.034	0.031	0.028	0.028	0.022	0.018	0.015	0.012	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:TIR	0.001	0.003	0.006	0.008	0.01	0.014	0.017	0.022	0.025	0.029	0.036	0.038	0.042	0.045	0.048	0.05	0.054	0.056	0.06	0.059	0.058	0.054	0.05	0.044	0.037	0.034	0.026	0.021	0.015	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.001	0.002	0.004	0.004	0.006	0.007	0.01	0.012	0.015	0.017	0.022	0.027	0.031	0.039	0.047	0.054	0.062	0.068	0.072	0.071	0.072	0.066	0.058	0.051	0.042	0.037	0.028	0.021	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.003	0.006	0.013	0.018	0.026	0.035	0.034	0.022	0.017	0.021	0.017	0.022	0.02	0.027	0.044	0.044	0.053	0.059	0.057	0.06	0.048	0.044	0.04	0.036	0.035	0.035	0.039	0.034	0.028	0.024	0.015	0.012	0.007	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.148	0.025	0.025	0.025	0.011	0.004	0.021	0.018	0.007	0.028	0.021	0.018	0.014	0.042	0.021	0.035	0.035	0.028	0.028	0.021	0.025	0.014	0.049	0.025	0.049	0.035	0.057	0.053	0.025	0.035	0.028	0.007	0.014	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.023	0.017	0.011	0.01	0.01	0.01	0.008	0.009	0.01	0.012	0.013	0.018	0.019	0.023	0.025	0.032	0.039	0.044	0.048	0.057	0.056	0.062	0.062	0.058	0.053	0.049	0.046	0.042	0.036	0.032	0.023	0.017	0.011	0.007	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.011	0.025	0.032	0.04	0.044	0.041	0.044	0.044	0.044	0.044	0.041	0.041	0.04	0.039	0.04	0.04	0.04	0.038	0.035	0.033	0.03	0.027	0.026	0.023	0.023	0.021	0.019	0.017	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.027	0.046	0.033	0.027	0.017	0.02	0.024	0.025	0.029	0.031	0.032	0.029	0.038	0.038	0.043	0.051	0.062	0.057	0.056	0.054	0.04	0.035	0.033	0.024	0.024	0.021	0.017	0.015	0.014	0.012	0.01	0.005	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.003	0.003	0.002	0.005	0.002	0.003	0.003	0.007	0.007	0.007	0.005	0.01	0.007	0.007	0.007	0.014	0.021	0.033	0.067	0.065	0.079	0.077	0.091	0.08	0.089	0.075	0.082	0.043	0.05	0.031	0.014	0.005	0.003	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.222	0.005	0.344	0.019	0.118	0.066	0.066	0.071	0.009	0.014	0.019	0.019	0.024	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.0	0.0	0.0	0.001	0.001	0.004	0.004	0.007	0.014	0.022	0.017	0.032	0.038	0.028	0.041	0.034	0.028	0.036	0.044	0.07	0.1	0.122	0.127	0.118	0.062	0.029	0.01	0.005	0.004	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
