Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
Unknown	0.021	0.02	0.036	0.039	0.044	0.051	0.048	0.051	0.047	0.048	0.046	0.043	0.042	0.04	0.041	0.04	0.038	0.037	0.037	0.034	0.034	0.031	0.027	0.024	0.019	0.017	0.013	0.01	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.002	0.005	0.007	0.011	0.017	0.014	0.012	0.031	0.018	0.024	0.023	0.025	0.017	0.019	0.02	0.024	0.027	0.026	0.031	0.036	0.038	0.054	0.059	0.05	0.065	0.065	0.06	0.063	0.043	0.04	0.024	0.013	0.016	0.006	0.004	0.004	0.002	0	0	0	0	0	0.0	0	0
ClassI:LTR	0.025	0.044	0.064	0.057	0.061	0.046	0.041	0.037	0.036	0.038	0.033	0.031	0.029	0.031	0.03	0.029	0.03	0.026	0.023	0.027	0.026	0.022	0.026	0.022	0.025	0.021	0.018	0.024	0.018	0.017	0.015	0.009	0.008	0.003	0.003	0.005	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:DIRS	0.003	0.008	0.005	0.023	0.049	0.046	0.01	0.033	0.036	0.031	0.036	0.044	0.028	0.023	0.023	0.033	0.031	0.041	0.031	0.036	0.064	0.036	0.039	0.049	0.049	0.044	0.062	0.026	0.028	0.008	0.015	0.003	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.004	0.007	0.008	0.012	0.02	0.023	0.031	0.031	0.043	0.052	0.057	0.057	0.064	0.066	0.062	0.066	0.06	0.058	0.052	0.042	0.037	0.036	0.025	0.022	0.014	0.014	0.009	0.008	0.004	0.003	0.003	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
Simple_repeat	0.07	0.003	0.012	0.02	0.027	0.018	0.016	0.023	0.026	0.027	0.026	0.026	0.033	0.038	0.036	0.037	0.039	0.038	0.043	0.039	0.044	0.044	0.041	0.039	0.038	0.034	0.03	0.028	0.025	0.021	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:PLE	0	0	0.009	0.009	0	0.034	0.043	0.034	0.06	0.043	0.017	0.034	0.017	0.034	0	0.009	0.026	0.026	0.078	0.069	0.026	0.026	0.078	0.052	0.034	0.026	0.034	0.034	0.034	0.026	0.026	0.034	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.029	0.039	0.077	0.072	0.065	0.053	0.047	0.044	0.038	0.04	0.035	0.031	0.032	0.031	0.027	0.028	0.031	0.027	0.024	0.027	0.028	0.024	0.022	0.022	0.017	0.018	0.015	0.015	0.013	0.007	0.008	0.004	0.003	0.002	0.002	0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.084	0.096	0.096	0.1	0.064	0.06	0.024	0.048	0.056	0.024	0.028	0.044	0.024	0.032	0.04	0.032	0.028	0.024	0.028	0	0.02	0.004	0.016	0	0.008	0.004	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.053	0.053	0.017	0.053	0.06	0.07	0.08	0.077	0.07	0.063	0.037	0.023	0.033	0.047	0.047	0.023	0.007	0.02	0.017	0.013	0.017	0.02	0.01	0.007	0.007	0.02	0.007	0.007	0.013	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
