Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49	49-50
Simple_repeat	0.13	0.002	0.011	0.019	0.03	0.02	0.014	0.026	0.033	0.041	0.042	0.039	0.035	0.037	0.035	0.034	0.038	0.038	0.041	0.04	0.041	0.041	0.037	0.034	0.033	0.027	0.021	0.018	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.001	0.004	0.008	0.008	0.011	0.019	0.024	0.035	0.033	0.042	0.053	0.058	0.059	0.067	0.067	0.067	0.067	0.058	0.057	0.056	0.045	0.038	0.032	0.026	0.018	0.015	0.01	0.007	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0
Pseudogene:RNA	0.022	0.039	0.063	0.019	0.015	0.03	0.011	0.011	0.013	0.009	0.015	0.019	0.045	0.065	0.06	0.076	0.082	0.06	0.039	0.041	0.039	0.048	0.028	0.035	0.009	0.024	0.024	0.013	0.019	0.013	0.004	0.006	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.009	0.015	0.023	0.03	0.034	0.038	0.041	0.04	0.041	0.04	0.041	0.043	0.042	0.042	0.041	0.041	0.039	0.039	0.04	0.039	0.038	0.037	0.033	0.032	0.03	0.027	0.023	0.018	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.003	0.004	0.009	0.013	0.019	0.024	0.028	0.03	0.033	0.035	0.039	0.042	0.045	0.048	0.051	0.051	0.054	0.054	0.054	0.053	0.053	0.049	0.045	0.039	0.032	0.027	0.021	0.016	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:PLE	0.006	0.006	0.028	0.03	0.017	0.022	0.052	0.058	0.05	0.066	0.05	0.05	0.047	0.072	0.058	0.019	0.041	0.052	0.075	0.044	0.022	0.03	0.011	0.025	0.008	0.036	0.017	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.007	0.015	0.02	0.011	0.011	0.008	0.011	0.015	0.024	0.016	0.016	0.013	0.024	0.028	0.019	0.024	0.035	0.045	0.043	0.055	0.07	0.072	0.073	0.06	0.058	0.047	0.034	0.033	0.022	0.021	0.02	0.024	0.013	0.007	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.001	0.004	0.007	0.015	0.024	0.028	0.029	0.031	0.033	0.038	0.046	0.053	0.059	0.057	0.049	0.044	0.045	0.046	0.044	0.046	0.045	0.043	0.042	0.037	0.033	0.025	0.019	0.015	0.011	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.002	0.002	0.007	0.011	0.038	0.07	0.081	0.059	0.048	0.041	0.032	0.029	0.024	0.027	0.03	0.034	0.037	0.043	0.044	0.057	0.05	0.05	0.041	0.033	0.024	0.022	0.016	0.014	0.011	0.007	0.005	0.002	0.003	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.007	0.003	0.001	0.009	0.01	0.009	0.006	0.012	0.01	0.017	0.029	0.035	0.045	0.039	0.051	0.058	0.043	0.043	0.052	0.064	0.062	0.078	0.053	0.046	0.055	0.045	0.026	0.036	0.022	0.016	0.01	0.004	0	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.003	0.002	0	0.005	0.002	0.01	0.009	0.009	0.005	0.021	0.015	0.01	0.027	0.017	0.017	0.022	0.027	0.038	0.064	0.036	0.043	0.048	0.052	0.06	0.076	0.095	0.069	0.072	0.064	0.026	0.015	0.026	0.005	0.007	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0.003	0	0	0	0	0.003	0.003	0.003	0.003	0.003	0.016	0.013	0.034	0.028	0.028	0.063	0.075	0.069	0.082	0.119	0.122	0.091	0.072	0.066	0.06	0.025	0.016	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
