Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	51-52	53-54
Simple_repeat	0.252	0.01	0.014	0.018	0.03	0.021	0.012	0.02	0.024	0.026	0.022	0.023	0.03	0.035	0.031	0.031	0.034	0.033	0.037	0.035	0.036	0.036	0.033	0.03	0.029	0.024	0.018	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.008	0.008	0.011	0.018	0.024	0.033	0.03	0.043	0.054	0.061	0.056	0.066	0.065	0.068	0.069	0.064	0.055	0.057	0.045	0.036	0.033	0.025	0.02	0.014	0.01	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0
ClassII:Rolling_Circle	0.003	0.002	0.007	0.002	0.006	0.009	0.016	0.017	0.019	0.011	0.024	0.022	0.023	0.025	0.016	0.018	0.031	0.033	0.038	0.036	0.055	0.049	0.03	0.037	0.027	0.034	0.04	0.028	0.027	0.042	0.048	0.066	0.06	0.046	0.03	0.015	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.007	0.01	0.017	0.026	0.032	0.038	0.043	0.044	0.044	0.043	0.043	0.042	0.042	0.043	0.042	0.044	0.043	0.042	0.043	0.041	0.039	0.037	0.034	0.032	0.029	0.025	0.021	0.017	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Unknown	0.002	0.003	0.007	0.01	0.014	0.019	0.022	0.025	0.03	0.031	0.036	0.04	0.043	0.046	0.049	0.052	0.055	0.056	0.057	0.055	0.055	0.051	0.049	0.044	0.037	0.033	0.025	0.019	0.013	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.003	0.008	0.016	0.023	0.025	0.029	0.031	0.034	0.038	0.038	0.038	0.039	0.04	0.042	0.042	0.043	0.046	0.046	0.048	0.05	0.048	0.047	0.043	0.038	0.034	0.028	0.023	0.019	0.014	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:LINE	0.0	0	0.001	0.0	0.001	0.001	0.002	0.002	0.005	0.008	0.012	0.013	0.017	0.023	0.029	0.038	0.048	0.062	0.069	0.071	0.079	0.078	0.08	0.065	0.057	0.069	0.049	0.035	0.032	0.022	0.012	0.01	0.003	0.004	0.003	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0	0	0.004	0	0.004	0	0.004	0	0.011	0.018	0.011	0.028	0.028	0.046	0.106	0.053	0.116	0.077	0.137	0.088	0.099	0.056	0.025	0.042	0.025	0.018	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0	0.006	0.009	0.006	0.025	0.034	0.062	0.043	0.062	0.099	0.075	0.078	0.05	0.04	0.062	0.05	0.043	0.028	0.031	0.012	0.022	0.019	0.022	0.025	0.031	0.04	0.019	0	0.003	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.006	0.002	0.002	0.004	0.009	0.017	0.039	0.039	0.06	0.093	0.082	0.103	0.082	0.14	0.136	0.071	0.043	0.034	0.011	0.015	0.009	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
