Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49
Simple_repeat	0.294	0.013	0.021	0.022	0.029	0.021	0.013	0.019	0.022	0.024	0.02	0.02	0.027	0.031	0.029	0.029	0.032	0.031	0.033	0.032	0.033	0.033	0.03	0.026	0.026	0.021	0.017	0.015	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.006	0.006	0.007	0.009	0.012	0.021	0.025	0.024	0.026	0.028	0.034	0.039	0.041	0.044	0.044	0.049	0.051	0.057	0.056	0.055	0.056	0.052	0.047	0.043	0.036	0.033	0.025	0.021	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Unknown	0.005	0.012	0.007	0.023	0.012	0.019	0.017	0.022	0.025	0.029	0.035	0.039	0.043	0.047	0.051	0.053	0.054	0.054	0.056	0.053	0.055	0.051	0.047	0.042	0.035	0.03	0.024	0.018	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.008	0.009	0.012	0.017	0.023	0.034	0.03	0.044	0.054	0.06	0.059	0.066	0.064	0.068	0.066	0.062	0.058	0.055	0.045	0.037	0.034	0.024	0.019	0.013	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:SINE	0.035	0.016	0.02	0.017	0.019	0.027	0.024	0.016	0.019	0.038	0.024	0.039	0.024	0.02	0.032	0.032	0.039	0.052	0.032	0.058	0.05	0.034	0.056	0.028	0.047	0.043	0.044	0.032	0.022	0.027	0.012	0.008	0.007	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.03	0.051	0.039	0.021	0.074	0.039	0.018	0.019	0.025	0.106	0.092	0.087	0.076	0.078	0.048	0.055	0.035	0.021	0.021	0.014	0.012	0.016	0.005	0.005	0.002	0.004	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.021	0.033	0.083	0.05	0.04	0.04	0.026	0.042	0.073	0.021	0.012	0.022	0.016	0.016	0.036	0.026	0.007	0.019	0.016	0.009	0.019	0.009	0.007	0.035	0.022	0.021	0.045	0.04	0.073	0.036	0.061	0.017	0.007	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.003	0.007	0.015	0.019	0.034	0.031	0.034	0.035	0.027	0.027	0.027	0.028	0.032	0.034	0.04	0.041	0.041	0.04	0.037	0.041	0.046	0.037	0.031	0.03	0.034	0.038	0.041	0.045	0.036	0.03	0.017	0.009	0.005	0.002	0.001	0.001	0	0.0	0	0	0	0	0	0	0	0
ClassI:LTR	0.005	0.018	0.027	0.032	0.03	0.03	0.029	0.027	0.028	0.026	0.028	0.028	0.029	0.032	0.036	0.036	0.038	0.041	0.042	0.042	0.044	0.044	0.043	0.041	0.038	0.036	0.03	0.025	0.022	0.017	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:LINE	0.002	0.003	0.003	0.005	0.004	0.005	0.005	0.003	0.005	0.009	0.009	0.015	0.021	0.026	0.037	0.043	0.053	0.06	0.059	0.058	0.062	0.062	0.064	0.059	0.052	0.062	0.055	0.044	0.037	0.028	0.019	0.011	0.011	0.005	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.006	0.063	0.139	0.058	0.024	0.009	0.015	0.01	0.008	0.008	0.005	0.004	0.012	0.045	0.062	0.063	0.062	0.048	0.049	0.053	0.067	0.048	0.042	0.03	0.018	0.028	0.012	0.006	0.001	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
