Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	49-50
Unknown	0.005	0.013	0.022	0.029	0.03	0.034	0.035	0.037	0.04	0.043	0.044	0.045	0.046	0.049	0.049	0.05	0.049	0.049	0.045	0.043	0.042	0.038	0.033	0.03	0.025	0.021	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Simple_repeat	0.179	0.009	0.018	0.028	0.044	0.032	0.017	0.027	0.033	0.033	0.026	0.026	0.036	0.042	0.034	0.032	0.035	0.033	0.036	0.034	0.035	0.033	0.031	0.027	0.027	0.022	0.017	0.015	0.011	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.004	0.009	0.009	0.01	0.017	0.022	0.031	0.031	0.039	0.057	0.069	0.058	0.066	0.066	0.067	0.065	0.062	0.055	0.052	0.042	0.037	0.03	0.026	0.019	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0
ClassI:LINE	0.0	0.0	0.0	0.001	0.003	0.003	0.005	0.006	0.008	0.009	0.012	0.014	0.014	0.017	0.02	0.022	0.024	0.025	0.027	0.031	0.038	0.044	0.052	0.061	0.071	0.073	0.068	0.059	0.053	0.05	0.049	0.047	0.04	0.028	0.015	0.006	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.015	0.018	0.021	0.027	0.033	0.032	0.034	0.036	0.038	0.04	0.04	0.04	0.043	0.045	0.043	0.043	0.042	0.041	0.041	0.04	0.033	0.032	0.03	0.026	0.025	0.022	0.021	0.02	0.018	0.018	0.015	0.011	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
ClassI:LTR	0.007	0.022	0.053	0.062	0.063	0.06	0.055	0.047	0.044	0.04	0.04	0.038	0.034	0.031	0.029	0.027	0.026	0.026	0.024	0.024	0.024	0.025	0.025	0.024	0.023	0.021	0.018	0.016	0.013	0.013	0.012	0.01	0.009	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0	0	0.002	0.005	0.001	0.011	0.009	0.021	0.033	0.032	0.034	0.047	0.045	0.043	0.06	0.057	0.047	0.075	0.062	0.064	0.077	0.066	0.054	0.042	0.025	0.029	0.025	0.01	0.009	0.004	0.004	0.002	0.003	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.143	0.03	0.027	0.027	0.015	0.018	0.066	0.072	0.021	0.024	0.015	0.024	0.084	0.063	0.069	0.081	0.06	0.042	0.042	0.021	0.015	0.012	0.015	0.006	0.006	0	0	0	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.001	0.001	0.007	0.007	0.012	0.022	0.05	0.068	0.072	0.074	0.104	0.103	0.071	0.099	0.082	0.07	0.039	0.038	0.039	0.015	0.008	0.009	0.005	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.011	0.013	0.012	0.018	0.026	0.021	0.026	0.019	0.023	0.022	0.027	0.039	0.025	0.035	0.038	0.037	0.035	0.03	0.03	0.021	0.022	0.048	0.011	0.015	0.016	0.029	0.021	0.027	0.034	0.043	0.071	0.065	0.045	0.026	0.012	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.112	0.175	0.029	0.011	0.015	0.01	0.023	0.044	0.023	0.023	0.03	0.019	0.048	0.059	0.049	0.057	0.059	0.04	0.042	0.032	0.017	0.013	0.027	0.015	0.019	0.002	0.006	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.014	0.014	0.036	0.08	0.123	0.109	0.118	0.114	0.104	0.075	0.089	0.056	0.022	0.019	0.014	0.002	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
