Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	49-50	50-51
ClassI:LTR	0.002	0.003	0.009	0.015	0.022	0.031	0.038	0.043	0.048	0.048	0.05	0.045	0.043	0.04	0.037	0.037	0.037	0.036	0.037	0.037	0.038	0.038	0.036	0.035	0.033	0.031	0.027	0.024	0.021	0.018	0.015	0.01	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.21	0.002	0.014	0.029	0.055	0.046	0.017	0.03	0.041	0.045	0.032	0.03	0.04	0.051	0.035	0.028	0.031	0.026	0.029	0.027	0.027	0.025	0.022	0.02	0.018	0.015	0.011	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.002	0.004	0.008	0.011	0.015	0.02	0.023	0.026	0.028	0.032	0.037	0.041	0.046	0.051	0.053	0.058	0.059	0.061	0.061	0.058	0.056	0.051	0.046	0.039	0.032	0.026	0.019	0.014	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.004	0.007	0.006	0.009	0.015	0.019	0.029	0.027	0.034	0.07	0.085	0.065	0.075	0.074	0.071	0.064	0.058	0.048	0.045	0.036	0.031	0.027	0.024	0.017	0.014	0.012	0.009	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
ClassII:TIR	0.001	0.005	0.009	0.011	0.013	0.015	0.02	0.024	0.028	0.031	0.035	0.037	0.041	0.045	0.049	0.051	0.056	0.056	0.054	0.053	0.052	0.049	0.048	0.045	0.04	0.036	0.028	0.022	0.015	0.011	0.008	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.002	0.006	0.005	0.002	0.006	0.007	0.009	0.01	0.009	0.015	0.018	0.021	0.025	0.03	0.032	0.031	0.04	0.047	0.05	0.049	0.041	0.052	0.055	0.06	0.063	0.074	0.062	0.055	0.042	0.033	0.022	0.014	0.009	0.004	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0.001	0.003	0.008	0.022	0.027	0.027	0.041	0.052	0.058	0.063	0.058	0.075	0.069	0.056	0.055	0.038	0.029	0.027	0.026	0.02	0.018	0.018	0.02	0.02	0.025	0.031	0.024	0.023	0.024	0.013	0.012	0.008	0.004	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.002	0	0.003	0.001	0.006	0.01	0.031	0.043	0.081	0.068	0.071	0.084	0.09	0.058	0.06	0.021	0.035	0.025	0.025	0.025	0.022	0.025	0.017	0.017	0.022	0.01	0.018	0.025	0.025	0.028	0.022	0.011	0.008	0.005	0.005	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.202	0.215	0.135	0.018	0.031	0.037	0.006	0.006	0	0.031	0.006	0	0.006	0	0	0.006	0.012	0	0.025	0.025	0.043	0.006	0.018	0.055	0.049	0.025	0.018	0.012	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.033	0.033	0.092	0.008	0	0	0	0.008	0	0.067	0.125	0.042	0.05	0.017	0.042	0	0.017	0.025	0.017	0.05	0.025	0.033	0.083	0.05	0.058	0.033	0.05	0.008	0.025	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.003	0.02	0.031	0.071	0.02	0.02	0.024	0.075	0.075	0.095	0.068	0.068	0.064	0.075	0.058	0.081	0.054	0.051	0.01	0.007	0.017	0.01	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.067	0.133	0.267	0.067	0	0	0.333	0	0	0	0.067	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
