Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	52-53
Simple_repeat	0.28	0.001	0.014	0.032	0.05	0.044	0.017	0.027	0.037	0.041	0.029	0.026	0.036	0.046	0.031	0.026	0.028	0.023	0.026	0.024	0.023	0.023	0.02	0.017	0.017	0.013	0.01	0.009	0.008	0.006	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0
Unknown	0.005	0.001	0.007	0.004	0.006	0.01	0.011	0.013	0.015	0.017	0.02	0.025	0.029	0.037	0.044	0.053	0.06	0.067	0.07	0.071	0.074	0.069	0.062	0.055	0.044	0.038	0.028	0.021	0.015	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.001	0.004	0.006	0.008	0.01	0.017	0.021	0.03	0.029	0.036	0.071	0.081	0.063	0.072	0.07	0.066	0.066	0.056	0.051	0.047	0.036	0.029	0.028	0.023	0.019	0.014	0.012	0.008	0.006	0.005	0.003	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LTR	0.003	0.002	0.005	0.005	0.007	0.01	0.014	0.017	0.021	0.028	0.037	0.044	0.05	0.052	0.055	0.059	0.062	0.059	0.055	0.052	0.049	0.044	0.039	0.034	0.031	0.028	0.026	0.022	0.019	0.018	0.015	0.012	0.01	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.005	0.001	0.006	0.004	0.006	0.01	0.013	0.02	0.028	0.036	0.04	0.04	0.042	0.044	0.049	0.054	0.059	0.059	0.057	0.056	0.054	0.052	0.048	0.044	0.038	0.033	0.026	0.022	0.017	0.012	0.009	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0	0.002	0.001	0.001	0.002	0.002	0.004	0.002	0.005	0.006	0.011	0.013	0.022	0.031	0.039	0.049	0.062	0.071	0.065	0.072	0.066	0.07	0.057	0.055	0.052	0.046	0.045	0.041	0.037	0.031	0.02	0.01	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0	0.003	0.002	0.002	0.005	0.002	0.004	0.009	0.002	0.006	0.009	0.015	0.021	0.014	0.023	0.023	0.023	0.026	0.038	0.055	0.081	0.152	0.179	0.136	0.06	0.038	0.03	0.013	0.013	0.006	0.004	0.001	0.003	0.001	0.002	0.001	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.003	0.007	0.013	0.011	0.013	0.021	0.02	0.025	0.039	0.028	0.023	0.033	0.061	0.059	0.051	0.038	0.049	0.057	0.051	0.039	0.049	0.041	0.028	0.062	0.013	0.046	0.031	0.021	0.016	0.018	0.02	0.003	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0.001	0.001	0.005	0.005	0.003	0.005	0.01	0.013	0.022	0.025	0.034	0.032	0.025	0.034	0.023	0.029	0.042	0.041	0.056	0.053	0.058	0.052	0.049	0.058	0.053	0.059	0.044	0.051	0.043	0.032	0.027	0.008	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0.002	0.003	0.002	0.007	0.007	0.005	0.018	0.037	0.054	0.069	0.079	0.055	0.086	0.081	0.057	0.074	0.057	0.055	0.064	0.052	0.045	0.029	0.029	0.018	0.008	0.002	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0.001	0.003	0.001	0.002	0.002	0.008	0.013	0.023	0.029	0.054	0.083	0.064	0.083	0.085	0.103	0.101	0.08	0.056	0.061	0.043	0.024	0.025	0.013	0.013	0.011	0.009	0.005	0.001	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
