Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	54-55
Simple_repeat	0.323	0.001	0.017	0.039	0.054	0.038	0.02	0.031	0.037	0.037	0.028	0.027	0.035	0.043	0.029	0.022	0.023	0.02	0.021	0.02	0.019	0.018	0.016	0.014	0.013	0.01	0.008	0.008	0.006	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
Unknown	0.003	0.002	0.005	0.004	0.005	0.007	0.008	0.01	0.012	0.015	0.017	0.021	0.027	0.034	0.043	0.051	0.058	0.065	0.07	0.071	0.075	0.072	0.067	0.06	0.05	0.043	0.033	0.024	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.003	0.009	0.01	0.013	0.014	0.014	0.016	0.019	0.021	0.026	0.031	0.034	0.043	0.048	0.053	0.058	0.061	0.062	0.062	0.065	0.061	0.056	0.049	0.042	0.035	0.027	0.02	0.014	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.001	0.004	0.006	0.008	0.01	0.014	0.018	0.026	0.027	0.032	0.073	0.086	0.067	0.077	0.071	0.068	0.061	0.056	0.049	0.044	0.035	0.031	0.027	0.024	0.019	0.015	0.013	0.009	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
ClassI:LTR	0.004	0.007	0.007	0.01	0.016	0.018	0.019	0.022	0.026	0.028	0.033	0.033	0.038	0.04	0.043	0.047	0.049	0.056	0.057	0.055	0.055	0.051	0.048	0.044	0.038	0.034	0.027	0.021	0.018	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.002	0.002	0.003	0.004	0.007	0.008	0.009	0.011	0.018	0.024	0.031	0.043	0.051	0.05	0.053	0.05	0.058	0.058	0.051	0.056	0.058	0.054	0.052	0.045	0.04	0.036	0.033	0.027	0.021	0.014	0.012	0.008	0.005	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.005	0.005	0.011	0.006	0.011	0.013	0.007	0.015	0.017	0.014	0.019	0.025	0.027	0.04	0.038	0.049	0.063	0.064	0.067	0.082	0.078	0.074	0.066	0.054	0.038	0.033	0.028	0.017	0.012	0.008	0.006	0.003	0.003	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0	0.004	0	0.003	0.001	0.004	0.004	0.018	0.006	0.015	0.014	0.013	0.03	0.049	0.045	0.03	0.062	0.091	0.064	0.082	0.09	0.113	0.092	0.056	0.035	0.046	0.023	0.006	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.002	0.002	0.003	0.003	0.005	0.005	0.007	0.009	0.012	0.014	0.021	0.019	0.022	0.026	0.035	0.035	0.047	0.057	0.066	0.063	0.058	0.061	0.057	0.051	0.047	0.042	0.029	0.027	0.032	0.033	0.028	0.029	0.022	0.016	0.008	0.005	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.043	0.022	0.02	0.032	0.031	0.04	0.038	0.043	0.038	0.049	0.043	0.033	0.039	0.045	0.053	0.04	0.043	0.042	0.041	0.046	0.035	0.023	0.029	0.018	0.012	0.019	0.025	0.017	0.009	0.008	0.008	0.005	0.007	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.008	0.006	0.002	0.001	0.005	0.009	0.006	0.009	0.009	0.007	0.014	0.018	0.019	0.023	0.034	0.046	0.043	0.053	0.054	0.044	0.055	0.057	0.058	0.077	0.06	0.054	0.058	0.051	0.035	0.026	0.015	0.013	0.007	0.01	0.008	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0.009	0.02	0.025	0.027	0.02	0.033	0.024	0.013	0.016	0.016	0.049	0.082	0.078	0.113	0.109	0.089	0.071	0.064	0.051	0.045	0.018	0.013	0.004	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
