Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52	52-53
Unknown	0.003	0.005	0.011	0.014	0.017	0.02	0.021	0.025	0.028	0.03	0.034	0.036	0.04	0.046	0.048	0.053	0.055	0.057	0.058	0.057	0.056	0.053	0.047	0.04	0.033	0.029	0.022	0.018	0.014	0.01	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.004	0.01	0.015	0.021	0.024	0.025	0.031	0.033	0.035	0.035	0.038	0.039	0.044	0.044	0.047	0.048	0.049	0.047	0.044	0.045	0.043	0.044	0.039	0.035	0.032	0.027	0.025	0.019	0.016	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.222	0.002	0.013	0.03	0.051	0.035	0.018	0.029	0.038	0.041	0.029	0.027	0.038	0.049	0.035	0.028	0.032	0.028	0.03	0.029	0.029	0.027	0.024	0.022	0.021	0.016	0.013	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.004	0.007	0.008	0.01	0.016	0.022	0.031	0.029	0.039	0.065	0.079	0.062	0.07	0.07	0.071	0.065	0.058	0.053	0.047	0.037	0.029	0.027	0.025	0.019	0.013	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0
ClassI:LTR	0.009	0.011	0.021	0.024	0.029	0.03	0.03	0.035	0.041	0.044	0.041	0.038	0.038	0.038	0.035	0.035	0.035	0.035	0.036	0.038	0.038	0.037	0.035	0.035	0.033	0.032	0.03	0.026	0.023	0.018	0.014	0.011	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.002	0.006	0.006	0.007	0.008	0.007	0.011	0.011	0.014	0.014	0.015	0.016	0.016	0.02	0.017	0.02	0.02	0.021	0.024	0.024	0.028	0.035	0.045	0.051	0.072	0.077	0.084	0.082	0.073	0.066	0.054	0.028	0.015	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0.001	0	0.002	0.002	0.001	0.004	0.011	0.014	0.034	0.042	0.054	0.063	0.093	0.074	0.092	0.094	0.079	0.083	0.052	0.064	0.043	0.037	0.025	0.017	0.01	0.004	0.002	0.002	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.003	0.006	0.01	0.018	0.04	0.052	0.055	0.055	0.049	0.058	0.054	0.049	0.041	0.031	0.033	0.034	0.036	0.036	0.029	0.022	0.03	0.024	0.033	0.03	0.03	0.028	0.022	0.019	0.015	0.013	0.013	0.009	0.008	0.005	0.004	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.003	0.019	0.065	0.081	0.1	0.055	0.074	0.045	0.061	0.048	0.074	0.042	0.042	0.048	0.042	0.042	0.029	0.032	0.023	0.026	0.016	0.016	0	0.006	0	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.028	0.042	0.069	0.028	0.028	0.014	0.028	0.028	0	0.097	0.014	0.028	0.014	0.083	0.028	0.028	0.056	0.056	0	0.042	0.056	0.028	0.014	0.042	0.028	0.014	0.042	0.028	0	0.014	0.014	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.017	0.017	0.034	0	0.068	0.051	0.068	0.034	0.051	0.017	0.051	0.034	0.085	0.034	0.085	0.017	0.085	0.034	0.051	0.051	0.034	0.034	0.017	0.017	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
