Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	53-54
ClassI:LTR	0.006	0.013	0.025	0.029	0.032	0.031	0.031	0.031	0.035	0.036	0.039	0.042	0.044	0.045	0.043	0.039	0.035	0.034	0.034	0.034	0.035	0.035	0.032	0.031	0.03	0.029	0.026	0.025	0.022	0.019	0.017	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.005	0.008	0.01	0.013	0.016	0.021	0.023	0.024	0.025	0.027	0.031	0.033	0.036	0.039	0.043	0.047	0.051	0.053	0.057	0.058	0.061	0.056	0.053	0.046	0.037	0.033	0.025	0.02	0.015	0.011	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Simple_repeat	0.247	0.002	0.02	0.042	0.06	0.04	0.022	0.034	0.041	0.041	0.03	0.029	0.037	0.045	0.033	0.025	0.026	0.023	0.026	0.022	0.023	0.022	0.019	0.017	0.015	0.013	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.001	0.0	0.001	0.003	0.006	0.006	0.009	0.014	0.018	0.025	0.025	0.032	0.071	0.084	0.069	0.077	0.071	0.07	0.066	0.059	0.052	0.045	0.036	0.031	0.028	0.024	0.018	0.015	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassII:TIR	0.01	0.012	0.018	0.021	0.027	0.032	0.036	0.035	0.034	0.034	0.034	0.033	0.037	0.041	0.045	0.045	0.047	0.048	0.048	0.049	0.049	0.044	0.041	0.036	0.033	0.027	0.023	0.017	0.014	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.01	0.001	0.021	0.028	0.027	0.04	0.024	0.025	0.023	0.025	0.035	0.031	0.032	0.038	0.035	0.041	0.047	0.049	0.056	0.056	0.076	0.047	0.045	0.048	0.047	0.041	0.03	0.006	0.007	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.005	0.023	0.024	0.018	0.012	0.017	0.014	0.017	0.019	0.025	0.032	0.029	0.034	0.034	0.031	0.027	0.024	0.027	0.03	0.034	0.039	0.041	0.046	0.045	0.048	0.052	0.054	0.043	0.042	0.033	0.03	0.024	0.014	0.007	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.001	0.003	0.002	0.004	0.003	0.004	0.003	0.006	0.007	0.009	0.011	0.008	0.004	0.015	0.016	0.027	0.031	0.05	0.075	0.105	0.124	0.142	0.121	0.093	0.059	0.03	0.018	0.016	0.007	0.001	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.034	0.02	0.039	0.03	0.033	0.031	0.027	0.036	0.031	0.032	0.032	0.028	0.039	0.031	0.036	0.032	0.039	0.034	0.037	0.043	0.043	0.04	0.05	0.043	0.054	0.033	0.024	0.017	0.009	0.01	0.003	0.003	0.001	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0	0.008	0	0.059	0.076	0.017	0.034	0.076	0.05	0.05	0.092	0.134	0.059	0.05	0.092	0.042	0.059	0.034	0.008	0.008	0.008	0	0	0.025	0	0	0.008	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.12	0.019	0.026	0.035	0.033	0.059	0.065	0.08	0.054	0.084	0.064	0.057	0.045	0.033	0.026	0.026	0.019	0.017	0.012	0.019	0.019	0.018	0.011	0.009	0.008	0.008	0.012	0.006	0.004	0.001	0.007	0.002	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.007	0.01	0.008	0.014	0.014	0.016	0.018	0.012	0.013	0.015	0.014	0.017	0.02	0.027	0.032	0.035	0.043	0.052	0.058	0.063	0.06	0.052	0.059	0.052	0.047	0.041	0.035	0.03	0.03	0.028	0.019	0.018	0.013	0.009	0.006	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.002	0.005	0	0.012	0.005	0	0.007	0	0	0.005	0.005	0.019	0.007	0.017	0.034	0.031	0.043	0.034	0.06	0.092	0.092	0.114	0.085	0.087	0.099	0.046	0.048	0.022	0.022	0.005	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.019	0.022	0.023	0.031	0.066	0.089	0.094	0.067	0.054	0.046	0.053	0.045	0.049	0.031	0.031	0.023	0.026	0.024	0.024	0.02	0.039	0.029	0.018	0.029	0.021	0.007	0.007	0.008	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
