Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	48-49	49-50	50-51	53-54	56-57
ClassII:TIR	0.005	0.013	0.021	0.018	0.023	0.028	0.032	0.038	0.04	0.042	0.045	0.044	0.047	0.05	0.051	0.052	0.052	0.053	0.051	0.045	0.043	0.036	0.032	0.027	0.024	0.022	0.017	0.012	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.329	0.004	0.017	0.029	0.049	0.031	0.016	0.028	0.035	0.034	0.026	0.026	0.034	0.04	0.028	0.025	0.027	0.024	0.025	0.022	0.023	0.021	0.019	0.015	0.016	0.013	0.01	0.009	0.007	0.005	0.004	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0
ClassI:LTR	0.01	0.015	0.017	0.02	0.025	0.029	0.033	0.033	0.037	0.039	0.042	0.045	0.043	0.039	0.039	0.039	0.039	0.037	0.035	0.036	0.038	0.036	0.035	0.034	0.032	0.029	0.025	0.023	0.022	0.019	0.018	0.014	0.01	0.005	0.004	0.002	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Unknown	0.011	0.014	0.016	0.016	0.021	0.025	0.03	0.036	0.04	0.043	0.044	0.048	0.048	0.052	0.051	0.053	0.051	0.051	0.05	0.046	0.047	0.041	0.038	0.031	0.025	0.021	0.016	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.002	0.003	0.001	0.003	0.003	0.006	0.01	0.009	0.016	0.021	0.029	0.038	0.041	0.055	0.059	0.076	0.086	0.086	0.094	0.075	0.072	0.055	0.046	0.04	0.025	0.019	0.012	0.009	0.003	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.002	0.005	0.008	0.01	0.011	0.021	0.028	0.037	0.033	0.045	0.069	0.08	0.062	0.074	0.062	0.064	0.064	0.055	0.047	0.044	0.035	0.029	0.026	0.022	0.017	0.013	0.01	0.007	0.005	0.005	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0
ClassI:LINE	0.002	0.002	0.004	0.006	0.011	0.012	0.014	0.014	0.022	0.02	0.024	0.022	0.024	0.025	0.028	0.035	0.038	0.04	0.041	0.041	0.044	0.049	0.051	0.057	0.044	0.054	0.049	0.049	0.041	0.04	0.026	0.02	0.016	0.014	0.008	0.005	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.019	0.024	0.019	0.033	0.038	0.024	0.019	0.029	0.057	0.057	0.062	0.067	0.076	0.062	0.062	0.043	0.038	0.043	0.057	0.029	0.019	0.029	0	0.01	0.019	0.005	0.014	0	0.005	0.014	0.014	0.01	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.014	0.019	0.023	0.02	0.016	0.022	0.03	0.025	0.03	0.028	0.029	0.014	0.022	0.022	0.016	0.027	0.025	0.03	0.031	0.023	0.026	0.03	0.03	0.024	0.032	0.029	0.016	0.026	0.043	0.049	0.062	0.042	0.043	0.034	0.022	0.019	0.006	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.004	0	0	0.026	0.043	0.078	0.043	0.078	0.069	0.073	0.056	0.056	0.065	0.039	0.026	0.039	0.052	0.034	0.078	0.03	0.039	0.022	0.017	0	0.009	0.013	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.008	0	0.008	0	0.023	0.07	0.047	0.086	0.094	0.18	0.086	0.031	0.039	0.008	0.039	0	0.008	0.016	0.016	0	0	0	0	0.008	0.023	0.031	0.047	0.094	0.016	0.008	0.008	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
