Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49	49-50	50-51
Simple_repeat	0.083	0.007	0.02	0.025	0.034	0.028	0.021	0.027	0.032	0.032	0.027	0.027	0.034	0.037	0.036	0.034	0.036	0.034	0.041	0.035	0.04	0.039	0.034	0.031	0.034	0.03	0.026	0.024	0.021	0.019	0.014	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Unknown	0.054	0.047	0.058	0.045	0.038	0.043	0.035	0.04	0.038	0.038	0.041	0.04	0.04	0.04	0.039	0.039	0.036	0.032	0.027	0.023	0.022	0.017	0.014	0.012	0.01	0.011	0.02	0.019	0.01	0.008	0.014	0.016	0.005	0.005	0.019	0.004	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.001	0.001	0.004	0.002	0.001	0.001	0.005	0.01	0.014	0.014	0.019	0.027	0.034	0.037	0.042	0.055	0.058	0.053	0.069	0.066	0.059	0.065	0.055	0.053	0.048	0.041	0.033	0.031	0.028	0.018	0.015	0.01	0.009	0.007	0.004	0.004	0.002	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0
ClassI:LTR	0.055	0.034	0.02	0.022	0.025	0.023	0.025	0.026	0.03	0.022	0.025	0.028	0.026	0.038	0.034	0.029	0.03	0.029	0.03	0.028	0.031	0.034	0.032	0.032	0.036	0.039	0.033	0.035	0.033	0.029	0.022	0.017	0.016	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0	0.0	0	0	0.0	0	0	0	0
ClassI:LINE	0.088	0.037	0.044	0.026	0.028	0.025	0.021	0.022	0.026	0.027	0.029	0.032	0.033	0.032	0.035	0.035	0.033	0.035	0.035	0.039	0.038	0.036	0.036	0.03	0.03	0.032	0.026	0.024	0.019	0.015	0.009	0.01	0.004	0.003	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
ClassII:TIR	0.11	0.065	0.024	0.022	0.027	0.022	0.03	0.025	0.016	0.016	0.017	0.023	0.03	0.022	0.027	0.035	0.029	0.029	0.041	0.04	0.046	0.042	0.03	0.036	0.031	0.025	0.023	0.026	0.02	0.018	0.016	0.012	0.009	0.005	0.005	0.002	0.002	0.001	0	0.0	0	0	0	0	0.0	0	0	0	0
Pseudogene:RNA	0.164	0.031	0.059	0.054	0.059	0.068	0.053	0.046	0.039	0.031	0.041	0.032	0.021	0.03	0.031	0.02	0.021	0.021	0.021	0.018	0.026	0.021	0.014	0.016	0.022	0.01	0.004	0.011	0.007	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.089	0.041	0.032	0.039	0.034	0.041	0.025	0.032	0.046	0.041	0.009	0.005	0.025	0.034	0.007	0.027	0.034	0.011	0.009	0.025	0.011	0.018	0.023	0.023	0.014	0.036	0.03	0.021	0.018	0.064	0.021	0.023	0.03	0.023	0.018	0.016	0.007	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.72	0.145	0.023	0.005	0.009	0.028	0	0	0.005	0	0.009	0.019	0.009	0	0.005	0	0	0.005	0	0.005	0	0.005	0	0	0.005	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.081	0.1	0.087	0.035	0.052	0.033	0.029	0.034	0.06	0.044	0.026	0.027	0.027	0.018	0.026	0.046	0.021	0.027	0.027	0.014	0.006	0.013	0.022	0.009	0.035	0.031	0.017	0.017	0.011	0.008	0.004	0.006	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0.033	0.05	0.091	0.066	0.041	0.033	0.05	0.017	0.033	0.058	0.05	0.041	0.058	0.091	0.074	0.033	0.008	0.008	0.008	0.008	0.017	0	0	0	0.041	0.041	0.041	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.201	0.009	0	0.031	0	0.004	0	0.004	0.009	0.017	0.004	0.013	0.044	0.013	0	0.009	0.031	0.1	0.031	0.135	0.087	0.205	0.031	0	0	0.009	0	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
