Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	46-47	51-52	54-55
Simple_repeat	0.299	0.003	0.018	0.032	0.051	0.032	0.017	0.028	0.036	0.038	0.031	0.028	0.034	0.041	0.03	0.027	0.027	0.024	0.026	0.022	0.023	0.021	0.019	0.016	0.017	0.014	0.01	0.009	0.007	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.01	0.013	0.024	0.028	0.033	0.038	0.041	0.044	0.048	0.049	0.049	0.05	0.05	0.05	0.05	0.049	0.049	0.046	0.044	0.039	0.038	0.032	0.027	0.022	0.018	0.016	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.011	0.012	0.012	0.024	0.027	0.036	0.036	0.046	0.069	0.077	0.063	0.071	0.065	0.063	0.065	0.054	0.048	0.044	0.037	0.027	0.027	0.018	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
ClassI:SINE	0.003	0.004	0.005	0.004	0.004	0.007	0.008	0.01	0.016	0.015	0.018	0.023	0.028	0.039	0.041	0.056	0.065	0.074	0.077	0.068	0.082	0.071	0.072	0.051	0.045	0.036	0.028	0.019	0.013	0.007	0.005	0.004	0.001	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.008	0.007	0.015	0.021	0.024	0.029	0.033	0.035	0.149	0.037	0.036	0.035	0.034	0.035	0.037	0.035	0.037	0.036	0.038	0.036	0.035	0.035	0.033	0.03	0.027	0.027	0.024	0.02	0.016	0.013	0.008	0.006	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Satellite	0.15	0.025	0.125	0.1	0.025	0.05	0.075	0	0.075	0.025	0	0.025	0	0.1	0.05	0	0.025	0	0.025	0	0.025	0	0	0	0.025	0.025	0	0	0.025	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.006	0.007	0.017	0.024	0.033	0.037	0.04	0.04	0.043	0.046	0.051	0.05	0.047	0.049	0.047	0.044	0.047	0.046	0.047	0.041	0.041	0.034	0.031	0.028	0.022	0.018	0.015	0.012	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0
Pseudogene:RNA	0.009	0.009	0	0.054	0.018	0.054	0.018	0.045	0.072	0.117	0.099	0.054	0.045	0.045	0.027	0.027	0.072	0.009	0.027	0.045	0.009	0.036	0.018	0	0.018	0.009	0.036	0	0	0	0	0.009	0.009	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.004	0.004	0.01	0.007	0.015	0.017	0.016	0.021	0.025	0.019	0.024	0.021	0.02	0.026	0.025	0.026	0.027	0.039	0.037	0.039	0.045	0.049	0.046	0.052	0.045	0.054	0.05	0.05	0.04	0.039	0.032	0.03	0.02	0.01	0.007	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.005	0.004	0.01	0.012	0.022	0.031	0.033	0.033	0.029	0.029	0.029	0.026	0.025	0.027	0.031	0.032	0.033	0.025	0.033	0.039	0.044	0.041	0.044	0.05	0.044	0.05	0.046	0.043	0.035	0.027	0.021	0.016	0.009	0.007	0.007	0.003	0.003	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.01	0.01	0.041	0.124	0.103	0	0	0	0.01	0	0.021	0	0	0.031	0.01	0.041	0.01	0.01	0	0.01	0.01	0	0.041	0.052	0	0	0.031	0.021	0.041	0.113	0.052	0.021	0.052	0.062	0.031	0.031	0	0.01	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.008	0.008	0.03	0.015	0.06	0.023	0.038	0.09	0.045	0.098	0.075	0.083	0.03	0.023	0.023	0.075	0.075	0.038	0.038	0.015	0.023	0.023	0	0.015	0.023	0.008	0.008	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
