Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	50-51	51-52	52-53
Simple_repeat	0.309	0.006	0.018	0.03	0.05	0.032	0.015	0.027	0.034	0.035	0.027	0.025	0.034	0.041	0.031	0.026	0.027	0.025	0.027	0.024	0.023	0.023	0.019	0.017	0.017	0.013	0.01	0.009	0.007	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.008	0.01	0.012	0.021	0.028	0.037	0.035	0.047	0.062	0.076	0.064	0.075	0.068	0.066	0.063	0.053	0.046	0.045	0.034	0.028	0.025	0.024	0.015	0.013	0.01	0.008	0.005	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0
Pseudogene:RNA	0.114	0.025	0.054	0.066	0.022	0.123	0.019	0.049	0.029	0.031	0.052	0.034	0.039	0.048	0.046	0.032	0.031	0.028	0.022	0.02	0.023	0.025	0.005	0.006	0.014	0.011	0.003	0.008	0.009	0.005	0.002	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.007	0.011	0.016	0.024	0.028	0.03	0.037	0.041	0.045	0.048	0.048	0.047	0.045	0.05	0.05	0.051	0.051	0.051	0.048	0.043	0.043	0.036	0.031	0.027	0.021	0.019	0.014	0.01	0.008	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.016	0.017	0.021	0.024	0.025	0.029	0.031	0.035	0.04	0.043	0.048	0.049	0.049	0.051	0.051	0.05	0.047	0.047	0.045	0.041	0.042	0.036	0.032	0.026	0.021	0.02	0.016	0.013	0.011	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.006	0.013	0.025	0.034	0.033	0.035	0.037	0.039	0.039	0.041	0.042	0.041	0.039	0.038	0.037	0.039	0.037	0.037	0.037	0.039	0.039	0.039	0.035	0.033	0.031	0.027	0.025	0.021	0.017	0.014	0.011	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.003	0.004	0.007	0.009	0.008	0.014	0.013	0.02	0.018	0.022	0.029	0.034	0.035	0.038	0.052	0.052	0.05	0.051	0.055	0.05	0.049	0.053	0.044	0.053	0.046	0.046	0.04	0.032	0.025	0.02	0.011	0.008	0.003	0.001	0.001	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0
Satellite	0.001	0.003	0.016	0.019	0.02	0.031	0.045	0.045	0.041	0.066	0.057	0.084	0.081	0.078	0.059	0.074	0.053	0.051	0.041	0.026	0.023	0.01	0.017	0.018	0.01	0.01	0.006	0.007	0.002	0.001	0.003	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.001	0.007	0.003	0.004	0.003	0.005	0.007	0.012	0.014	0.018	0.024	0.031	0.038	0.052	0.063	0.06	0.069	0.075	0.079	0.081	0.068	0.069	0.055	0.043	0.04	0.029	0.022	0.011	0.008	0.005	0.001	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.029	0.064	0.048	0.035	0.026	0.031	0.034	0.03	0.032	0.031	0.028	0.022	0.026	0.026	0.028	0.025	0.023	0.028	0.028	0.033	0.029	0.032	0.036	0.045	0.042	0.03	0.024	0.028	0.023	0.018	0.022	0.016	0.016	0.005	0.007	0.001	0.001	0	0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.004	0.004	0.004	0	0	0.021	0.013	0.017	0.021	0.026	0.034	0.038	0.068	0.089	0.077	0.119	0.089	0.06	0.094	0.055	0.038	0.055	0.026	0.013	0.026	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
