Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	50-51
ClassI:LTR	0.007	0.009	0.016	0.025	0.035	0.037	0.039	0.037	0.037	0.038	0.04	0.04	0.042	0.041	0.04	0.041	0.043	0.044	0.042	0.041	0.041	0.039	0.036	0.032	0.029	0.029	0.025	0.021	0.017	0.013	0.009	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.296	0.005	0.021	0.031	0.051	0.032	0.017	0.029	0.036	0.036	0.026	0.024	0.034	0.04	0.03	0.026	0.028	0.023	0.027	0.024	0.024	0.023	0.02	0.017	0.017	0.014	0.01	0.01	0.008	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
ClassII:TIR	0.006	0.017	0.026	0.03	0.037	0.041	0.04	0.043	0.048	0.048	0.049	0.051	0.048	0.046	0.044	0.043	0.043	0.04	0.04	0.036	0.036	0.033	0.029	0.026	0.021	0.018	0.016	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.007	0.01	0.011	0.014	0.023	0.029	0.038	0.038	0.046	0.064	0.074	0.062	0.069	0.061	0.065	0.064	0.055	0.046	0.043	0.037	0.027	0.029	0.022	0.016	0.012	0.009	0.008	0.005	0.003	0.003	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.008	0.013	0.017	0.017	0.018	0.019	0.018	0.016	0.02	0.019	0.025	0.024	0.033	0.033	0.032	0.035	0.034	0.035	0.039	0.036	0.043	0.043	0.041	0.047	0.046	0.048	0.042	0.041	0.037	0.032	0.024	0.021	0.019	0.011	0.008	0.005	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Unknown	0.013	0.018	0.029	0.036	0.039	0.044	0.045	0.046	0.048	0.047	0.048	0.048	0.049	0.048	0.049	0.049	0.047	0.044	0.039	0.035	0.033	0.027	0.024	0.019	0.016	0.014	0.011	0.01	0.007	0.006	0.004	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.001	0.002	0.004	0.003	0.005	0.007	0.008	0.013	0.017	0.023	0.026	0.032	0.043	0.054	0.06	0.069	0.08	0.083	0.073	0.084	0.071	0.06	0.047	0.036	0.03	0.023	0.016	0.01	0.005	0.005	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.009	0.02	0.02	0.016	0.015	0.008	0.016	0.022	0.026	0.053	0.053	0.039	0.073	0.076	0.074	0.076	0.055	0.071	0.056	0.044	0.052	0.036	0.026	0.015	0.008	0.002	0.009	0.008	0.004	0.004	0.002	0.005	0.001	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.017	0.013	0.015	0.02	0.023	0.031	0.03	0.036	0.023	0.029	0.024	0.035	0.039	0.035	0.032	0.034	0.032	0.035	0.029	0.038	0.04	0.04	0.039	0.04	0.039	0.043	0.039	0.037	0.033	0.022	0.017	0.016	0.011	0.006	0.003	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.046	0.087	0.082	0.108	0.105	0.071	0.057	0.053	0.039	0.011	0.027	0.018	0.014	0.021	0.014	0.03	0.037	0.023	0.021	0.037	0.034	0.023	0.011	0.007	0.011	0	0.005	0	0	0.002	0	0.002	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.111	0.056	0	0	0.056	0.028	0	0.056	0.056	0.056	0.028	0	0.083	0	0.056	0.028	0.056	0	0.056	0.083	0	0.028	0.028	0.028	0	0.028	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.016	0.083	0.094	0.068	0.057	0.052	0.016	0.047	0.042	0.042	0.057	0.073	0.042	0.083	0.052	0.036	0.052	0.031	0.021	0.016	0.005	0.005	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.195	0.03	0.01	0.009	0.013	0.017	0.023	0.025	0.034	0.024	0.03	0.05	0.036	0.041	0.032	0.039	0.037	0.048	0.057	0.037	0.053	0.05	0.036	0.031	0.01	0.008	0.006	0.006	0.008	0.002	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.018	0.051	0.062	0.066	0.051	0.077	0.059	0.04	0.059	0.077	0.04	0.026	0.026	0.037	0.033	0.029	0.033	0.026	0.015	0.033	0.044	0.026	0.018	0.018	0.015	0.007	0.004	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
