Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	51-52
ClassII:TIR	0.004	0.006	0.012	0.019	0.025	0.03	0.037	0.039	0.042	0.043	0.047	0.047	0.048	0.05	0.051	0.052	0.052	0.052	0.05	0.047	0.045	0.04	0.036	0.029	0.024	0.02	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.01	0.009	0.011	0.02	0.026	0.036	0.036	0.043	0.065	0.074	0.064	0.071	0.066	0.068	0.062	0.054	0.048	0.046	0.037	0.029	0.027	0.023	0.018	0.013	0.011	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0
ClassI:LTR	0.003	0.005	0.012	0.019	0.029	0.038	0.042	0.047	0.05	0.054	0.053	0.053	0.053	0.053	0.051	0.049	0.045	0.042	0.038	0.034	0.035	0.031	0.03	0.026	0.022	0.02	0.016	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.063	0.042	0.042	0.069	0.035	0.043	0.034	0.022	0.019	0.019	0.023	0.023	0.023	0.024	0.026	0.029	0.031	0.034	0.035	0.034	0.038	0.036	0.034	0.03	0.029	0.027	0.025	0.023	0.023	0.018	0.014	0.011	0.014	0.005	0.002	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.258	0.004	0.022	0.032	0.049	0.035	0.019	0.029	0.036	0.036	0.026	0.026	0.034	0.041	0.032	0.028	0.028	0.026	0.029	0.027	0.027	0.025	0.022	0.019	0.02	0.015	0.012	0.011	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.005	0.006	0.011	0.015	0.021	0.025	0.026	0.029	0.032	0.034	0.038	0.041	0.042	0.047	0.047	0.05	0.051	0.051	0.052	0.049	0.051	0.047	0.043	0.038	0.032	0.029	0.022	0.018	0.014	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.026	0.033	0.022	0.023	0.014	0.011	0.011	0.014	0.018	0.025	0.033	0.041	0.048	0.056	0.055	0.058	0.055	0.057	0.051	0.05	0.048	0.044	0.04	0.038	0.028	0.028	0.02	0.017	0.012	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0.001	0	0	0	0	0.001	0.002	0.003	0.005	0.01	0.006	0.019	0.021	0.028	0.037	0.047	0.07	0.061	0.113	0.111	0.124	0.129	0.1	0.058	0.028	0.014	0.006	0.005	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.015	0.016	0.017	0.02	0.027	0.036	0.042	0.046	0.045	0.041	0.041	0.031	0.031	0.029	0.029	0.029	0.032	0.029	0.03	0.035	0.034	0.039	0.039	0.036	0.044	0.039	0.036	0.029	0.022	0.018	0.012	0.009	0.005	0.003	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.02	0.008	0.01	0.024	0.008	0.03	0.059	0.147	0.127	0.115	0.044	0.042	0.02	0.024	0.024	0.036	0.034	0.042	0.034	0.034	0.036	0.032	0.016	0.018	0.002	0.004	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.004	0.007	0	0.004	0.014	0.025	0.032	0.028	0.035	0.025	0.028	0.032	0.053	0.064	0.067	0.032	0.053	0.092	0.096	0.06	0.071	0.064	0.043	0.021	0.018	0.011	0.011	0.004	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.183	0.183	0.028	0.037	0	0	0.037	0.028	0.018	0.009	0.009	0	0.009	0.018	0.037	0.055	0.028	0.009	0.028	0.037	0.037	0.046	0.037	0.037	0.009	0.009	0.009	0.046	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
