Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	51-52	54-55
Unknown	0.005	0.008	0.014	0.019	0.025	0.03	0.034	0.036	0.041	0.044	0.045	0.044	0.048	0.048	0.049	0.049	0.049	0.049	0.047	0.045	0.045	0.041	0.038	0.033	0.028	0.025	0.018	0.014	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.284	0.008	0.017	0.025	0.052	0.039	0.014	0.026	0.035	0.038	0.026	0.025	0.032	0.04	0.03	0.027	0.028	0.026	0.028	0.025	0.025	0.025	0.021	0.019	0.017	0.014	0.012	0.011	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.005	0.008	0.013	0.02	0.023	0.026	0.03	0.035	0.038	0.04	0.043	0.044	0.045	0.045	0.045	0.044	0.045	0.046	0.044	0.043	0.043	0.042	0.04	0.037	0.033	0.028	0.023	0.018	0.015	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.007	0.009	0.012	0.019	0.024	0.036	0.032	0.04	0.064	0.071	0.067	0.07	0.063	0.066	0.067	0.057	0.05	0.052	0.036	0.03	0.028	0.022	0.017	0.013	0.012	0.009	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0
ClassI:LTR	0.007	0.016	0.026	0.029	0.031	0.035	0.035	0.032	0.032	0.035	0.034	0.037	0.035	0.034	0.034	0.034	0.036	0.035	0.037	0.038	0.039	0.038	0.037	0.036	0.035	0.035	0.032	0.029	0.025	0.02	0.015	0.011	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.003	0.005	0.008	0.014	0.025	0.04	0.037	0.041	0.032	0.026	0.023	0.032	0.03	0.035	0.035	0.053	0.041	0.042	0.041	0.03	0.029	0.052	0.035	0.045	0.05	0.052	0.046	0.042	0.033	0.017	0.004	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.003	0.004	0.005	0.007	0.009	0.006	0.011	0.008	0.008	0.017	0.021	0.023	0.026	0.035	0.039	0.061	0.059	0.056	0.071	0.081	0.08	0.079	0.055	0.059	0.057	0.038	0.031	0.02	0.01	0.013	0.006	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.004	0.006	0.01	0.012	0.013	0.012	0.012	0.011	0.018	0.015	0.022	0.026	0.027	0.032	0.043	0.034	0.042	0.042	0.043	0.051	0.049	0.049	0.065	0.06	0.062	0.056	0.051	0.043	0.029	0.021	0.015	0.011	0.007	0.002	0.002	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.008	0.016	0.016	0.019	0.003	0.022	0.071	0.159	0.126	0.107	0.085	0.06	0.085	0.038	0.025	0.019	0.022	0.011	0.014	0.014	0.014	0.016	0.008	0.016	0.014	0	0.005	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.018	0.013	0.006	0.018	0.023	0.018	0.02	0.019	0.024	0.016	0.025	0.018	0.02	0.02	0.021	0.014	0.019	0.023	0.04	0.042	0.049	0.044	0.045	0.043	0.04	0.033	0.046	0.042	0.06	0.058	0.046	0.03	0.027	0.009	0.008	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.047	0.027	0.02	0.023	0.02	0.017	0.04	0.027	0.037	0.047	0.04	0.053	0.057	0.04	0.027	0.06	0.047	0.057	0.02	0.027	0.03	0.037	0.047	0.017	0.023	0.03	0.02	0.017	0.023	0.003	0.017	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0.006	0.003	0.003	0.017	0.03	0.061	0.063	0.099	0.052	0.116	0.121	0.094	0.072	0.055	0.047	0.033	0.019	0.019	0.028	0.044	0.014	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
