Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	46-47	47-48
Unknown	0.005	0.004	0.01	0.016	0.022	0.03	0.031	0.034	0.036	0.037	0.04	0.043	0.044	0.047	0.049	0.052	0.051	0.053	0.054	0.05	0.051	0.047	0.04	0.036	0.03	0.025	0.018	0.015	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.213	0.002	0.015	0.03	0.055	0.036	0.017	0.029	0.037	0.04	0.028	0.028	0.039	0.045	0.035	0.031	0.032	0.03	0.032	0.029	0.03	0.029	0.024	0.021	0.021	0.016	0.013	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.005	0.001	0.007	0.013	0.017	0.021	0.033	0.039	0.039	0.039	0.038	0.035	0.037	0.039	0.04	0.038	0.045	0.047	0.049	0.05	0.043	0.043	0.037	0.046	0.04	0.044	0.035	0.03	0.021	0.013	0.006	0.004	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.008	0.009	0.011	0.019	0.024	0.035	0.033	0.043	0.062	0.077	0.063	0.076	0.069	0.067	0.065	0.053	0.051	0.049	0.038	0.032	0.029	0.021	0.017	0.013	0.009	0.006	0.004	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0
ClassI:LTR	0.007	0.007	0.015	0.019	0.023	0.03	0.031	0.035	0.04	0.044	0.044	0.039	0.036	0.037	0.037	0.036	0.039	0.039	0.042	0.044	0.043	0.041	0.039	0.037	0.034	0.034	0.03	0.025	0.02	0.015	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.004	0.01	0.014	0.018	0.023	0.027	0.028	0.031	0.035	0.035	0.036	0.038	0.043	0.042	0.045	0.048	0.049	0.048	0.049	0.051	0.049	0.047	0.044	0.039	0.036	0.03	0.024	0.017	0.013	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.013	0.02	0.026	0.03	0.022	0.029	0.026	0.026	0.026	0.029	0.031	0.031	0.034	0.036	0.036	0.035	0.035	0.05	0.044	0.046	0.045	0.044	0.038	0.032	0.035	0.029	0.024	0.017	0.02	0.021	0.018	0.016	0.014	0.008	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.032	0.02	0.06	0.025	0.104	0.082	0.072	0.065	0.047	0.025	0.065	0.047	0.055	0.047	0.06	0.027	0.035	0.02	0.012	0.01	0.007	0.012	0.012	0.007	0.005	0.012	0.002	0.01	0.007	0	0.007	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0.016	0.011	0.016	0.005	0.011	0.037	0.016	0.027	0.048	0.048	0.064	0.048	0.07	0.053	0.086	0.048	0.08	0.086	0.059	0.027	0.053	0.032	0.011	0.021	0.011	0.005	0.005	0	0	0.005	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.002	0.004	0.006	0.008	0.028	0.004	0.012	0.006	0.012	0.012	0.012	0.016	0.024	0.026	0.03	0.036	0.036	0.042	0.06	0.065	0.079	0.079	0.083	0.058	0.065	0.05	0.038	0.042	0.014	0.016	0.01	0.01	0.01	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.006	0.012	0.012	0.006	0.029	0	0.018	0.018	0.006	0.023	0.018	0.053	0.035	0.041	0.029	0.064	0.023	0.07	0.035	0.047	0.053	0.076	0.047	0.047	0.035	0.07	0.058	0.012	0.012	0.018	0.023	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.071	0.143	0.079	0.032	0.016	0.048	0.008	0.048	0.04	0.024	0.032	0.032	0	0.024	0.056	0.008	0.032	0	0.024	0.016	0.016	0.024	0.032	0.056	0.016	0.024	0.016	0.016	0.024	0.008	0.016	0.016	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
