Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
Simple_repeat	0.306	0.01	0.025	0.034	0.046	0.034	0.018	0.026	0.03	0.031	0.024	0.023	0.028	0.034	0.028	0.027	0.027	0.025	0.027	0.024	0.025	0.024	0.021	0.018	0.019	0.014	0.011	0.01	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:TIR	0.004	0.006	0.013	0.022	0.026	0.028	0.03	0.032	0.035	0.036	0.039	0.041	0.043	0.044	0.046	0.05	0.052	0.053	0.052	0.051	0.049	0.046	0.042	0.036	0.03	0.024	0.019	0.015	0.011	0.008	0.006	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.004	0.005	0.014	0.02	0.019	0.019	0.024	0.027	0.036	0.039	0.042	0.045	0.049	0.051	0.05	0.051	0.049	0.05	0.047	0.044	0.044	0.04	0.038	0.035	0.031	0.029	0.024	0.02	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.001	0.001	0.005	0.009	0.014	0.02	0.023	0.026	0.031	0.035	0.04	0.045	0.05	0.054	0.052	0.05	0.048	0.049	0.047	0.047	0.045	0.042	0.04	0.037	0.034	0.03	0.025	0.021	0.018	0.015	0.013	0.01	0.008	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LINE	0.002	0.003	0.006	0.008	0.011	0.01	0.008	0.01	0.012	0.013	0.016	0.021	0.02	0.023	0.028	0.036	0.039	0.04	0.041	0.039	0.042	0.044	0.046	0.052	0.057	0.065	0.071	0.068	0.054	0.043	0.029	0.02	0.011	0.006	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.004	0.001	0.002	0.006	0.011	0.012	0.016	0.024	0.031	0.043	0.041	0.049	0.063	0.071	0.06	0.065	0.063	0.064	0.063	0.051	0.048	0.047	0.038	0.03	0.026	0.021	0.014	0.013	0.008	0.005	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
ClassII:Rolling_Circle	0.003	0.013	0.018	0.023	0.027	0.029	0.029	0.021	0.023	0.024	0.029	0.033	0.035	0.043	0.047	0.054	0.048	0.049	0.052	0.046	0.043	0.035	0.032	0.025	0.021	0.02	0.022	0.026	0.02	0.019	0.021	0.021	0.017	0.014	0.009	0.005	0.002	0.001	0.001	0	0	0	0	0	0	0
ClassI:SINE	0	0	0.001	0.003	0	0.002	0.002	0.01	0.008	0.016	0.011	0.032	0.042	0.072	0.049	0.056	0.067	0.068	0.054	0.054	0.057	0.047	0.045	0.054	0.039	0.046	0.034	0.028	0.027	0.019	0.019	0.02	0.008	0.006	0.001	0.003	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.014	0.017	0.019	0.02	0.024	0.04	0.058	0.072	0.068	0.055	0.054	0.051	0.056	0.052	0.051	0.054	0.054	0.057	0.04	0.037	0.032	0.024	0.015	0.012	0.011	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.002	0	0	0.001	0.001	0	0.005	0.002	0.002	0.003	0.001	0.002	0.006	0.006	0.007	0.011	0.025	0.034	0.052	0.055	0.075	0.089	0.087	0.083	0.081	0.088	0.078	0.066	0.05	0.04	0.025	0.015	0.006	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.001	0	0.001	0.002	0.008	0.011	0.028	0.024	0.032	0.028	0.029	0.054	0.031	0.056	0.043	0.05	0.054	0.054	0.06	0.078	0.089	0.078	0.067	0.037	0.041	0.02	0.011	0.006	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
