Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassII:TIR	0.009	0.012	0.023	0.029	0.037	0.041	0.042	0.043	0.047	0.048	0.049	0.051	0.051	0.052	0.049	0.048	0.044	0.043	0.04	0.037	0.036	0.03	0.028	0.024	0.019	0.017	0.014	0.012	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.013	0.012	0.024	0.027	0.038	0.042	0.043	0.045	0.047	0.047	0.048	0.048	0.046	0.047	0.046	0.045	0.043	0.042	0.04	0.037	0.036	0.032	0.028	0.026	0.021	0.02	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.283	0.001	0.014	0.028	0.049	0.036	0.015	0.027	0.038	0.042	0.029	0.028	0.036	0.045	0.03	0.027	0.029	0.025	0.027	0.024	0.025	0.025	0.02	0.018	0.017	0.013	0.01	0.009	0.008	0.006	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.001	0	0.0	0.002	0.0	0.002	0.004	0.011	0.01	0.013	0.024	0.031	0.039	0.038	0.044	0.076	0.082	0.06	0.069	0.068	0.065	0.062	0.051	0.047	0.045	0.031	0.027	0.024	0.017	0.015	0.011	0.007	0.007	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
ClassI:LINE	0.002	0.003	0.005	0.008	0.011	0.014	0.018	0.019	0.025	0.027	0.028	0.032	0.033	0.038	0.04	0.036	0.043	0.046	0.045	0.049	0.053	0.054	0.051	0.049	0.048	0.049	0.044	0.038	0.03	0.024	0.015	0.01	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.001	0.0	0	0.0	0.0	0	0	0.001	0.001	0	0.002	0.002	0.005	0.011	0.022	0.042	0.077	0.124	0.153	0.152	0.138	0.099	0.071	0.046	0.028	0.014	0.006	0.005	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.008	0.01	0.018	0.026	0.039	0.05	0.053	0.055	0.055	0.053	0.053	0.051	0.049	0.047	0.044	0.041	0.038	0.037	0.035	0.031	0.029	0.026	0.024	0.022	0.021	0.02	0.016	0.014	0.011	0.008	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.003	0.004	0.01	0.012	0.015	0.022	0.027	0.029	0.029	0.037	0.045	0.046	0.05	0.059	0.056	0.056	0.059	0.053	0.051	0.04	0.054	0.046	0.039	0.037	0.03	0.03	0.022	0.016	0.009	0.007	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.002	0.01	0.012	0.041	0.028	0.024	0.03	0.042	0.037	0.042	0.025	0.036	0.027	0.033	0.048	0.075	0.103	0.096	0.073	0.071	0.057	0.038	0.021	0.013	0.007	0.005	0.001	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.006	0.011	0.016	0.022	0.03	0.026	0.024	0.024	0.033	0.034	0.035	0.036	0.036	0.035	0.039	0.041	0.034	0.03	0.029	0.038	0.033	0.037	0.04	0.034	0.045	0.041	0.049	0.034	0.031	0.027	0.018	0.011	0.006	0.006	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.002	0	0.006	0.011	0.017	0.014	0.027	0.023	0.02	0.029	0.035	0.044	0.047	0.044	0.062	0.054	0.075	0.062	0.081	0.068	0.062	0.047	0.038	0.027	0.027	0.024	0.011	0.008	0.012	0.015	0.006	0.005	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0.016	0.005	0.016	0.022	0.044	0.033	0.022	0.033	0.033	0.038	0.033	0.033	0.027	0.066	0.044	0.077	0.093	0.055	0.087	0.022	0.066	0.044	0.038	0.011	0.016	0.022	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.045	0.009	0.018	0.027	0.071	0.062	0.027	0.071	0.071	0.027	0.027	0.054	0.054	0.107	0.036	0.054	0.027	0.089	0.027	0.009	0.009	0	0.054	0	0.009	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.235	0.029	0.147	0	0.206	0.059	0	0.029	0.029	0.029	0.029	0.059	0.029	0.029	0	0.029	0	0	0	0	0	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
