Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	49-50	51-52
Simple_repeat	0.362	0.006	0.021	0.029	0.045	0.033	0.015	0.024	0.031	0.033	0.023	0.022	0.03	0.038	0.027	0.022	0.024	0.021	0.024	0.021	0.022	0.021	0.018	0.016	0.017	0.012	0.009	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LTR	0.003	0.006	0.016	0.021	0.03	0.041	0.048	0.053	0.052	0.051	0.052	0.05	0.049	0.047	0.043	0.043	0.039	0.037	0.035	0.033	0.033	0.031	0.028	0.027	0.023	0.022	0.019	0.016	0.013	0.01	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Unknown	0.004	0.007	0.016	0.024	0.029	0.034	0.038	0.044	0.049	0.049	0.05	0.051	0.051	0.049	0.05	0.048	0.047	0.046	0.043	0.041	0.039	0.035	0.031	0.028	0.023	0.02	0.015	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.004	0.016	0.024	0.032	0.036	0.041	0.045	0.047	0.05	0.052	0.05	0.047	0.047	0.045	0.043	0.043	0.042	0.042	0.04	0.041	0.039	0.035	0.031	0.026	0.023	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.004	0.008	0.009	0.008	0.009	0.01	0.013	0.016	0.02	0.022	0.029	0.029	0.034	0.034	0.034	0.037	0.038	0.044	0.041	0.046	0.051	0.054	0.057	0.059	0.062	0.055	0.05	0.043	0.031	0.022	0.014	0.007	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.005	0.013	0.025	0.029	0.036	0.042	0.046	0.054	0.051	0.05	0.053	0.048	0.051	0.056	0.047	0.05	0.05	0.048	0.043	0.035	0.036	0.029	0.025	0.02	0.016	0.012	0.012	0.01	0.005	0.003	0.002	0.001	0.0	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.002	0.005	0.01	0.011	0.013	0.018	0.027	0.035	0.036	0.045	0.065	0.077	0.064	0.071	0.065	0.067	0.061	0.055	0.047	0.046	0.036	0.029	0.027	0.022	0.017	0.012	0.011	0.007	0.005	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0.0
Satellite	0.003	0.004	0.005	0.015	0.022	0.037	0.063	0.042	0.029	0.036	0.049	0.055	0.052	0.076	0.064	0.065	0.06	0.061	0.052	0.04	0.052	0.034	0.03	0.022	0.011	0.007	0.008	0.003	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.007	0.014	0.014	0.01	0.011	0.017	0.019	0.022	0.025	0.03	0.039	0.027	0.03	0.027	0.022	0.03	0.026	0.026	0.028	0.028	0.032	0.038	0.042	0.048	0.047	0.048	0.047	0.052	0.051	0.041	0.036	0.023	0.02	0.01	0.006	0.003	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.004	0.038	0.063	0.063	0.092	0.096	0.054	0.029	0.021	0.017	0.008	0.013	0.033	0.038	0.029	0.025	0.063	0.029	0.059	0.071	0.054	0.033	0.017	0.004	0.008	0.013	0.004	0.004	0.008	0	0	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0.006	0	0	0	0.017	0.006	0.033	0.017	0.033	0.05	0.105	0.122	0.122	0.122	0.066	0.072	0.05	0.017	0.028	0	0.017	0	0.006	0.044	0.011	0.022	0.006	0	0.011	0.011	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.007	0.005	0.007	0.007	0.022	0.015	0.01	0.012	0.067	0.044	0.037	0.037	0.025	0.054	0.042	0.035	0.059	0.054	0.069	0.062	0.081	0.057	0.037	0.035	0.022	0.035	0.015	0.017	0.005	0.015	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
