Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	47-48	48-49
Simple_repeat	0.368	0.005	0.019	0.031	0.045	0.033	0.015	0.024	0.031	0.034	0.023	0.022	0.029	0.038	0.027	0.022	0.024	0.021	0.024	0.021	0.021	0.021	0.017	0.015	0.016	0.011	0.009	0.008	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.052	0.043	0.05	0.049	0.048	0.045	0.04	0.04	0.041	0.04	0.04	0.039	0.037	0.037	0.035	0.034	0.034	0.033	0.032	0.031	0.031	0.029	0.026	0.024	0.021	0.018	0.014	0.011	0.008	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.02	0.02	0.026	0.029	0.031	0.033	0.033	0.035	0.037	0.039	0.04	0.041	0.04	0.041	0.041	0.04	0.04	0.042	0.043	0.042	0.042	0.039	0.037	0.033	0.029	0.025	0.021	0.018	0.014	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.006	0.008	0.009	0.01	0.013	0.012	0.015	0.015	0.017	0.019	0.021	0.022	0.024	0.028	0.031	0.034	0.036	0.04	0.043	0.048	0.052	0.054	0.059	0.06	0.06	0.057	0.053	0.046	0.039	0.027	0.018	0.009	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.04	0.045	0.045	0.041	0.045	0.044	0.043	0.042	0.042	0.04	0.039	0.04	0.039	0.038	0.037	0.035	0.034	0.033	0.033	0.032	0.031	0.028	0.025	0.023	0.02	0.018	0.015	0.012	0.01	0.008	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.01	0.01	0.012	0.02	0.025	0.037	0.035	0.041	0.071	0.077	0.06	0.074	0.067	0.065	0.064	0.054	0.046	0.045	0.037	0.03	0.024	0.023	0.017	0.013	0.01	0.008	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:SINE	0.003	0.005	0.016	0.022	0.032	0.031	0.047	0.046	0.045	0.046	0.053	0.049	0.046	0.051	0.049	0.058	0.06	0.05	0.054	0.042	0.045	0.035	0.025	0.025	0.018	0.016	0.011	0.007	0.006	0.004	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.005	0.087	0.024	0.022	0.039	0.047	0.031	0.029	0.034	0.032	0.034	0.044	0.039	0.037	0.047	0.054	0.056	0.053	0.053	0.05	0.046	0.035	0.033	0.022	0.015	0.013	0.009	0.006	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.004	0.006	0.008	0.011	0.017	0.018	0.024	0.029	0.034	0.031	0.033	0.034	0.036	0.038	0.035	0.028	0.036	0.031	0.029	0.036	0.036	0.039	0.041	0.043	0.04	0.037	0.036	0.038	0.034	0.037	0.029	0.028	0.018	0.012	0.005	0.002	0.001	0.0	0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0.867	0.053	0.013	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.002	0.003	0.001	0.001	0.002	0.001	0.002	0.001	0.005	0.001	0.002	0.003	0.002	0.002	0.003	0.004	0.002	0.002	0.003	0.002	0.004	0.001	0.0	0.001	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
ClassI:PLE	0.019	0.078	0.076	0.115	0.088	0.119	0.066	0.045	0.054	0.056	0.035	0.035	0.029	0.023	0.021	0.019	0.025	0.01	0.012	0.01	0.021	0.016	0.002	0.014	0.002	0.006	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.086	0.027	0.044	0.003	0.024	0.053	0.047	0.098	0.089	0.098	0.121	0.068	0.036	0.056	0.024	0.012	0.024	0.021	0.006	0.003	0.009	0.012	0.015	0.003	0.018	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.15	0.159	0.084	0.089	0.065	0.07	0.075	0.023	0.033	0.028	0.033	0.061	0.023	0.042	0.033	0	0.009	0.005	0.005	0	0.005	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
