Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	47-48	48-49
Unknown	0.003	0.004	0.008	0.013	0.018	0.021	0.024	0.029	0.034	0.039	0.043	0.047	0.05	0.054	0.056	0.057	0.059	0.059	0.059	0.055	0.052	0.047	0.04	0.033	0.025	0.021	0.016	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.212	0.001	0.015	0.033	0.052	0.037	0.019	0.03	0.037	0.041	0.029	0.03	0.043	0.058	0.046	0.035	0.033	0.026	0.028	0.026	0.025	0.025	0.021	0.019	0.017	0.013	0.011	0.01	0.008	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:TIR	0.004	0.002	0.007	0.011	0.012	0.015	0.017	0.019	0.023	0.026	0.029	0.034	0.039	0.044	0.05	0.052	0.059	0.062	0.064	0.062	0.061	0.054	0.049	0.042	0.036	0.031	0.023	0.017	0.015	0.011	0.009	0.008	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.011	0.003	0.011	0.004	0.011	0.009	0.012	0.013	0.014	0.017	0.02	0.015	0.02	0.023	0.025	0.023	0.03	0.027	0.035	0.041	0.049	0.06	0.057	0.066	0.068	0.069	0.062	0.05	0.042	0.034	0.025	0.022	0.016	0.008	0.005	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.004	0.004	0.009	0.012	0.014	0.019	0.025	0.031	0.034	0.036	0.04	0.039	0.04	0.042	0.043	0.044	0.041	0.042	0.043	0.044	0.047	0.046	0.044	0.041	0.039	0.036	0.032	0.026	0.021	0.017	0.013	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.002	0.004	0.007	0.009	0.01	0.017	0.021	0.03	0.03	0.037	0.07	0.085	0.071	0.076	0.072	0.07	0.065	0.058	0.052	0.045	0.033	0.027	0.025	0.02	0.016	0.013	0.009	0.007	0.006	0.003	0.002	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0
ClassII:Rolling_Circle	0.0	0.003	0.006	0.009	0.007	0.012	0.012	0.025	0.034	0.031	0.039	0.032	0.039	0.042	0.032	0.034	0.034	0.041	0.047	0.042	0.042	0.05	0.039	0.044	0.03	0.033	0.035	0.032	0.029	0.034	0.034	0.02	0.02	0.016	0.007	0.005	0.004	0.001	0.001	0.002	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.01	0	0	0.005	0.02	0.035	0.005	0.04	0.045	0.045	0.09	0.08	0.13	0.135	0.14	0.125	0.035	0.035	0.015	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.169	0.056	0.02	0.03	0.02	0.033	0.02	0.017	0.017	0.023	0.02	0.027	0.027	0.013	0.017	0.033	0.03	0.023	0.017	0.023	0.02	0.027	0.02	0.033	0.007	0.037	0.027	0.037	0.043	0.03	0.043	0.023	0.01	0.007	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0.001	0	0.005	0.002	0.012	0.016	0.021	0.025	0.035	0.019	0.042	0.039	0.046	0.058	0.063	0.05	0.058	0.053	0.081	0.058	0.059	0.054	0.051	0.047	0.024	0.033	0.017	0.014	0.008	0.005	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.017	0	0.017	0	0.034	0.086	0.121	0.172	0.052	0.086	0.017	0.052	0.103	0.069	0.017	0.034	0.034	0.017	0.017	0.017	0.017	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
