Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Unknown	0.006	0.004	0.009	0.013	0.016	0.021	0.025	0.028	0.032	0.033	0.039	0.041	0.044	0.047	0.048	0.051	0.051	0.053	0.054	0.05	0.054	0.049	0.046	0.04	0.034	0.031	0.023	0.017	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.021	0.023	0.014	0.017	0.028	0.022	0.04	0.042	0.056	0.054	0.059	0.07	0.061	0.065	0.053	0.053	0.045	0.042	0.033	0.04	0.037	0.018	0.021	0.019	0.014	0.017	0.008	0.005	0.006	0.004	0.004	0.001	0.003	0.002	0.002	0.001	0	0	0.001	0	0	0	0	0	0
ClassI:LTR	0.002	0.002	0.008	0.013	0.017	0.022	0.026	0.03	0.035	0.038	0.041	0.045	0.046	0.05	0.051	0.053	0.055	0.057	0.056	0.052	0.052	0.045	0.04	0.034	0.028	0.025	0.019	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0
ClassII:TIR	0.002	0.001	0.003	0.006	0.006	0.011	0.013	0.018	0.024	0.023	0.025	0.028	0.036	0.039	0.045	0.051	0.063	0.066	0.066	0.069	0.07	0.061	0.06	0.051	0.042	0.036	0.027	0.02	0.012	0.009	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.259	0.003	0.015	0.033	0.052	0.032	0.019	0.031	0.037	0.036	0.029	0.029	0.036	0.041	0.033	0.027	0.029	0.026	0.029	0.026	0.026	0.026	0.024	0.02	0.019	0.015	0.012	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.008	0.009	0.012	0.019	0.024	0.031	0.029	0.04	0.064	0.073	0.061	0.072	0.067	0.069	0.064	0.059	0.053	0.049	0.04	0.031	0.031	0.023	0.017	0.013	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
Pseudogene:RNA	0.028	0.015	0.022	0.025	0.034	0.046	0.052	0.051	0.056	0.054	0.055	0.053	0.05	0.05	0.042	0.045	0.037	0.037	0.041	0.031	0.037	0.026	0.024	0.018	0.016	0.013	0.011	0.007	0.006	0.009	0.004	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0
ClassI:SINE	0.015	0.017	0.021	0.02	0.026	0.033	0.042	0.043	0.042	0.049	0.047	0.056	0.053	0.05	0.056	0.052	0.047	0.045	0.043	0.038	0.041	0.031	0.029	0.025	0.02	0.015	0.012	0.011	0.006	0.006	0.004	0.002	0.001	0.0	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.003	0.002	0.005	0.008	0.011	0.014	0.016	0.019	0.02	0.023	0.025	0.025	0.03	0.031	0.035	0.035	0.039	0.043	0.052	0.055	0.061	0.058	0.064	0.06	0.061	0.059	0.043	0.036	0.025	0.016	0.009	0.009	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0
Satellite	0.028	0.017	0.013	0.019	0.023	0.039	0.028	0.031	0.056	0.036	0.055	0.055	0.047	0.054	0.038	0.042	0.041	0.044	0.038	0.021	0.048	0.035	0.025	0.034	0.023	0.02	0.029	0.013	0.011	0.012	0.004	0.001	0.01	0.007	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0.016	0.016	0.031	0.016	0	0	0	0	0	0	0	0.016	0	0	0	0.016	0.031	0.016	0.016	0.016	0.031	0.031	0.016	0.078	0.016	0.062	0.188	0.156	0.078	0.062	0.031	0.016	0.031	0.016	0	0	0	0	0	0	0
