Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	49-50
Unknown	0.003	0.005	0.009	0.011	0.014	0.017	0.02	0.023	0.027	0.03	0.035	0.038	0.043	0.049	0.052	0.057	0.059	0.061	0.062	0.06	0.06	0.054	0.046	0.04	0.033	0.028	0.02	0.015	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.179	0.003	0.012	0.027	0.047	0.034	0.016	0.027	0.038	0.041	0.03	0.029	0.041	0.049	0.038	0.032	0.035	0.031	0.035	0.032	0.032	0.032	0.029	0.025	0.024	0.018	0.015	0.013	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.008	0.009	0.011	0.021	0.026	0.031	0.031	0.045	0.063	0.073	0.059	0.067	0.066	0.067	0.068	0.057	0.052	0.05	0.04	0.031	0.031	0.024	0.017	0.013	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0
ClassI:LTR	0.002	0.004	0.01	0.017	0.023	0.024	0.025	0.029	0.034	0.038	0.036	0.035	0.033	0.035	0.035	0.038	0.037	0.034	0.032	0.033	0.037	0.036	0.038	0.039	0.041	0.041	0.041	0.039	0.034	0.028	0.022	0.018	0.012	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.001	0.004	0.008	0.014	0.017	0.023	0.03	0.029	0.029	0.035	0.035	0.036	0.039	0.037	0.034	0.04	0.038	0.036	0.035	0.039	0.043	0.039	0.045	0.044	0.04	0.037	0.037	0.039	0.031	0.026	0.02	0.017	0.01	0.006	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.002	0.002	0.003	0.005	0.008	0.01	0.011	0.011	0.012	0.017	0.02	0.026	0.029	0.033	0.04	0.042	0.049	0.055	0.06	0.06	0.063	0.063	0.065	0.066	0.063	0.056	0.048	0.034	0.021	0.013	0.006	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.046	0.026	0.035	0.034	0.019	0.034	0.039	0.035	0.041	0.038	0.028	0.044	0.048	0.047	0.05	0.039	0.04	0.048	0.048	0.036	0.042	0.026	0.028	0.03	0.027	0.017	0.015	0.006	0.009	0.013	0.004	0.004	0.002	0.002	0	0	0	0	0.001	0	0	0	0	0	0	0	0
ClassI:SINE	0.017	0.012	0.014	0.014	0.012	0.019	0.025	0.013	0.022	0.017	0.021	0.025	0.023	0.03	0.035	0.044	0.054	0.053	0.046	0.055	0.071	0.07	0.069	0.064	0.04	0.048	0.031	0.022	0.013	0.008	0.005	0.004	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.001	0.002	0.001	0.004	0.007	0.006	0.009	0.014	0.022	0.032	0.025	0.039	0.054	0.087	0.104	0.111	0.09	0.074	0.072	0.066	0.053	0.035	0.03	0.023	0.018	0.01	0.005	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.009	0.014	0.045	0.05	0.06	0.059	0.072	0.051	0.036	0.035	0.018	0.009	0.013	0.011	0.01	0.014	0.028	0.039	0.033	0.06	0.056	0.057	0.072	0.071	0.028	0.021	0.011	0.007	0.004	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0.014	0.024	0.01	0.021	0.014	0.021	0.007	0.014	0.01	0.014	0.017	0.031	0.014	0.031	0.038	0.038	0.024	0.034	0.058	0.069	0.058	0.055	0.058	0.052	0.024	0.062	0.038	0.034	0.041	0.034	0.021	0.007	0.007	0.003	0	0.003	0	0	0	0	0	0	0	0	0
