Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	46-47	47-48	50-51	55-56
ClassI:LTR	0.002	0.002	0.004	0.007	0.008	0.012	0.018	0.025	0.036	0.047	0.059	0.064	0.061	0.058	0.05	0.044	0.04	0.038	0.036	0.036	0.036	0.035	0.034	0.035	0.034	0.035	0.032	0.028	0.023	0.018	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.216	0.007	0.018	0.025	0.036	0.024	0.016	0.024	0.027	0.028	0.023	0.024	0.031	0.035	0.034	0.038	0.043	0.044	0.044	0.037	0.035	0.031	0.028	0.023	0.025	0.019	0.016	0.014	0.011	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0
ClassI:LINE	0.008	0.017	0.017	0.014	0.016	0.016	0.013	0.014	0.015	0.018	0.02	0.024	0.027	0.027	0.028	0.033	0.033	0.03	0.033	0.03	0.032	0.033	0.036	0.039	0.042	0.047	0.05	0.052	0.054	0.053	0.047	0.035	0.024	0.013	0.007	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.005	0.006	0.01	0.016	0.02	0.026	0.031	0.037	0.042	0.047	0.051	0.054	0.056	0.057	0.059	0.058	0.057	0.054	0.053	0.048	0.042	0.037	0.031	0.026	0.02	0.015	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.002	0.005	0.006	0.011	0.018	0.024	0.029	0.031	0.032	0.034	0.035	0.037	0.038	0.041	0.045	0.052	0.057	0.067	0.068	0.062	0.055	0.047	0.04	0.034	0.031	0.024	0.02	0.016	0.013	0.009	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.009	0.009	0.013	0.021	0.028	0.036	0.04	0.051	0.061	0.07	0.06	0.07	0.064	0.06	0.06	0.055	0.049	0.05	0.039	0.035	0.03	0.023	0.016	0.012	0.01	0.006	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0
ClassII:Rolling_Circle	0.005	0.004	0.005	0.005	0.006	0.008	0.014	0.035	0.057	0.061	0.052	0.056	0.07	0.086	0.08	0.071	0.058	0.055	0.042	0.037	0.033	0.026	0.025	0.019	0.017	0.015	0.015	0.017	0.011	0.007	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.004	0.003	0.01	0.009	0.012	0.013	0.009	0.01	0.009	0.011	0.013	0.025	0.025	0.034	0.034	0.038	0.043	0.062	0.163	0.224	0.133	0.055	0.026	0.014	0.009	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.003	0.011	0.041	0.121	0.179	0.195	0.126	0.049	0.027	0.005	0.008	0.014	0.008	0.019	0.03	0.025	0.014	0.027	0.019	0.03	0.008	0.019	0.008	0	0.008	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.045	0.04	0.054	0.065	0.055	0.055	0.052	0.05	0.049	0.042	0.041	0.041	0.043	0.039	0.035	0.035	0.035	0.035	0.027	0.026	0.024	0.019	0.017	0.016	0.011	0.01	0.008	0.006	0.005	0.003	0.005	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.012	0.011	0.023	0.017	0.013	0.022	0.025	0.036	0.048	0.047	0.053	0.053	0.047	0.04	0.043	0.04	0.035	0.037	0.03	0.038	0.036	0.039	0.038	0.04	0.027	0.028	0.032	0.026	0.02	0.016	0.008	0.007	0.005	0.004	0.003	0.002	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.008	0.01	0.012	0.034	0.062	0.084	0.07	0.09	0.042	0.044	0.032	0.02	0.014	0.014	0.012	0.014	0.014	0.028	0.022	0.032	0.028	0.038	0.028	0.03	0.04	0.04	0.032	0.03	0.02	0.03	0.018	0.004	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
