Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	46-47	47-48	48-49	51-52
Low_complexity	0.0	0.0	0.0	0.001	0.0	0.001	0.004	0.007	0.008	0.01	0.02	0.02	0.028	0.027	0.036	0.079	0.091	0.068	0.077	0.073	0.068	0.061	0.055	0.048	0.044	0.033	0.028	0.024	0.021	0.016	0.012	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0
Simple_repeat	0.269	0.001	0.01	0.027	0.054	0.044	0.016	0.028	0.042	0.046	0.031	0.029	0.04	0.051	0.034	0.025	0.028	0.023	0.026	0.023	0.023	0.021	0.019	0.016	0.016	0.011	0.009	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Unknown	0.004	0.001	0.004	0.006	0.006	0.011	0.015	0.017	0.023	0.027	0.033	0.039	0.044	0.05	0.054	0.058	0.06	0.063	0.063	0.061	0.061	0.056	0.05	0.044	0.036	0.032	0.024	0.018	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0
ClassI:LTR	0.006	0.002	0.005	0.008	0.008	0.014	0.018	0.021	0.026	0.029	0.034	0.036	0.04	0.045	0.046	0.05	0.05	0.052	0.053	0.052	0.055	0.051	0.047	0.044	0.038	0.036	0.03	0.025	0.02	0.016	0.013	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.001	0.003	0.005	0.006	0.01	0.014	0.018	0.023	0.027	0.033	0.038	0.044	0.049	0.055	0.057	0.058	0.058	0.06	0.057	0.06	0.054	0.052	0.045	0.04	0.035	0.029	0.022	0.017	0.011	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.004	0.006	0.007	0.009	0.009	0.011	0.013	0.015	0.018	0.022	0.027	0.033	0.037	0.046	0.052	0.063	0.064	0.065	0.066	0.064	0.071	0.067	0.063	0.052	0.04	0.027	0.019	0.011	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.001	0	0.006	0	0.003	0.006	0.003	0.01	0.012	0.021	0.019	0.019	0.038	0.031	0.038	0.042	0.056	0.052	0.064	0.067	0.079	0.072	0.074	0.062	0.058	0.058	0.037	0.028	0.019	0.01	0.004	0.006	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.005	0	0.014	0.011	0.009	0.023	0.025	0.041	0.055	0.046	0.03	0.032	0.048	0.046	0.082	0.057	0.078	0.062	0.064	0.046	0.043	0.048	0.05	0.032	0.018	0.014	0.002	0.002	0.011	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.002	0.003	0.012	0.009	0.012	0.02	0.019	0.019	0.03	0.039	0.039	0.056	0.041	0.034	0.044	0.058	0.059	0.056	0.041	0.047	0.05	0.039	0.051	0.033	0.044	0.023	0.027	0.025	0.027	0.012	0.011	0.009	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0	0.003	0.006	0.016	0.027	0.014	0.022	0.022	0.014	0.026	0.024	0.038	0.056	0.034	0.043	0.044	0.032	0.037	0.033	0.041	0.025	0.043	0.048	0.044	0.055	0.044	0.035	0.041	0.03	0.03	0.027	0.016	0.007	0.007	0.002	0.006	0.003	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.005	0.008	0.008	0.013	0.02	0.02	0.031	0.032	0.045	0.047	0.045	0.057	0.054	0.06	0.045	0.044	0.051	0.037	0.04	0.031	0.022	0.022	0.019	0.023	0.023	0.024	0.027	0.027	0.02	0.028	0.022	0.019	0.013	0.007	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0.011	0	0.011	0.011	0.023	0.011	0.023	0	0.023	0.034	0.034	0.034	0.069	0.057	0.138	0.103	0.069	0.08	0.08	0.069	0.034	0.011	0.034	0.023	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
