Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	53-54
Unknown	0.001	0.002	0.005	0.007	0.01	0.014	0.017	0.021	0.026	0.028	0.033	0.037	0.041	0.046	0.051	0.054	0.058	0.06	0.062	0.06	0.061	0.056	0.051	0.044	0.037	0.032	0.024	0.018	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.008	0.013	0.018	0.021	0.024	0.026	0.03	0.031	0.033	0.035	0.039	0.043	0.044	0.047	0.05	0.05	0.052	0.05	0.049	0.046	0.042	0.039	0.033	0.033	0.03	0.026	0.024	0.019	0.015	0.01	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.002	0.004	0.006	0.011	0.016	0.02	0.023	0.025	0.027	0.031	0.035	0.037	0.044	0.049	0.054	0.053	0.055	0.057	0.058	0.059	0.056	0.052	0.049	0.042	0.038	0.028	0.022	0.017	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Simple_repeat	0.257	0.006	0.014	0.028	0.053	0.045	0.016	0.028	0.04	0.045	0.03	0.028	0.039	0.052	0.034	0.026	0.029	0.024	0.026	0.025	0.024	0.022	0.02	0.017	0.016	0.012	0.01	0.008	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.001	0.0	0.002	0.004	0.008	0.008	0.008	0.009	0.011	0.014	0.018	0.021	0.029	0.036	0.04	0.043	0.049	0.055	0.054	0.058	0.06	0.059	0.06	0.059	0.058	0.057	0.053	0.041	0.032	0.021	0.015	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.002	0.004	0.008	0.008	0.011	0.017	0.02	0.028	0.029	0.035	0.076	0.094	0.068	0.079	0.072	0.069	0.064	0.057	0.048	0.041	0.032	0.028	0.024	0.02	0.017	0.011	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
Satellite	0	0	0	0	0	0	0.002	0.006	0.008	0.017	0.031	0.027	0.037	0.031	0.033	0.05	0.019	0.037	0.042	0.019	0.031	0.015	0.025	0.037	0.029	0.042	0.052	0.06	0.073	0.062	0.046	0.046	0.044	0.037	0.017	0.008	0.002	0.006	0.006	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0.004	0.004	0.009	0.009	0.013	0.004	0.004	0.009	0.022	0.013	0.031	0.04	0.044	0.062	0.093	0.04	0.098	0.093	0.151	0.071	0.093	0.036	0.031	0.013	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.001	0.004	0.005	0.008	0.012	0.012	0.014	0.018	0.017	0.021	0.024	0.038	0.046	0.05	0.057	0.064	0.059	0.05	0.044	0.05	0.037	0.036	0.036	0.051	0.042	0.043	0.038	0.033	0.026	0.02	0.017	0.01	0.009	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.024	0.009	0.017	0.02	0.031	0.017	0.017	0.055	0.042	0.033	0.041	0.054	0.039	0.048	0.048	0.041	0.048	0.042	0.057	0.026	0.039	0.046	0.037	0.026	0.037	0.017	0.018	0.011	0.024	0.006	0.017	0.009	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0	0	0	0	0.008	0.03	0.033	0.058	0.017	0.039	0.033	0.036	0.047	0.064	0.047	0.05	0.053	0.053	0.053	0.042	0.042	0.061	0.047	0.042	0.033	0.042	0.014	0.011	0.019	0.011	0.008	0	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.003	0	0	0	0	0.01	0.026	0.044	0.024	0.028	0.012	0.017	0.026	0.037	0.026	0.023	0.014	0.023	0.017	0.028	0.028	0.084	0.106	0.075	0.07	0.064	0.049	0.044	0.033	0.026	0.024	0.014	0.01	0.007	0.003	0.002	0.002	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.004	0	0.004	0	0	0	0.011	0.026	0.022	0.019	0.022	0.007	0.015	0.022	0.03	0.03	0.049	0.045	0.019	0.037	0.079	0.101	0.09	0.052	0.067	0.06	0.064	0.041	0.049	0.015	0.007	0.007	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0.014	0.055	0.123	0.064	0.068	0.045	0.023	0.023	0.055	0.014	0.018	0.018	0.027	0.023	0.036	0.009	0.045	0.041	0.045	0.068	0.059	0.055	0.018	0.005	0.009	0.009	0.014	0.014	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
