Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	46-47
ClassI:LTR	0.002	0.003	0.006	0.01	0.012	0.013	0.014	0.016	0.019	0.02	0.023	0.026	0.025	0.025	0.028	0.028	0.03	0.032	0.036	0.039	0.044	0.044	0.049	0.051	0.05	0.054	0.052	0.051	0.047	0.04	0.034	0.027	0.019	0.013	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0
Unknown	0.002	0.002	0.003	0.005	0.006	0.009	0.01	0.012	0.015	0.016	0.019	0.022	0.025	0.027	0.03	0.033	0.04	0.041	0.043	0.046	0.053	0.055	0.061	0.059	0.06	0.061	0.056	0.05	0.04	0.033	0.025	0.017	0.011	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.006	0.009	0.01	0.012	0.019	0.027	0.034	0.036	0.046	0.076	0.082	0.068	0.075	0.072	0.071	0.064	0.052	0.044	0.046	0.033	0.025	0.025	0.019	0.013	0.01	0.006	0.005	0.005	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0
Simple_repeat	0.223	0.003	0.02	0.031	0.048	0.04	0.018	0.029	0.039	0.043	0.032	0.028	0.04	0.051	0.036	0.029	0.033	0.026	0.03	0.027	0.027	0.026	0.022	0.019	0.018	0.013	0.011	0.01	0.008	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.006	0.006	0.008	0.007	0.01	0.013	0.014	0.013	0.026	0.022	0.02	0.024	0.025	0.027	0.03	0.035	0.034	0.038	0.039	0.043	0.047	0.045	0.052	0.055	0.053	0.058	0.055	0.047	0.04	0.037	0.028	0.019	0.012	0.007	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.004	0.009	0.008	0.006	0.008	0.014	0.012	0.017	0.019	0.018	0.018	0.027	0.027	0.036	0.04	0.044	0.045	0.05	0.065	0.072	0.072	0.069	0.064	0.056	0.05	0.04	0.03	0.024	0.018	0.012	0.009	0.007	0.003	0.002	0.002	0.001	0.001	0.0	0	0	0	0	0
Pseudogene:RNA	0.036	0.019	0.023	0.023	0.019	0.025	0.024	0.027	0.024	0.028	0.037	0.037	0.038	0.037	0.048	0.037	0.04	0.038	0.054	0.037	0.044	0.043	0.033	0.034	0.04	0.03	0.021	0.023	0.023	0.009	0.009	0.015	0.004	0.006	0.008	0.004	0.001	0	0.001	0	0	0	0	0	0
ClassI:SINE	0.025	0.035	0.027	0.007	0.002	0.002	0.012	0.005	0.005	0.005	0.007	0	0.002	0.005	0	0.002	0.01	0.022	0.02	0.022	0.017	0.042	0.042	0.062	0.077	0.106	0.084	0.081	0.042	0.067	0.054	0.035	0.04	0.017	0.012	0.002	0.002	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.002	0.004	0.003	0.005	0.003	0.004	0.007	0.008	0.009	0.012	0.015	0.017	0.018	0.018	0.024	0.026	0.029	0.029	0.034	0.038	0.044	0.055	0.062	0.075	0.072	0.075	0.08	0.064	0.058	0.04	0.025	0.018	0.012	0.005	0.004	0.003	0.001	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.006	0	0.006	0.003	0.012	0.029	0.081	0.081	0.052	0.04	0.043	0.04	0.058	0.069	0.087	0.072	0.049	0.052	0.075	0.055	0.026	0.023	0.012	0.012	0.012	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.002	0.005	0.022	0.015	0.032	0.02	0.022	0.03	0.025	0.035	0.052	0.06	0.055	0.055	0.04	0.065	0.05	0.062	0.035	0.042	0.047	0.052	0.037	0.045	0.012	0.005	0.027	0.015	0.007	0.012	0.007	0.005	0	0.002	0	0	0.002	0	0	0	0	0	0	0	0
Satellite	0	0	0.014	0	0	0.007	0.014	0.028	0.028	0.035	0.028	0.056	0.042	0.07	0.028	0.021	0.049	0.049	0.028	0.028	0.112	0.035	0.077	0.042	0.014	0.042	0.021	0.049	0.014	0.014	0.014	0.014	0	0.014	0	0.014	0	0	0	0	0	0	0	0	0
