Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49
Simple_repeat	0.343	0.003	0.023	0.035	0.052	0.035	0.018	0.027	0.032	0.032	0.024	0.022	0.03	0.036	0.026	0.023	0.025	0.022	0.024	0.021	0.021	0.021	0.018	0.016	0.015	0.012	0.009	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.001	0.002	0.004	0.007	0.011	0.017	0.023	0.029	0.035	0.041	0.046	0.051	0.056	0.059	0.061	0.061	0.06	0.058	0.054	0.05	0.049	0.042	0.037	0.033	0.027	0.023	0.017	0.013	0.01	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.003	0.005	0.008	0.011	0.014	0.014	0.016	0.019	0.021	0.026	0.029	0.034	0.04	0.045	0.048	0.055	0.057	0.062	0.072	0.075	0.08	0.079	0.067	0.048	0.032	0.018	0.01	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.005	0.008	0.012	0.017	0.02	0.024	0.028	0.031	0.035	0.037	0.041	0.044	0.047	0.049	0.052	0.053	0.055	0.054	0.057	0.053	0.05	0.046	0.04	0.036	0.028	0.022	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.005	0.008	0.012	0.02	0.026	0.033	0.034	0.034	0.033	0.031	0.033	0.033	0.034	0.034	0.035	0.038	0.04	0.041	0.044	0.045	0.047	0.048	0.048	0.049	0.046	0.041	0.033	0.026	0.018	0.012	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.009	0.01	0.011	0.019	0.024	0.036	0.032	0.043	0.065	0.077	0.063	0.073	0.066	0.062	0.065	0.057	0.049	0.048	0.037	0.031	0.029	0.023	0.016	0.013	0.01	0.008	0.005	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
ClassII:DNA_Polymerase	0.001	0.0	0.003	0.006	0.005	0.014	0.015	0.031	0.035	0.049	0.059	0.065	0.064	0.077	0.079	0.07	0.062	0.079	0.068	0.058	0.057	0.036	0.023	0.018	0.016	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.003	0.01	0.023	0.032	0.056	0.068	0.083	0.079	0.068	0.067	0.069	0.07	0.055	0.055	0.042	0.036	0.026	0.025	0.02	0.019	0.017	0.011	0.015	0.01	0.008	0.006	0.008	0.006	0.002	0.003	0.002	0.0	0.002	0.001	0.0	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.004	0.006	0.005	0.006	0.005	0.007	0.012	0.027	0.033	0.028	0.025	0.025	0.028	0.028	0.029	0.026	0.033	0.029	0.036	0.036	0.043	0.06	0.06	0.07	0.075	0.052	0.048	0.043	0.035	0.027	0.018	0.013	0.009	0.009	0.004	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.004	0	0.007	0.008	0.007	0.02	0.03	0.039	0.044	0.044	0.058	0.056	0.044	0.036	0.058	0.062	0.046	0.067	0.055	0.079	0.056	0.052	0.048	0.035	0.013	0.02	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.008	0	0.008	0	0	0.016	0.062	0.039	0.07	0.055	0.023	0.008	0.07	0.008	0.039	0.031	0.031	0.023	0.055	0.133	0.133	0.125	0	0.016	0.016	0.016	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
