Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
ClassI:LTR	0.003	0.007	0.01	0.016	0.02	0.024	0.027	0.029	0.032	0.034	0.034	0.032	0.031	0.03	0.029	0.029	0.031	0.035	0.037	0.037	0.041	0.046	0.048	0.05	0.049	0.049	0.047	0.041	0.034	0.024	0.016	0.011	0.007	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.004	0.007	0.009	0.014	0.02	0.027	0.033	0.041	0.047	0.051	0.054	0.058	0.059	0.061	0.058	0.057	0.054	0.05	0.048	0.043	0.039	0.034	0.029	0.025	0.02	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.003	0.003	0.008	0.014	0.018	0.02	0.024	0.026	0.029	0.032	0.036	0.037	0.039	0.041	0.042	0.045	0.048	0.048	0.05	0.048	0.052	0.05	0.049	0.045	0.04	0.036	0.03	0.026	0.02	0.015	0.01	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.378	0.005	0.023	0.033	0.051	0.034	0.017	0.026	0.031	0.031	0.022	0.022	0.028	0.034	0.024	0.021	0.023	0.02	0.022	0.02	0.02	0.02	0.017	0.015	0.014	0.011	0.009	0.008	0.006	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.008	0.01	0.011	0.019	0.025	0.034	0.031	0.039	0.07	0.076	0.059	0.072	0.067	0.063	0.068	0.057	0.048	0.048	0.039	0.031	0.027	0.023	0.017	0.015	0.012	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0
ClassI:LINE	0.0	0.001	0.001	0.002	0.002	0.003	0.005	0.006	0.009	0.011	0.013	0.015	0.017	0.02	0.022	0.026	0.028	0.032	0.034	0.039	0.045	0.053	0.062	0.072	0.086	0.091	0.083	0.073	0.056	0.039	0.025	0.015	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.002	0.005	0.007	0.012	0.02	0.034	0.045	0.056	0.058	0.069	0.064	0.069	0.069	0.062	0.066	0.055	0.053	0.041	0.031	0.029	0.024	0.021	0.02	0.015	0.014	0.012	0.012	0.007	0.007	0.006	0.004	0.003	0.003	0.002	0.001	0.0	0	0	0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.003	0.004	0.009	0.016	0.024	0.037	0.036	0.04	0.042	0.041	0.04	0.046	0.042	0.044	0.045	0.043	0.047	0.05	0.051	0.047	0.048	0.038	0.031	0.023	0.021	0.021	0.02	0.02	0.018	0.015	0.014	0.009	0.005	0.005	0.004	0.002	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.787	0.034	0.033	0.017	0.006	0.004	0.011	0.005	0.004	0.007	0.002	0.006	0.005	0.001	0.005	0.009	0.009	0.011	0.004	0.002	0.009	0.011	0	0.006	0	0.002	0.002	0.002	0	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.018	0.161	0.303	0.259	0.087	0.021	0.01	0.013	0.021	0.019	0.02	0.014	0.007	0.006	0.004	0.001	0.005	0.005	0.002	0.005	0.003	0.001	0.006	0.003	0.002	0.004	0.001	0.001	0.002	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.047	0	0.033	0.003	0.014	0.045	0.017	0.045	0.04	0.054	0.054	0.094	0.071	0.066	0.042	0.047	0.042	0.077	0.035	0.042	0.035	0.012	0.016	0.01	0.01	0.014	0.003	0.012	0.003	0.005	0.003	0.002	0.003	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.001	0	0	0.003	0.007	0.007	0.015	0.028	0.03	0.046	0.028	0.03	0.032	0.044	0.034	0.039	0.061	0.078	0.075	0.105	0.085	0.055	0.042	0.043	0.022	0.028	0.031	0.013	0.008	0.003	0.004	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.009	0	0.003	0.015	0.03	0.033	0.021	0.03	0.024	0.018	0.057	0.048	0.018	0.033	0.051	0.054	0.072	0.051	0.048	0.036	0.057	0.042	0.036	0.033	0.027	0.048	0.039	0.033	0.006	0.009	0.009	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
