Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Unknown	0.002	0.002	0.004	0.007	0.009	0.015	0.019	0.026	0.033	0.038	0.043	0.049	0.053	0.056	0.058	0.06	0.059	0.058	0.056	0.052	0.051	0.046	0.04	0.035	0.029	0.025	0.02	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassI:LTR	0.003	0.005	0.01	0.012	0.014	0.02	0.025	0.031	0.034	0.035	0.035	0.031	0.03	0.029	0.028	0.029	0.03	0.033	0.034	0.037	0.043	0.048	0.052	0.055	0.057	0.054	0.047	0.04	0.032	0.023	0.017	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LINE	0.0	0.0	0.0	0.001	0.001	0.002	0.003	0.005	0.007	0.009	0.012	0.016	0.019	0.021	0.024	0.024	0.026	0.033	0.037	0.044	0.053	0.062	0.072	0.075	0.08	0.082	0.078	0.069	0.051	0.036	0.024	0.016	0.008	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.007	0.009	0.012	0.018	0.023	0.033	0.03	0.04	0.069	0.077	0.061	0.073	0.068	0.066	0.066	0.058	0.05	0.047	0.039	0.029	0.028	0.022	0.018	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
Simple_repeat	0.319	0.003	0.02	0.04	0.056	0.037	0.019	0.028	0.034	0.034	0.025	0.024	0.031	0.037	0.027	0.024	0.025	0.022	0.024	0.023	0.022	0.021	0.018	0.016	0.015	0.012	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.002	0.007	0.011	0.016	0.02	0.02	0.024	0.028	0.035	0.041	0.045	0.048	0.049	0.05	0.051	0.051	0.052	0.049	0.047	0.046	0.042	0.041	0.037	0.035	0.032	0.028	0.024	0.021	0.016	0.012	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassI:SINE	0.001	0.001	0.002	0.003	0.006	0.013	0.024	0.036	0.052	0.054	0.062	0.06	0.054	0.056	0.054	0.051	0.049	0.046	0.039	0.035	0.041	0.035	0.034	0.032	0.031	0.028	0.021	0.022	0.017	0.013	0.01	0.009	0.003	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.003	0.005	0.008	0.007	0.009	0.012	0.014	0.018	0.017	0.019	0.023	0.025	0.032	0.028	0.038	0.046	0.049	0.059	0.067	0.068	0.069	0.057	0.052	0.04	0.04	0.033	0.028	0.033	0.035	0.023	0.02	0.009	0.005	0.004	0.001	0.001	0.001	0.0	0	0	0	0	0	0
ClassI:DIRS	0.001	0	0.001	0.002	0.001	0.005	0.008	0.011	0.027	0.037	0.042	0.057	0.051	0.055	0.042	0.046	0.046	0.061	0.063	0.065	0.077	0.062	0.059	0.062	0.048	0.029	0.014	0.014	0.005	0.004	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.242	0.001	0.145	0.01	0.038	0.035	0.005	0.034	0.021	0.039	0.043	0.035	0.04	0.029	0.018	0.015	0.011	0.01	0.008	0.013	0.015	0.008	0.013	0.009	0.014	0.019	0.02	0.034	0.028	0.029	0.015	0.006	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.009	0.01	0.014	0.029	0.064	0.086	0.072	0.067	0.071	0.053	0.044	0.035	0.046	0.051	0.04	0.055	0.049	0.041	0.042	0.043	0.051	0.014	0.012	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.006	0	0.019	0.013	0.019	0.045	0.045	0.103	0.129	0.039	0.026	0.065	0.045	0.077	0.058	0.032	0.058	0.052	0.065	0.026	0.026	0.019	0.013	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.726	0.047	0.037	0.019	0.008	0.013	0.02	0.009	0.01	0.009	0.007	0.009	0.007	0.005	0.007	0.001	0.005	0.005	0.005	0.003	0.004	0.007	0.004	0.003	0.006	0.003	0.003	0.002	0.005	0.003	0.002	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0
