Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	51-52
Unknown	0.008	0.004	0.008	0.01	0.014	0.019	0.022	0.028	0.033	0.038	0.044	0.05	0.054	0.059	0.06	0.06	0.058	0.056	0.054	0.049	0.047	0.042	0.036	0.032	0.026	0.023	0.017	0.013	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.003	0.007	0.013	0.018	0.02	0.025	0.028	0.031	0.033	0.032	0.029	0.028	0.027	0.028	0.027	0.029	0.03	0.033	0.038	0.04	0.046	0.047	0.052	0.053	0.051	0.051	0.046	0.04	0.031	0.023	0.016	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.023	0.064	0.096	0.103	0.119	0.081	0.049	0.034	0.02	0.015	0.015	0.018	0.019	0.021	0.021	0.019	0.016	0.023	0.023	0.025	0.024	0.025	0.025	0.024	0.026	0.02	0.015	0.011	0.011	0.006	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.906	0.045	0.027	0.002	0.006	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.004	0.009	0.018	0.023	0.023	0.023	0.027	0.03	0.033	0.036	0.04	0.041	0.043	0.046	0.049	0.05	0.052	0.05	0.048	0.05	0.046	0.046	0.041	0.036	0.034	0.026	0.021	0.016	0.012	0.008	0.005	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.34	0.004	0.026	0.039	0.054	0.036	0.019	0.027	0.033	0.032	0.023	0.022	0.029	0.034	0.026	0.023	0.023	0.022	0.023	0.022	0.022	0.021	0.018	0.016	0.016	0.012	0.009	0.008	0.006	0.005	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.003	0.004	0.005	0.007	0.01	0.014	0.017	0.019	0.02	0.024	0.029	0.029	0.031	0.037	0.041	0.05	0.059	0.068	0.08	0.093	0.094	0.082	0.063	0.044	0.03	0.018	0.011	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.004	0.009	0.01	0.012	0.02	0.024	0.036	0.031	0.041	0.065	0.075	0.065	0.068	0.067	0.063	0.062	0.057	0.05	0.05	0.039	0.032	0.03	0.023	0.018	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0
ClassII:Rolling_Circle	0.007	0.005	0.011	0.024	0.018	0.03	0.031	0.034	0.024	0.016	0.028	0.027	0.025	0.035	0.034	0.04	0.052	0.048	0.056	0.053	0.048	0.042	0.034	0.037	0.037	0.029	0.019	0.021	0.021	0.02	0.02	0.023	0.017	0.014	0.01	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.003	0.004	0.007	0.017	0.027	0.032	0.043	0.054	0.058	0.067	0.064	0.06	0.068	0.061	0.06	0.058	0.044	0.044	0.036	0.028	0.023	0.021	0.022	0.021	0.015	0.015	0.012	0.01	0.007	0.006	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.023	0.008	0.011	0.014	0.028	0.064	0.065	0.048	0.044	0.041	0.038	0.042	0.054	0.038	0.032	0.036	0.032	0.044	0.037	0.029	0.037	0.041	0.036	0.042	0.03	0.036	0.021	0.014	0.007	0.006	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.271	0.012	0.217	0.024	0.121	0.049	0.079	0.055	0.053	0.038	0.018	0.008	0.01	0.024	0.002	0.008	0	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
