Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
ClassII:TIR	0.003	0.006	0.011	0.019	0.025	0.031	0.031	0.028	0.028	0.028	0.03	0.033	0.034	0.038	0.04	0.043	0.044	0.045	0.046	0.045	0.048	0.047	0.044	0.043	0.039	0.037	0.033	0.026	0.023	0.017	0.013	0.01	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.002	0.002	0.005	0.008	0.012	0.017	0.022	0.027	0.033	0.037	0.044	0.048	0.053	0.056	0.058	0.059	0.058	0.057	0.054	0.05	0.05	0.045	0.04	0.035	0.029	0.026	0.019	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.005	0.006	0.012	0.015	0.021	0.023	0.027	0.03	0.033	0.034	0.034	0.034	0.033	0.032	0.031	0.031	0.033	0.034	0.035	0.036	0.04	0.044	0.048	0.051	0.05	0.052	0.046	0.039	0.029	0.022	0.015	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.288	0.003	0.021	0.04	0.055	0.036	0.019	0.03	0.035	0.034	0.025	0.025	0.032	0.038	0.028	0.026	0.028	0.025	0.027	0.024	0.024	0.022	0.02	0.018	0.017	0.014	0.011	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.004	0.009	0.01	0.011	0.02	0.024	0.037	0.032	0.041	0.065	0.073	0.063	0.074	0.067	0.067	0.063	0.059	0.051	0.048	0.038	0.03	0.027	0.023	0.018	0.012	0.009	0.007	0.005	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.0	0.0	0.001	0.002	0.002	0.004	0.004	0.006	0.007	0.01	0.013	0.015	0.017	0.021	0.024	0.026	0.028	0.032	0.037	0.045	0.053	0.061	0.07	0.078	0.085	0.086	0.08	0.065	0.048	0.033	0.02	0.012	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.007	0.005	0.01	0.015	0.022	0.036	0.049	0.064	0.071	0.071	0.076	0.063	0.064	0.055	0.057	0.048	0.041	0.035	0.032	0.025	0.023	0.019	0.015	0.016	0.013	0.015	0.01	0.008	0.01	0.005	0.004	0.004	0.002	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.001	0.001	0.004	0.006	0.01	0.011	0.015	0.017	0.021	0.025	0.023	0.029	0.031	0.038	0.036	0.049	0.05	0.054	0.056	0.044	0.037	0.039	0.037	0.032	0.039	0.042	0.049	0.054	0.043	0.035	0.026	0.021	0.012	0.006	0.004	0.001	0.0	0	0	0	0	0	0	0	0
Satellite	0.197	0.205	0.227	0.131	0.063	0.042	0.017	0.023	0.03	0.014	0.015	0.006	0.001	0.004	0.004	0.002	0.001	0.003	0.004	0.001	0.001	0.001	0.002	0.001	0	0.001	0.001	0.001	0	0	0	0.001	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0	0.012	0.012	0	0.024	0.024	0.047	0.071	0.082	0.047	0.129	0.165	0.176	0.047	0.071	0.012	0.035	0.035	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
