Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	49-50	52-53
Unknown	0.002	0.003	0.005	0.007	0.011	0.015	0.019	0.024	0.03	0.037	0.043	0.049	0.055	0.06	0.062	0.062	0.061	0.059	0.055	0.05	0.049	0.045	0.039	0.035	0.028	0.025	0.019	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.003	0.009	0.011	0.014	0.022	0.03	0.037	0.044	0.052	0.056	0.064	0.071	0.068	0.061	0.06	0.055	0.044	0.038	0.032	0.034	0.026	0.024	0.018	0.015	0.014	0.015	0.019	0.016	0.017	0.01	0.009	0.004	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.265	0.002	0.016	0.036	0.06	0.04	0.02	0.032	0.038	0.038	0.028	0.027	0.035	0.042	0.031	0.026	0.028	0.025	0.026	0.024	0.024	0.023	0.02	0.017	0.017	0.014	0.011	0.01	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.002	0.005	0.008	0.009	0.012	0.019	0.024	0.034	0.033	0.043	0.069	0.077	0.064	0.071	0.066	0.065	0.061	0.055	0.049	0.047	0.038	0.031	0.027	0.023	0.017	0.013	0.011	0.007	0.005	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassII:TIR	0.004	0.004	0.008	0.011	0.016	0.019	0.022	0.026	0.029	0.031	0.033	0.035	0.038	0.043	0.047	0.05	0.052	0.054	0.056	0.055	0.056	0.05	0.047	0.044	0.037	0.033	0.027	0.023	0.017	0.012	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.001	0.002	0.002	0.004	0.005	0.005	0.006	0.008	0.01	0.012	0.014	0.016	0.018	0.02	0.023	0.027	0.033	0.041	0.051	0.06	0.07	0.075	0.079	0.081	0.078	0.067	0.054	0.042	0.033	0.024	0.017	0.01	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.005	0.01	0.013	0.015	0.019	0.022	0.025	0.028	0.029	0.031	0.031	0.031	0.031	0.031	0.032	0.033	0.036	0.038	0.039	0.043	0.046	0.049	0.054	0.054	0.054	0.05	0.044	0.036	0.025	0.017	0.012	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.003	0.004	0.007	0.012	0.021	0.032	0.044	0.054	0.061	0.054	0.057	0.064	0.059	0.056	0.054	0.052	0.05	0.046	0.042	0.041	0.04	0.034	0.024	0.021	0.015	0.011	0.009	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.001	0	0.001	0.003	0.003	0.015	0.009	0.007	0.012	0.015	0.024	0.03	0.034	0.061	0.085	0.097	0.089	0.089	0.084	0.075	0.07	0.044	0.035	0.025	0.021	0.018	0.015	0.011	0.006	0.01	0.003	0.004	0.002	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.011	0.042	0.04	0.026	0.026	0.02	0.016	0.016	0.025	0.032	0.035	0.039	0.044	0.065	0.066	0.073	0.072	0.075	0.064	0.044	0.046	0.035	0.03	0.021	0.015	0.006	0.004	0.003	0.002	0.002	0	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.002	0.002	0.002	0.004	0.004	0.006	0.007	0.014	0.023	0.033	0.041	0.055	0.048	0.052	0.063	0.051	0.045	0.045	0.044	0.051	0.054	0.06	0.055	0.058	0.048	0.041	0.03	0.027	0.015	0.011	0.005	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
