Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	53-54	55-56
ClassI:LTR	0.006	0.007	0.012	0.017	0.023	0.029	0.032	0.037	0.041	0.042	0.043	0.041	0.04	0.04	0.042	0.039	0.037	0.038	0.038	0.038	0.039	0.037	0.036	0.035	0.036	0.033	0.028	0.026	0.023	0.019	0.015	0.011	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.282	0.002	0.012	0.027	0.059	0.044	0.015	0.026	0.041	0.042	0.027	0.027	0.034	0.044	0.031	0.025	0.028	0.023	0.027	0.025	0.024	0.022	0.019	0.017	0.017	0.014	0.01	0.009	0.008	0.006	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.005	0.006	0.011	0.014	0.019	0.023	0.026	0.03	0.032	0.035	0.039	0.041	0.043	0.046	0.048	0.049	0.05	0.051	0.051	0.047	0.048	0.045	0.042	0.038	0.033	0.031	0.025	0.02	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.004	0.006	0.014	0.015	0.019	0.025	0.027	0.032	0.033	0.036	0.038	0.04	0.044	0.044	0.045	0.048	0.047	0.05	0.048	0.046	0.046	0.043	0.04	0.038	0.034	0.031	0.026	0.022	0.017	0.014	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0	0	0.0	0.001	0.0	0.001	0.004	0.008	0.011	0.011	0.021	0.029	0.034	0.034	0.04	0.069	0.079	0.061	0.073	0.068	0.068	0.068	0.054	0.051	0.044	0.035	0.028	0.026	0.022	0.016	0.012	0.011	0.008	0.004	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0.0	0	0
ClassI:SINE	0.009	0.002	0.009	0.007	0.009	0.016	0.01	0.011	0.017	0.009	0.019	0.013	0.013	0.019	0.014	0.021	0.013	0.033	0.034	0.039	0.042	0.057	0.068	0.056	0.053	0.062	0.063	0.058	0.054	0.037	0.029	0.037	0.023	0.019	0.013	0.008	0.001	0.002	0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.004	0.003	0.006	0.006	0.009	0.011	0.013	0.018	0.017	0.018	0.019	0.019	0.022	0.028	0.028	0.033	0.034	0.04	0.037	0.044	0.046	0.048	0.048	0.052	0.056	0.052	0.059	0.055	0.052	0.044	0.031	0.022	0.011	0.007	0.004	0.002	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:PLE	0.008	0.011	0.037	0.023	0.039	0.033	0.045	0.03	0.055	0.028	0.047	0.048	0.044	0.053	0.066	0.058	0.075	0.059	0.058	0.045	0.02	0.025	0.037	0.009	0.005	0.011	0.011	0.005	0.005	0.005	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.013	0.007	0.015	0.012	0.014	0.022	0.028	0.034	0.029	0.025	0.034	0.025	0.021	0.032	0.033	0.037	0.029	0.039	0.038	0.036	0.041	0.043	0.041	0.045	0.035	0.044	0.042	0.04	0.038	0.027	0.023	0.016	0.016	0.013	0.005	0.004	0.003	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.006	0.012	0.014	0.029	0.081	0.084	0.052	0.043	0.072	0.046	0.052	0.032	0.064	0.038	0.061	0.055	0.07	0.02	0.058	0.026	0.023	0.009	0.014	0.014	0.003	0.003	0.006	0.006	0.003	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.083	0.032	0.024	0.027	0.027	0.04	0.027	0.046	0.043	0.035	0.043	0.035	0.027	0.043	0.04	0.038	0.048	0.051	0.021	0.032	0.027	0.024	0.024	0.027	0.019	0.019	0.021	0.021	0.027	0.005	0.013	0.003	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.071	0.036	0	0	0.036	0	0.107	0	0	0	0	0	0	0.214	0.107	0.036	0.071	0.071	0	0.071	0.107	0.036	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.033	0.011	0.002	0.002	0.009	0.002	0.016	0.016	0.022	0.047	0.04	0.053	0.078	0.073	0.058	0.047	0.069	0.071	0.069	0.056	0.047	0.038	0.036	0.038	0.013	0.011	0.022	0.004	0.016	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.012	0	0.023	0.023	0.07	0.07	0.093	0.081	0.058	0.116	0.093	0.023	0	0.047	0.035	0.023	0.035	0.035	0.012	0.093	0.012	0.012	0	0.012	0.012	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
