Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
ClassI:LTR	0.008	0.006	0.009	0.015	0.019	0.023	0.028	0.034	0.032	0.034	0.039	0.045	0.047	0.046	0.044	0.043	0.043	0.044	0.043	0.041	0.046	0.042	0.039	0.036	0.033	0.03	0.029	0.026	0.02	0.016	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0
Unknown	0.002	0.003	0.004	0.007	0.01	0.015	0.021	0.027	0.032	0.035	0.041	0.042	0.043	0.046	0.048	0.048	0.052	0.052	0.052	0.051	0.052	0.049	0.046	0.044	0.037	0.034	0.028	0.023	0.018	0.013	0.009	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Simple_repeat	0.276	0.002	0.018	0.037	0.047	0.034	0.019	0.03	0.037	0.037	0.031	0.028	0.034	0.04	0.032	0.029	0.031	0.026	0.028	0.025	0.023	0.023	0.02	0.017	0.017	0.013	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.002	0.003	0.007	0.008	0.012	0.015	0.016	0.024	0.026	0.031	0.033	0.033	0.035	0.037	0.035	0.038	0.042	0.047	0.048	0.05	0.054	0.055	0.053	0.051	0.047	0.044	0.038	0.036	0.026	0.018	0.014	0.009	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.006	0.009	0.011	0.014	0.023	0.028	0.04	0.034	0.046	0.068	0.078	0.064	0.07	0.067	0.065	0.065	0.055	0.049	0.045	0.032	0.029	0.023	0.022	0.015	0.012	0.009	0.005	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0	0.002	0.004	0.008	0.016	0.021	0.033	0.037	0.034	0.018	0.018	0.015	0.017	0.019	0.019	0.021	0.02	0.018	0.022	0.022	0.025	0.022	0.022	0.035	0.043	0.043	0.044	0.04	0.099	0.051	0.054	0.061	0.041	0.026	0.018	0.005	0.005	0.001	0.001	0.0	0	0	0	0	0
ClassI:LINE	0.003	0.002	0.004	0.004	0.006	0.009	0.012	0.015	0.01	0.013	0.013	0.017	0.02	0.025	0.032	0.033	0.037	0.044	0.051	0.05	0.048	0.052	0.046	0.047	0.052	0.055	0.046	0.048	0.047	0.044	0.035	0.032	0.023	0.015	0.006	0.004	0.002	0.0	0.0	0.0	0	0	0	0	0
Satellite	0.003	0.001	0.003	0.011	0.009	0.009	0.021	0.021	0.025	0.026	0.045	0.049	0.045	0.04	0.042	0.04	0.047	0.049	0.04	0.038	0.038	0.042	0.051	0.062	0.073	0.068	0.036	0.021	0.01	0.008	0.012	0.006	0.004	0.003	0.001	0	0	0.001	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.001	0.003	0.004	0.007	0.008	0.012	0.019	0.016	0.026	0.024	0.022	0.028	0.027	0.028	0.029	0.032	0.039	0.038	0.053	0.059	0.056	0.062	0.055	0.069	0.064	0.052	0.045	0.042	0.03	0.019	0.012	0.009	0.005	0.002	0.002	0.0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0	0	0	0.005	0	0.01	0.015	0.021	0.031	0.031	0.046	0.057	0.077	0.057	0.067	0.103	0.077	0.057	0.098	0.088	0.041	0.057	0.026	0.021	0.01	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0	0.004	0.004	0.02	0.024	0.036	0.084	0.064	0.1	0.068	0.12	0.052	0.12	0.08	0.068	0.088	0.024	0.008	0.008	0.016	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.07	0.022	0.074	0.039	0.031	0.035	0.026	0.052	0.035	0.039	0.009	0.039	0.031	0.031	0.039	0.044	0.035	0.017	0.044	0.022	0.026	0.031	0.009	0.017	0.026	0.017	0.039	0.017	0.009	0.017	0.031	0.013	0.004	0.009	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.003	0	0.005	0.003	0.008	0.038	0.025	0.055	0.055	0.044	0.079	0.047	0.085	0.079	0.079	0.047	0.022	0.03	0.027	0.049	0.038	0.036	0.011	0.038	0.03	0.005	0.005	0.005	0.005	0.014	0.003	0.008	0.003	0.014	0.003	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0.004	0	0	0.004	0.004	0.004	0.009	0	0.004	0.022	0.009	0.034	0.017	0.039	0.03	0.043	0.078	0.043	0.082	0.065	0.073	0.103	0.086	0.078	0.073	0.03	0.022	0.034	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0
