Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47
Simple_repeat	0.367	0.006	0.023	0.035	0.052	0.039	0.016	0.026	0.033	0.033	0.024	0.022	0.029	0.035	0.026	0.021	0.022	0.019	0.021	0.019	0.018	0.018	0.016	0.014	0.013	0.01	0.009	0.008	0.006	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
Unknown	0.001	0.001	0.003	0.004	0.006	0.011	0.013	0.017	0.021	0.025	0.029	0.031	0.035	0.037	0.04	0.042	0.045	0.048	0.052	0.054	0.058	0.059	0.058	0.056	0.05	0.047	0.039	0.032	0.024	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.0	0.0	0.001	0.002	0.003	0.005	0.006	0.008	0.011	0.014	0.016	0.021	0.023	0.027	0.032	0.037	0.044	0.049	0.054	0.06	0.067	0.07	0.073	0.072	0.069	0.063	0.053	0.042	0.031	0.02	0.013	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.002	0.001	0.002	0.005	0.01	0.01	0.013	0.021	0.026	0.038	0.037	0.043	0.071	0.079	0.06	0.072	0.069	0.062	0.06	0.054	0.047	0.045	0.033	0.028	0.025	0.021	0.016	0.013	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.001	0.001	0.003	0.005	0.008	0.014	0.022	0.026	0.029	0.031	0.034	0.036	0.036	0.041	0.043	0.047	0.049	0.053	0.056	0.056	0.055	0.05	0.046	0.042	0.035	0.034	0.03	0.026	0.023	0.019	0.015	0.011	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.002	0.002	0.002	0.003	0.005	0.007	0.009	0.012	0.018	0.024	0.024	0.03	0.036	0.042	0.047	0.056	0.066	0.073	0.079	0.077	0.072	0.068	0.062	0.06	0.043	0.031	0.02	0.011	0.007	0.004	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.003	0.004	0.008	0.011	0.021	0.028	0.033	0.043	0.039	0.052	0.051	0.062	0.053	0.053	0.05	0.055	0.052	0.055	0.045	0.043	0.046	0.041	0.037	0.031	0.025	0.014	0.016	0.008	0.008	0.005	0.004	0.001	0.001	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0	0.003	0.002	0.007	0.006	0.012	0.01	0.01	0.01	0.019	0.018	0.018	0.014	0.019	0.022	0.019	0.026	0.03	0.048	0.05	0.065	0.065	0.082	0.085	0.071	0.07	0.058	0.042	0.04	0.025	0.023	0.012	0.006	0.005	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.001	0	0.001	0.001	0.004	0.003	0.001	0.005	0.005	0.004	0.008	0.006	0.009	0.01	0.01	0.015	0.022	0.018	0.028	0.025	0.038	0.045	0.055	0.072	0.09	0.103	0.103	0.106	0.083	0.059	0.031	0.015	0.014	0.006	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.006	0	0.008	0	0	0	0.001	0	0.001	0.003	0	0.001	0.008	0.007	0.022	0.029	0.027	0.035	0.027	0.053	0.062	0.056	0.087	0.084	0.091	0.085	0.083	0.083	0.059	0.027	0.024	0.013	0.011	0.004	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.044	0.052	0.027	0.014	0.016	0.014	0.027	0.03	0.038	0.068	0.06	0.077	0.082	0.066	0.058	0.047	0.041	0.052	0.025	0.036	0.033	0.03	0.008	0.022	0.005	0.003	0.003	0.011	0.003	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0.0	0.001	0.002	0.003	0.004	0.003	0.004	0.005	0.008	0.008	0.009	0.017	0.019	0.023	0.028	0.036	0.04	0.042	0.048	0.054	0.058	0.056	0.068	0.075	0.073	0.075	0.07	0.048	0.04	0.025	0.021	0.013	0.008	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassI:DIRS	0	0.059	0	0	0.118	0	0.176	0.059	0	0.235	0	0.176	0.059	0.059	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.028	0.039	0.088	0.039	0.055	0.039	0.033	0.039	0.05	0.033	0.033	0.05	0.039	0.028	0.061	0.05	0.022	0.05	0.022	0.022	0.022	0	0.033	0.017	0.017	0.028	0.017	0.017	0.022	0	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
