Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	47-48
Unknown	0.002	0.002	0.005	0.007	0.01	0.015	0.018	0.022	0.026	0.028	0.032	0.036	0.039	0.044	0.049	0.052	0.055	0.058	0.057	0.056	0.057	0.053	0.048	0.043	0.038	0.034	0.028	0.022	0.018	0.013	0.011	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0
Simple_repeat	0.346	0.002	0.014	0.032	0.052	0.037	0.015	0.023	0.033	0.034	0.025	0.023	0.032	0.039	0.031	0.026	0.027	0.024	0.024	0.022	0.021	0.02	0.017	0.014	0.014	0.01	0.009	0.008	0.007	0.005	0.003	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.001	0.002	0.004	0.006	0.009	0.01	0.012	0.015	0.018	0.021	0.025	0.028	0.035	0.042	0.05	0.058	0.065	0.067	0.07	0.072	0.07	0.066	0.061	0.05	0.043	0.031	0.023	0.017	0.011	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0
ClassI:LTR	0.002	0.004	0.009	0.014	0.017	0.019	0.021	0.025	0.03	0.032	0.036	0.039	0.04	0.043	0.047	0.047	0.048	0.049	0.049	0.049	0.05	0.047	0.045	0.042	0.037	0.034	0.028	0.024	0.019	0.016	0.012	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
Satellite	0.011	0.018	0.048	0.027	0.057	0.07	0.045	0.073	0.1	0.068	0.045	0.041	0.059	0.037	0.034	0.041	0.029	0.037	0.02	0.037	0.023	0.03	0.014	0.016	0.007	0.012	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.003	0.001	0.003	0.007	0.011	0.013	0.015	0.023	0.032	0.043	0.037	0.045	0.069	0.078	0.065	0.07	0.065	0.065	0.061	0.052	0.045	0.043	0.034	0.026	0.022	0.018	0.015	0.012	0.008	0.004	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0	0	0	0
ClassI:LINE	0.001	0.002	0.004	0.003	0.005	0.007	0.009	0.01	0.017	0.014	0.024	0.026	0.028	0.035	0.031	0.034	0.041	0.047	0.054	0.058	0.07	0.07	0.06	0.059	0.049	0.045	0.042	0.038	0.037	0.029	0.018	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0	0
Pseudogene:RNA	0.019	0.03	0.022	0.019	0.021	0.017	0.024	0.019	0.031	0.026	0.031	0.034	0.034	0.026	0.042	0.041	0.03	0.042	0.044	0.045	0.057	0.045	0.047	0.05	0.048	0.034	0.033	0.024	0.02	0.013	0.01	0.009	0.008	0.002	0.001	0.001	0	0.001	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.073	0.009	0.119	0.027	0.05	0.096	0.064	0.087	0.105	0.068	0.041	0.037	0.014	0.014	0.023	0.023	0.018	0.014	0.014	0.014	0.018	0.005	0.023	0.009	0.009	0.009	0.005	0	0.009	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0	0.001	0.002	0.003	0.005	0.007	0.009	0.014	0.011	0.017	0.016	0.027	0.041	0.045	0.04	0.05	0.062	0.045	0.05	0.04	0.05	0.045	0.043	0.046	0.048	0.047	0.037	0.044	0.043	0.028	0.025	0.018	0.018	0.011	0.007	0.003	0.0	0.001	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.003	0.008	0.006	0.01	0.011	0.015	0.011	0.024	0.019	0.016	0.017	0.014	0.02	0.021	0.019	0.022	0.018	0.019	0.03	0.026	0.031	0.038	0.042	0.055	0.054	0.066	0.068	0.068	0.068	0.052	0.042	0.027	0.022	0.017	0.012	0.005	0.003	0.001	0	0	0	0	0	0
Retroposon/L1	0	0	0.016	0	0.008	0	0.024	0	0.024	0	0.016	0.041	0.033	0.049	0.073	0.179	0.195	0.089	0.098	0.065	0.041	0.016	0.008	0.016	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.017	0.009	0.009	0.009	0.009	0	0.035	0.017	0	0.017	0.009	0.009	0	0.009	0	0	0	0.009	0.009	0.026	0.017	0.009	0.017	0.043	0.061	0.13	0.104	0.096	0.096	0.087	0.052	0.026	0.026	0.017	0.009	0	0.017	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0.038	0.019	0.019	0	0.038	0	0.038	0.038	0	0.058	0.038	0	0.019	0.096	0.038	0.135	0.096	0.038	0.019	0.058	0.096	0.038	0.038	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
