Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	48-49
ClassII:TIR	0.0	0.001	0.002	0.005	0.006	0.008	0.01	0.013	0.016	0.019	0.023	0.028	0.033	0.041	0.049	0.059	0.063	0.066	0.068	0.069	0.07	0.065	0.06	0.052	0.044	0.038	0.027	0.019	0.014	0.01	0.007	0.005	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Unknown	0.004	0.006	0.011	0.012	0.014	0.018	0.017	0.018	0.023	0.022	0.026	0.029	0.029	0.033	0.037	0.042	0.047	0.051	0.053	0.053	0.057	0.056	0.052	0.048	0.045	0.04	0.035	0.029	0.024	0.019	0.016	0.011	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.003	0.006	0.009	0.01	0.013	0.014	0.016	0.018	0.019	0.021	0.024	0.029	0.033	0.04	0.041	0.044	0.045	0.048	0.051	0.052	0.056	0.054	0.051	0.046	0.038	0.035	0.031	0.027	0.023	0.021	0.018	0.018	0.015	0.013	0.009	0.005	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.308	0.005	0.022	0.036	0.056	0.04	0.019	0.03	0.035	0.035	0.027	0.024	0.031	0.037	0.028	0.025	0.025	0.022	0.023	0.021	0.022	0.02	0.018	0.015	0.017	0.013	0.01	0.009	0.007	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.006	0.01	0.012	0.014	0.025	0.029	0.042	0.042	0.047	0.067	0.076	0.06	0.067	0.063	0.065	0.064	0.051	0.047	0.044	0.033	0.028	0.026	0.021	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0
Pseudogene:RNA	0.011	0.022	0.017	0.016	0.023	0.023	0.04	0.034	0.04	0.048	0.04	0.053	0.061	0.045	0.054	0.048	0.065	0.051	0.026	0.039	0.058	0.039	0.026	0.025	0.019	0.016	0.003	0.028	0.009	0.002	0.006	0.002	0.002	0.003	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0
ClassI:LINE	0.004	0.001	0.003	0.003	0.004	0.006	0.009	0.012	0.017	0.022	0.035	0.035	0.047	0.048	0.056	0.05	0.049	0.041	0.044	0.044	0.042	0.043	0.038	0.04	0.038	0.042	0.037	0.036	0.034	0.029	0.03	0.024	0.018	0.01	0.007	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.003	0.002	0.004	0.004	0.005	0.008	0.013	0.015	0.016	0.018	0.02	0.021	0.021	0.021	0.023	0.016	0.025	0.027	0.023	0.021	0.02	0.022	0.028	0.028	0.037	0.046	0.062	0.058	0.059	0.075	0.071	0.058	0.039	0.037	0.028	0.014	0.006	0.003	0.001	0.001	0	0	0	0	0	0
ClassI:SINE	0.005	0.002	0.012	0.033	0.037	0.033	0.029	0.024	0.018	0.023	0.028	0.035	0.053	0.062	0.06	0.05	0.054	0.049	0.038	0.043	0.035	0.032	0.037	0.041	0.031	0.035	0.024	0.022	0.018	0.01	0.012	0.006	0.004	0.002	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0.017	0	0	0.011	0.017	0.006	0.022	0.017	0.028	0.011	0.017	0.006	0.061	0.044	0.067	0.044	0.028	0.067	0.044	0.044	0.05	0.033	0.056	0.044	0.05	0.067	0.061	0.033	0.022	0.017	0.011	0.006	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0.003	0.003	0.017	0.022	0.028	0.017	0.02	0.025	0.05	0.05	0.031	0.042	0.014	0.036	0.025	0.078	0.053	0.075	0.05	0.061	0.07	0.07	0.031	0.047	0.047	0.008	0.014	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0.005	0.01	0	0.01	0.005	0	0.031	0.026	0.015	0.046	0.036	0.015	0.046	0.066	0.051	0.036	0.087	0.077	0.061	0.061	0.071	0.01	0.02	0.036	0.041	0.036	0.02	0.031	0.031	0	0.015	0	0.005	0	0	0	0	0	0	0	0	0	0	0
