Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	46-47	48-49
Unknown	0.005	0.005	0.009	0.014	0.018	0.022	0.027	0.031	0.034	0.036	0.038	0.04	0.041	0.045	0.047	0.051	0.052	0.053	0.055	0.051	0.052	0.048	0.044	0.039	0.032	0.029	0.022	0.018	0.013	0.009	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LTR	0.007	0.006	0.013	0.02	0.028	0.037	0.037	0.036	0.038	0.041	0.041	0.04	0.041	0.04	0.04	0.039	0.036	0.037	0.036	0.037	0.039	0.037	0.035	0.035	0.032	0.031	0.029	0.026	0.021	0.019	0.015	0.012	0.008	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.002	0.003	0.004	0.005	0.005	0.008	0.01	0.012	0.011	0.015	0.02	0.022	0.026	0.031	0.037	0.044	0.047	0.051	0.056	0.066	0.063	0.073	0.067	0.063	0.059	0.05	0.041	0.036	0.025	0.021	0.013	0.006	0.002	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.251	0.002	0.013	0.027	0.051	0.039	0.016	0.027	0.036	0.039	0.027	0.026	0.037	0.046	0.033	0.028	0.032	0.027	0.03	0.029	0.027	0.025	0.023	0.02	0.02	0.015	0.012	0.011	0.008	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassII:TIR	0.002	0.002	0.006	0.01	0.013	0.017	0.021	0.022	0.024	0.026	0.03	0.035	0.039	0.043	0.046	0.049	0.054	0.056	0.059	0.056	0.057	0.057	0.053	0.046	0.038	0.034	0.025	0.021	0.018	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.005	0.009	0.009	0.012	0.018	0.026	0.033	0.033	0.043	0.065	0.077	0.065	0.075	0.071	0.069	0.067	0.056	0.049	0.048	0.035	0.03	0.024	0.021	0.015	0.013	0.008	0.007	0.005	0.004	0.002	0.002	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:DNA_Polymerase	0.003	0.006	0.007	0.007	0.005	0.009	0.007	0.009	0.009	0.02	0.036	0.054	0.068	0.064	0.067	0.061	0.057	0.056	0.065	0.059	0.057	0.046	0.036	0.025	0.028	0.029	0.028	0.021	0.02	0.012	0.01	0.006	0.008	0.001	0.003	0.002	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.005	0.007	0.014	0.005	0.004	0.01	0.012	0.01	0.032	0.036	0.054	0.054	0.075	0.056	0.041	0.05	0.058	0.074	0.056	0.06	0.056	0.036	0.039	0.024	0.019	0.023	0.031	0.012	0.012	0.01	0.011	0.002	0.002	0.001	0	0.004	0	0.001	0.002	0.002	0.001	0	0	0	0	0	0
ClassII:Rolling_Circle	0.011	0.01	0.012	0.016	0.024	0.027	0.039	0.032	0.032	0.028	0.029	0.021	0.018	0.018	0.021	0.029	0.028	0.027	0.033	0.032	0.035	0.041	0.034	0.04	0.041	0.038	0.034	0.037	0.032	0.033	0.032	0.027	0.032	0.031	0.014	0.008	0.004	0.002	0.0	0.0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.003	0.006	0.003	0.008	0.003	0.005	0.012	0.016	0.006	0.022	0.026	0.043	0.057	0.048	0.042	0.056	0.067	0.071	0.062	0.064	0.067	0.057	0.048	0.056	0.061	0.03	0.03	0.012	0.012	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.057	0.013	0.052	0.013	0.033	0.029	0.028	0.036	0.028	0.033	0.023	0.023	0.013	0.021	0.025	0.018	0.018	0.016	0.016	0.016	0.028	0.026	0.033	0.043	0.025	0.054	0.043	0.054	0.044	0.041	0.026	0.033	0.016	0.008	0.013	0.002	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.033	0.011	0	0.027	0.038	0.027	0.016	0.033	0.027	0	0.016	0.022	0.027	0.022	0.038	0.044	0.044	0.022	0.033	0.038	0.038	0.093	0.077	0.066	0.06	0.033	0.055	0.011	0.027	0.011	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.053	0.035	0.018	0.088	0.053	0.053	0.018	0.035	0.018	0.018	0	0.018	0	0.053	0.035	0.088	0.035	0.088	0.018	0.053	0	0.018	0.053	0.035	0.07	0	0.018	0.018	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0
