Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	49-50
Unknown	0.006	0.007	0.015	0.024	0.03	0.034	0.035	0.038	0.039	0.038	0.04	0.042	0.044	0.045	0.047	0.048	0.048	0.048	0.047	0.045	0.045	0.042	0.038	0.034	0.027	0.025	0.019	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.186	0.001	0.011	0.027	0.054	0.046	0.03	0.037	0.039	0.041	0.028	0.027	0.037	0.048	0.034	0.03	0.032	0.028	0.033	0.028	0.029	0.029	0.025	0.022	0.021	0.017	0.014	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0
ClassI:LTR	0.004	0.004	0.018	0.035	0.045	0.044	0.041	0.04	0.044	0.043	0.04	0.035	0.031	0.028	0.027	0.027	0.027	0.03	0.034	0.035	0.038	0.039	0.039	0.039	0.036	0.033	0.03	0.026	0.023	0.019	0.015	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.003	0.007	0.014	0.025	0.027	0.026	0.027	0.028	0.027	0.026	0.026	0.031	0.034	0.035	0.038	0.043	0.042	0.045	0.045	0.04	0.039	0.039	0.04	0.044	0.042	0.04	0.034	0.029	0.028	0.022	0.019	0.014	0.01	0.006	0.004	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.001	0.003	0.006	0.012	0.009	0.01	0.009	0.009	0.011	0.011	0.012	0.018	0.022	0.021	0.03	0.036	0.04	0.051	0.063	0.071	0.078	0.072	0.074	0.074	0.065	0.057	0.049	0.034	0.022	0.012	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.004	0.008	0.009	0.013	0.02	0.025	0.037	0.032	0.046	0.063	0.08	0.059	0.072	0.068	0.066	0.066	0.056	0.048	0.051	0.034	0.029	0.026	0.024	0.016	0.013	0.008	0.008	0.005	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0
ClassII:Rolling_Circle	0.004	0.005	0.006	0.012	0.017	0.034	0.05	0.05	0.046	0.036	0.031	0.027	0.022	0.029	0.031	0.037	0.032	0.032	0.04	0.04	0.04	0.042	0.04	0.036	0.031	0.026	0.032	0.029	0.028	0.024	0.02	0.022	0.019	0.015	0.007	0.006	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.001	0	0	0.001	0.001	0.002	0.001	0.003	0.009	0.01	0.019	0.02	0.034	0.053	0.063	0.078	0.098	0.098	0.093	0.096	0.073	0.076	0.063	0.036	0.028	0.022	0.012	0.006	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0.01	0.022	0.022	0.029	0.083	0.115	0.076	0.051	0.054	0.081	0.039	0.034	0.034	0.037	0.037	0.027	0.02	0.017	0.032	0.024	0.007	0.024	0.015	0.012	0.015	0.024	0.034	0.012	0.01	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.128	0.268	0.146	0.061	0.018	0.012	0.018	0.006	0.006	0.006	0.012	0.006	0.012	0.006	0	0	0.006	0.018	0.018	0.006	0.024	0.03	0.024	0.024	0.03	0.037	0.024	0.012	0.006	0.018	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0.091	0	0	0.091	0	0	0	0.091	0	0.091	0	0	0.091	0.182	0	0.182	0.091	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
