Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	48-49	50-51
ClassI:LTR	0.004	0.007	0.016	0.029	0.044	0.049	0.054	0.053	0.047	0.047	0.05	0.049	0.045	0.041	0.04	0.038	0.036	0.037	0.036	0.035	0.035	0.031	0.029	0.024	0.021	0.018	0.015	0.013	0.012	0.011	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.006	0.007	0.009	0.011	0.018	0.027	0.028	0.027	0.029	0.029	0.03	0.034	0.038	0.039	0.041	0.042	0.038	0.04	0.039	0.034	0.035	0.036	0.036	0.041	0.051	0.054	0.055	0.042	0.03	0.02	0.012	0.009	0.005	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.349	0.005	0.023	0.033	0.045	0.031	0.024	0.026	0.031	0.031	0.023	0.023	0.029	0.035	0.026	0.022	0.025	0.021	0.024	0.022	0.022	0.021	0.019	0.017	0.016	0.013	0.01	0.009	0.007	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
ClassII:TIR	0.003	0.008	0.016	0.021	0.027	0.035	0.04	0.043	0.045	0.046	0.045	0.046	0.047	0.05	0.051	0.049	0.049	0.046	0.043	0.041	0.04	0.037	0.033	0.03	0.025	0.022	0.016	0.012	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.005	0.007	0.013	0.017	0.022	0.031	0.032	0.034	0.037	0.04	0.043	0.045	0.046	0.049	0.049	0.051	0.052	0.052	0.051	0.049	0.049	0.043	0.04	0.033	0.027	0.023	0.017	0.013	0.009	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.008	0.009	0.011	0.018	0.023	0.03	0.031	0.038	0.066	0.073	0.063	0.071	0.069	0.066	0.064	0.06	0.055	0.048	0.038	0.033	0.028	0.024	0.018	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassI:SINE	0.008	0.003	0.007	0.01	0.017	0.023	0.04	0.053	0.046	0.048	0.072	0.072	0.064	0.071	0.046	0.044	0.039	0.047	0.034	0.032	0.03	0.029	0.022	0.028	0.02	0.024	0.019	0.017	0.016	0.012	0.005	0.002	0.001	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.008	0.02	0.024	0.021	0.024	0.027	0.028	0.024	0.027	0.025	0.024	0.027	0.033	0.042	0.038	0.036	0.03	0.034	0.028	0.032	0.03	0.036	0.039	0.035	0.034	0.031	0.027	0.03	0.031	0.034	0.034	0.029	0.027	0.016	0.008	0.003	0.001	0.001	0	0.0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.001	0	0	0.002	0.004	0.011	0.021	0.039	0.068	0.095	0.089	0.08	0.084	0.085	0.084	0.07	0.075	0.058	0.042	0.021	0.018	0.014	0.011	0.012	0.006	0.003	0.003	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.004	0.039	0.06	0.031	0.039	0.027	0.012	0.016	0.004	0.004	0.025	0.121	0.16	0.099	0.047	0.049	0.035	0.031	0.018	0.023	0.025	0.039	0.023	0.019	0.023	0.012	0.004	0.002	0.002	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
