Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	49-50
Unknown	0.001	0.001	0.002	0.003	0.004	0.007	0.009	0.013	0.016	0.02	0.024	0.028	0.034	0.04	0.046	0.052	0.059	0.065	0.069	0.07	0.071	0.068	0.061	0.053	0.044	0.039	0.029	0.022	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.004	0.009	0.009	0.012	0.019	0.023	0.032	0.031	0.042	0.055	0.063	0.06	0.07	0.07	0.066	0.064	0.062	0.056	0.057	0.046	0.034	0.03	0.024	0.018	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.001	0.001	0.002	0.005	0.008	0.013	0.017	0.02	0.024	0.029	0.034	0.038	0.042	0.048	0.053	0.054	0.055	0.055	0.054	0.055	0.055	0.053	0.051	0.046	0.041	0.036	0.03	0.022	0.018	0.013	0.01	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.004	0.007	0.007	0.009	0.012	0.015	0.019	0.023	0.028	0.036	0.045	0.052	0.057	0.061	0.063	0.06	0.06	0.054	0.054	0.048	0.048	0.045	0.039	0.034	0.03	0.025	0.019	0.015	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.165	0.002	0.01	0.02	0.038	0.028	0.014	0.023	0.03	0.032	0.026	0.026	0.036	0.042	0.035	0.035	0.038	0.037	0.041	0.039	0.039	0.04	0.034	0.033	0.032	0.025	0.02	0.017	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
ClassI:LINE	0	0.0	0.0	0.0	0.001	0.001	0.003	0.004	0.004	0.005	0.007	0.008	0.011	0.015	0.02	0.021	0.023	0.024	0.026	0.032	0.034	0.042	0.051	0.054	0.064	0.072	0.08	0.086	0.088	0.077	0.064	0.041	0.022	0.01	0.004	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.052	0.069	0.058	0.046	0.11	0.075	0.04	0.046	0.046	0.058	0.046	0.046	0.017	0.029	0.017	0.029	0.029	0.029	0.023	0.017	0.04	0.006	0.006	0.029	0.017	0	0.006	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.014	0.012	0.015	0.012	0.013	0.018	0.019	0.018	0.02	0.018	0.02	0.016	0.023	0.029	0.032	0.037	0.043	0.043	0.062	0.073	0.067	0.067	0.053	0.046	0.038	0.033	0.025	0.021	0.014	0.015	0.018	0.016	0.013	0.015	0.007	0.006	0.006	0.001	0.0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.606	0.054	0.024	0.012	0.007	0.007	0.012	0.016	0.021	0.024	0.025	0.013	0.009	0.013	0.008	0.008	0.009	0.007	0.01	0.006	0.008	0.002	0.008	0.014	0.007	0.003	0.014	0.009	0.016	0.003	0.016	0.005	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.01	0.015	0.058	0.051	0.056	0.051	0.043	0.048	0.046	0.043	0.038	0.038	0.035	0.051	0.038	0.041	0.048	0.033	0.025	0.02	0.028	0.023	0.013	0.025	0.028	0.02	0.03	0.01	0.02	0.005	0.008	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0	0	0	0	0.006	0.006	0.017	0.012	0.023	0.012	0.046	0.035	0.035	0.064	0.064	0.029	0.058	0.087	0.075	0.075	0.087	0.046	0.04	0.087	0.035	0.029	0.023	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0	0	0.002	0	0.003	0.021	0.149	0.281	0.195	0.083	0.029	0.021	0.011	0.011	0.021	0.016	0.024	0.013	0.029	0.037	0.029	0.011	0.003	0.002	0	0	0.002	0	0.002	0.002	0	0	0	0.003	0	0.002	0	0	0	0	0	0	0	0	0	0	0
