Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	53-54
Simple_repeat	0.108	0.002	0.012	0.02	0.034	0.026	0.015	0.025	0.029	0.031	0.026	0.028	0.037	0.044	0.038	0.037	0.041	0.04	0.046	0.043	0.044	0.044	0.04	0.036	0.036	0.027	0.022	0.019	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:SINE	0.015	0.016	0.013	0.024	0.026	0.043	0.084	0.075	0.046	0.039	0.028	0.024	0.025	0.03	0.032	0.023	0.029	0.026	0.048	0.052	0.051	0.052	0.036	0.049	0.024	0.046	0.024	0.011	0.004	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.005	0.008	0.009	0.012	0.019	0.022	0.032	0.031	0.041	0.053	0.061	0.058	0.066	0.064	0.068	0.069	0.062	0.057	0.055	0.046	0.037	0.032	0.026	0.019	0.013	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.002	0.002	0.005	0.007	0.008	0.011	0.013	0.018	0.02	0.022	0.026	0.028	0.033	0.038	0.043	0.049	0.056	0.062	0.066	0.067	0.068	0.063	0.059	0.051	0.042	0.037	0.029	0.023	0.017	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.006	0.01	0.011	0.013	0.017	0.021	0.026	0.028	0.029	0.03	0.035	0.039	0.042	0.048	0.055	0.062	0.065	0.065	0.064	0.06	0.053	0.047	0.039	0.032	0.025	0.02	0.015	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Pseudogene:RNA	0.072	0.047	0.058	0.105	0.084	0.047	0.03	0.034	0.034	0.027	0.04	0.025	0.014	0.025	0.013	0.022	0.017	0.009	0.009	0.007	0.019	0.008	0.013	0.01	0.015	0.014	0.017	0.019	0.018	0.017	0.068	0.036	0.02	0.007	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.0	0.001	0.002	0.007	0.007	0.01	0.012	0.015	0.016	0.02	0.02	0.022	0.024	0.028	0.028	0.028	0.029	0.032	0.035	0.041	0.041	0.045	0.05	0.055	0.061	0.062	0.066	0.069	0.059	0.048	0.031	0.019	0.011	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.002	0.004	0.006	0.008	0.01	0.013	0.016	0.02	0.027	0.036	0.043	0.045	0.047	0.046	0.049	0.05	0.053	0.056	0.055	0.057	0.053	0.051	0.047	0.042	0.036	0.03	0.025	0.02	0.016	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.001	0.004	0.006	0.018	0.028	0.029	0.036	0.031	0.028	0.026	0.028	0.03	0.032	0.019	0.035	0.039	0.029	0.029	0.047	0.04	0.032	0.027	0.019	0.015	0.015	0.015	0.025	0.019	0.03	0.035	0.057	0.055	0.052	0.034	0.017	0.007	0.005	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.0	0.001	0.003	0.002	0.012	0.027	0.021	0.01	0.006	0.008	0.01	0.025	0.036	0.044	0.056	0.074	0.079	0.096	0.102	0.109	0.091	0.061	0.056	0.038	0.02	0.007	0.004	0.003	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0.001	0	0.002	0.003	0.005	0.008	0.016	0.023	0.045	0.046	0.05	0.062	0.062	0.058	0.05	0.049	0.048	0.044	0.049	0.051	0.072	0.052	0.05	0.038	0.035	0.03	0.023	0.018	0.006	0.004	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0
