Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	49-50	54-55	56-57
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.008	0.009	0.011	0.018	0.023	0.032	0.031	0.042	0.053	0.062	0.058	0.068	0.065	0.069	0.068	0.061	0.058	0.053	0.046	0.035	0.032	0.026	0.02	0.014	0.01	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0
Simple_repeat	0.169	0.004	0.017	0.023	0.035	0.028	0.014	0.024	0.029	0.031	0.024	0.025	0.034	0.039	0.035	0.035	0.037	0.037	0.04	0.039	0.041	0.04	0.035	0.033	0.031	0.024	0.02	0.017	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0
Unknown	0.001	0.002	0.005	0.007	0.008	0.011	0.012	0.014	0.016	0.019	0.024	0.029	0.034	0.041	0.047	0.054	0.06	0.064	0.066	0.065	0.066	0.063	0.057	0.051	0.043	0.038	0.029	0.022	0.016	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0.078	0.019	0.025	0.033	0.053	0.048	0.061	0.083	0.065	0.069	0.074	0.038	0.048	0.035	0.032	0.037	0.021	0.016	0.016	0.025	0.019	0.017	0.019	0.013	0.012	0.011	0.007	0.005	0.003	0.01	0.003	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.001	0.003	0.005	0.009	0.012	0.015	0.017	0.021	0.024	0.026	0.029	0.033	0.038	0.044	0.049	0.055	0.059	0.063	0.064	0.064	0.061	0.057	0.051	0.044	0.037	0.03	0.024	0.019	0.015	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.005	0.017	0.018	0.017	0.017	0.018	0.021	0.024	0.031	0.037	0.04	0.041	0.043	0.044	0.047	0.052	0.054	0.056	0.056	0.053	0.049	0.045	0.04	0.034	0.031	0.025	0.021	0.017	0.014	0.01	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.001	0.002	0.004	0.005	0.006	0.009	0.012	0.015	0.019	0.024	0.027	0.028	0.028	0.028	0.029	0.033	0.034	0.036	0.035	0.035	0.037	0.041	0.042	0.046	0.058	0.066	0.069	0.062	0.057	0.044	0.029	0.019	0.011	0.006	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0.001	0.002	0.009	0.011	0.017	0.02	0.028	0.03	0.03	0.038	0.042	0.057	0.069	0.068	0.065	0.06	0.061	0.051	0.054	0.044	0.035	0.03	0.028	0.026	0.013	0.011	0.008	0.01	0.017	0.016	0.018	0.015	0.008	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.002	0.002	0.006	0.01	0.015	0.015	0.018	0.023	0.033	0.045	0.051	0.052	0.054	0.05	0.046	0.044	0.053	0.056	0.046	0.042	0.051	0.041	0.035	0.041	0.035	0.028	0.023	0.019	0.015	0.014	0.012	0.006	0.007	0.003	0.002	0.001	0.001	0.001	0	0	0.0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0.005	0.006	0.01	0.011	0.023	0.023	0.038	0.065	0.12	0.16	0.125	0.122	0.121	0.078	0.046	0.03	0.007	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.021	0.088	0.088	0.152	0.15	0.081	0.052	0.045	0.062	0.036	0.014	0.029	0.014	0.021	0.021	0.017	0.01	0.005	0.01	0.014	0.014	0.017	0.007	0.007	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.444	0	0.236	0.014	0.056	0.139	0	0.069	0.014	0	0.014	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.009	0.102	0.25	0.167	0.148	0.074	0.028	0.009	0.009	0	0.009	0	0.019	0.009	0.009	0.046	0.009	0.019	0	0.019	0.009	0.019	0	0.009	0.019	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
