Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51
ClassI:LTR	0.002	0.001	0.004	0.007	0.014	0.018	0.022	0.027	0.031	0.035	0.038	0.039	0.041	0.043	0.045	0.047	0.05	0.052	0.052	0.051	0.051	0.049	0.047	0.044	0.04	0.035	0.03	0.024	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.006	0.007	0.01	0.014	0.016	0.018	0.021	0.026	0.031	0.036	0.04	0.046	0.051	0.056	0.06	0.061	0.063	0.062	0.062	0.058	0.054	0.047	0.038	0.033	0.025	0.018	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.186	0.004	0.018	0.024	0.036	0.023	0.015	0.024	0.027	0.027	0.023	0.024	0.032	0.035	0.034	0.035	0.038	0.036	0.04	0.038	0.04	0.039	0.035	0.032	0.032	0.025	0.02	0.016	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.002	0.007	0.011	0.017	0.024	0.032	0.033	0.034	0.035	0.037	0.04	0.043	0.045	0.047	0.049	0.052	0.055	0.056	0.053	0.053	0.047	0.042	0.035	0.031	0.028	0.023	0.018	0.014	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.003	0.013	0.022	0.035	0.048	0.054	0.057	0.058	0.06	0.06	0.06	0.055	0.052	0.047	0.046	0.046	0.043	0.041	0.032	0.03	0.027	0.025	0.02	0.015	0.01	0.008	0.006	0.006	0.006	0.006	0.004	0.002	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.001	0.005	0.008	0.009	0.012	0.02	0.025	0.035	0.032	0.044	0.052	0.059	0.056	0.068	0.064	0.068	0.068	0.061	0.056	0.055	0.046	0.036	0.032	0.025	0.018	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0
ClassII:DNA_Polymerase	0.003	0.005	0.013	0.015	0.031	0.044	0.047	0.041	0.048	0.074	0.106	0.107	0.102	0.095	0.08	0.056	0.046	0.033	0.015	0.007	0.005	0.003	0.004	0.005	0.007	0.003	0.002	0	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.003	0.006	0.017	0.025	0.02	0.015	0.013	0.012	0.013	0.013	0.016	0.017	0.021	0.02	0.025	0.028	0.03	0.033	0.041	0.043	0.045	0.051	0.057	0.065	0.06	0.058	0.056	0.054	0.046	0.035	0.025	0.016	0.009	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.002	0.002	0.002	0.002	0.003	0.006	0.01	0.02	0.016	0.024	0.033	0.035	0.038	0.045	0.045	0.05	0.049	0.049	0.049	0.052	0.051	0.051	0.047	0.045	0.046	0.043	0.038	0.034	0.028	0.024	0.02	0.012	0.01	0.008	0.004	0.002	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.008	0.022	0.038	0.085	0.077	0.047	0.038	0.042	0.04	0.044	0.035	0.04	0.044	0.05	0.052	0.054	0.055	0.04	0.037	0.025	0.023	0.021	0.014	0.02	0.014	0.012	0.006	0.004	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.001	0.003	0.004	0.006	0.01	0.003	0.021	0.014	0.018	0.029	0.04	0.04	0.054	0.075	0.09	0.078	0.065	0.063	0.057	0.04	0.039	0.041	0.043	0.033	0.034	0.034	0.027	0.014	0.011	0.009	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.001	0	0.001	0	0	0.001	0.002	0.003	0.002	0.004	0.005	0.01	0.006	0.02	0.029	0.034	0.056	0.061	0.084	0.086	0.097	0.089	0.097	0.084	0.071	0.061	0.032	0.037	0.018	0.006	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
