Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	45-46
Simple_repeat	0.245	0.009	0.033	0.038	0.05	0.043	0.026	0.032	0.036	0.036	0.027	0.027	0.032	0.034	0.027	0.029	0.03	0.027	0.029	0.024	0.024	0.024	0.022	0.018	0.018	0.013	0.011	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.005	0.005	0.006	0.005	0.004	0.004	0.004	0.005	0.006	0.006	0.007	0.008	0.01	0.014	0.016	0.02	0.025	0.028	0.036	0.041	0.054	0.06	0.072	0.078	0.082	0.086	0.08	0.07	0.059	0.043	0.029	0.017	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0.0
ClassI:LTR	0.001	0.001	0.001	0.002	0.003	0.005	0.004	0.005	0.005	0.007	0.011	0.009	0.012	0.013	0.013	0.017	0.022	0.029	0.029	0.036	0.041	0.05	0.057	0.064	0.077	0.087	0.089	0.083	0.073	0.057	0.04	0.024	0.013	0.009	0.004	0.002	0.001	0.0	0.0	0	0.0	0	0
Unknown	0.046	0.042	0.053	0.052	0.053	0.056	0.053	0.052	0.048	0.048	0.047	0.047	0.044	0.041	0.042	0.038	0.035	0.033	0.028	0.024	0.023	0.02	0.016	0.013	0.011	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0	0	0.005	0.002	0.004	0.005	0.005	0.009	0.005	0.02	0.027	0.02	0.043	0.031	0.029	0.063	0.088	0.066	0.079	0.068	0.052	0.065	0.039	0.045	0.045	0.032	0.025	0.039	0.022	0.016	0.018	0.009	0.007	0.002	0.004	0.004	0.005	0	0.002	0	0	0	0
ClassII:TIR	0.01	0.031	0.053	0.054	0.04	0.036	0.033	0.033	0.024	0.025	0.027	0.025	0.026	0.026	0.03	0.038	0.029	0.027	0.032	0.021	0.029	0.027	0.044	0.045	0.041	0.049	0.032	0.033	0.017	0.022	0.014	0.015	0.007	0.003	0.002	0.001	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.003	0	0	0	0	0.007	0.003	0.007	0	0.003	0.01	0.01	0.024	0.01	0.003	0.028	0.038	0.028	0.079	0.069	0.069	0.069	0.079	0.121	0.062	0.1	0.072	0.038	0.031	0.01	0.017	0.007	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.183	0.15	0.099	0.047	0.028	0.038	0.019	0.009	0.005	0.005	0	0	0.005	0.014	0.033	0.042	0.023	0.014	0.052	0.009	0.047	0.033	0.038	0.023	0.019	0.009	0.005	0.023	0.005	0.005	0.019	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0	0.02	0.06	0.08	0.02	0.12	0.06	0.04	0.06	0.08	0.06	0.04	0.04	0.08	0.06	0	0	0.04	0.06	0.04	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.043	0.043	0.085	0.043	0.021	0.149	0	0.043	0.043	0	0.064	0.064	0.17	0.021	0.064	0	0	0.021	0	0	0.043	0.021	0.021	0.021	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
