Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.279	0.003	0.014	0.025	0.048	0.043	0.014	0.024	0.033	0.037	0.024	0.024	0.031	0.039	0.029	0.027	0.028	0.026	0.029	0.027	0.027	0.026	0.023	0.021	0.021	0.016	0.013	0.012	0.01	0.007	0.005	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.002	0.004	0.007	0.008	0.011	0.018	0.024	0.031	0.031	0.04	0.066	0.068	0.062	0.07	0.063	0.065	0.063	0.058	0.053	0.051	0.041	0.035	0.03	0.026	0.018	0.015	0.011	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0.0	0.0
Unknown	0.012	0.017	0.02	0.029	0.03	0.037	0.038	0.042	0.046	0.045	0.047	0.046	0.046	0.047	0.047	0.046	0.045	0.047	0.044	0.04	0.038	0.036	0.03	0.028	0.022	0.02	0.015	0.011	0.008	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
ClassI:SINE	0.007	0.01	0.013	0.014	0.026	0.034	0.035	0.032	0.027	0.02	0.02	0.027	0.027	0.04	0.032	0.045	0.042	0.048	0.048	0.051	0.056	0.052	0.057	0.045	0.032	0.033	0.029	0.024	0.017	0.018	0.016	0.008	0.008	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.009	0.012	0.016	0.031	0.03	0.035	0.036	0.041	0.044	0.045	0.045	0.044	0.042	0.04	0.039	0.038	0.039	0.04	0.039	0.039	0.037	0.036	0.035	0.03	0.028	0.026	0.022	0.019	0.017	0.014	0.01	0.008	0.006	0.004	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.008	0.014	0.017	0.022	0.025	0.032	0.033	0.035	0.035	0.038	0.037	0.036	0.04	0.044	0.043	0.046	0.048	0.049	0.054	0.049	0.049	0.046	0.04	0.035	0.028	0.025	0.018	0.015	0.012	0.01	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.003	0.004	0.005	0.006	0.005	0.008	0.016	0.021	0.023	0.026	0.032	0.033	0.041	0.046	0.05	0.045	0.046	0.052	0.05	0.048	0.045	0.047	0.046	0.048	0.047	0.046	0.044	0.033	0.027	0.02	0.014	0.009	0.005	0.004	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.003	0	0.01	0.007	0	0.003	0.013	0.016	0.01	0.02	0.007	0.01	0.016	0.023	0.02	0.026	0.026	0.029	0.042	0.026	0.049	0.075	0.059	0.072	0.075	0.065	0.098	0.069	0.042	0.029	0.023	0.023	0.003	0.003	0.007	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0.004	0	0	0	0.012	0.028	0.032	0.032	0.02	0.036	0.053	0.077	0.065	0.069	0.081	0.04	0.057	0.045	0.057	0.016	0.024	0.049	0.085	0.045	0.024	0.02	0.02	0.004	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.003	0	0	0.006	0.003	0	0.003	0.003	0	0.011	0.011	0.009	0.014	0.029	0.034	0.037	0.055	0.063	0.06	0.04	0.069	0.072	0.089	0.075	0.06	0.06	0.078	0.072	0.017	0.02	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.007	0.011	0.023	0.03	0.028	0.023	0.016	0.028	0.027	0.037	0.039	0.035	0.043	0.044	0.042	0.05	0.051	0.047	0.039	0.039	0.037	0.035	0.038	0.036	0.034	0.031	0.027	0.021	0.018	0.019	0.012	0.011	0.009	0.005	0.004	0.001	0.0	0	0	0	0	0	0	0	0
Satellite	0.003	0.009	0.006	0	0.012	0.012	0.006	0.006	0.006	0.009	0.018	0.035	0.026	0.044	0.05	0.082	0.091	0.12	0.082	0.079	0.064	0.061	0.058	0.035	0.038	0.026	0	0	0.006	0.003	0.003	0.003	0.003	0	0.006	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.159	0.061	0.061	0.122	0.012	0.024	0.012	0.024	0.037	0.037	0.024	0.024	0	0.024	0.024	0.024	0.024	0.073	0.012	0.037	0.037	0.012	0.037	0.024	0.012	0.024	0	0.012	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
