Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	49-50
Simple_repeat	0.227	0.002	0.01	0.023	0.05	0.04	0.014	0.027	0.037	0.041	0.026	0.027	0.035	0.044	0.032	0.028	0.032	0.029	0.033	0.029	0.03	0.029	0.026	0.022	0.023	0.018	0.014	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.008	0.009	0.011	0.017	0.023	0.033	0.03	0.041	0.065	0.072	0.06	0.072	0.063	0.066	0.066	0.056	0.052	0.051	0.039	0.031	0.031	0.026	0.02	0.013	0.01	0.007	0.006	0.003	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0	0.0	0	0.0	0.0
ClassII:TIR	0.004	0.003	0.008	0.013	0.019	0.023	0.028	0.032	0.033	0.038	0.04	0.042	0.046	0.049	0.051	0.053	0.052	0.053	0.051	0.052	0.052	0.046	0.042	0.037	0.031	0.025	0.021	0.015	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.004	0.004	0.013	0.015	0.021	0.025	0.03	0.033	0.037	0.039	0.044	0.046	0.047	0.048	0.05	0.046	0.045	0.045	0.044	0.041	0.041	0.038	0.037	0.035	0.03	0.029	0.025	0.023	0.019	0.016	0.011	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.011	0.005	0.02	0.019	0.028	0.038	0.042	0.048	0.054	0.056	0.058	0.056	0.053	0.052	0.047	0.046	0.044	0.041	0.039	0.037	0.034	0.029	0.026	0.022	0.018	0.017	0.013	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.003	0.006	0.007	0.008	0.012	0.013	0.016	0.015	0.021	0.021	0.022	0.027	0.028	0.032	0.033	0.039	0.04	0.045	0.052	0.052	0.059	0.063	0.059	0.062	0.059	0.058	0.045	0.037	0.026	0.017	0.011	0.006	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.008	0.007	0.018	0.013	0.016	0.017	0.014	0.018	0.014	0.018	0.019	0.041	0.039	0.025	0.027	0.03	0.043	0.05	0.03	0.041	0.046	0.053	0.057	0.056	0.047	0.067	0.05	0.041	0.022	0.027	0.018	0.013	0.008	0.008	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.003	0.009	0.013	0.024	0.031	0.039	0.045	0.048	0.053	0.057	0.055	0.058	0.059	0.052	0.051	0.046	0.044	0.046	0.038	0.03	0.031	0.025	0.025	0.02	0.02	0.016	0.015	0.012	0.012	0.008	0.006	0.003	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.003	0	0.006	0.023	0.032	0.039	0.045	0.081	0.061	0.042	0.055	0.052	0.045	0.036	0.039	0.045	0.019	0.045	0.055	0.032	0.026	0.049	0.039	0.01	0.003	0.006	0.013	0.01	0.013	0.019	0.013	0.013	0.01	0.013	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.007	0.03	0	0	0.03	0.059	0.089	0.052	0.044	0.052	0.089	0.037	0.096	0.059	0.044	0.044	0.074	0.052	0.037	0.022	0.015	0.007	0.037	0.015	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.211	0	0.079	0.053	0.079	0.079	0.184	0.026	0	0.079	0	0.026	0	0.026	0.026	0	0.026	0.026	0	0	0.026	0	0	0	0.026	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.014	0.014	0	0.014	0.028	0.014	0.042	0.014	0.014	0.042	0.028	0.028	0.014	0.056	0.056	0.07	0.042	0.07	0.042	0.042	0.028	0.014	0.028	0.042	0.056	0.099	0.014	0.042	0	0	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.006	0.019	0.031	0.031	0.056	0.025	0.056	0.056	0.043	0.037	0.037	0.049	0.049	0.025	0.043	0.025	0.037	0.025	0.056	0.031	0.019	0.012	0.037	0.086	0.012	0.019	0.037	0.006	0.012	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
