Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	47-48	58-59
ClassI:LTR	0.009	0.005	0.014	0.016	0.022	0.023	0.03	0.034	0.045	0.043	0.049	0.048	0.048	0.05	0.046	0.045	0.045	0.045	0.043	0.039	0.038	0.036	0.037	0.033	0.03	0.029	0.024	0.021	0.016	0.013	0.009	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
Simple_repeat	0.197	0.002	0.012	0.024	0.047	0.041	0.015	0.026	0.036	0.04	0.027	0.025	0.036	0.046	0.034	0.031	0.033	0.031	0.035	0.032	0.032	0.03	0.028	0.024	0.024	0.021	0.015	0.014	0.012	0.009	0.006	0.005	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.002	0.004	0.009	0.01	0.011	0.02	0.025	0.032	0.034	0.044	0.061	0.07	0.059	0.074	0.067	0.063	0.061	0.056	0.052	0.05	0.039	0.031	0.031	0.023	0.02	0.015	0.011	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0
Unknown	0.009	0.006	0.019	0.025	0.04	0.046	0.057	0.065	0.062	0.057	0.055	0.049	0.049	0.045	0.043	0.038	0.037	0.038	0.034	0.031	0.03	0.027	0.024	0.021	0.018	0.016	0.013	0.011	0.009	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0
ClassII:TIR	0.002	0.003	0.01	0.014	0.02	0.024	0.027	0.032	0.034	0.035	0.041	0.046	0.048	0.05	0.05	0.05	0.052	0.053	0.054	0.052	0.052	0.044	0.039	0.034	0.03	0.026	0.02	0.016	0.013	0.009	0.008	0.005	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.004	0.006	0.01	0.007	0.011	0.011	0.008	0.013	0.014	0.018	0.02	0.023	0.028	0.028	0.035	0.039	0.038	0.042	0.056	0.054	0.056	0.057	0.056	0.065	0.065	0.061	0.059	0.041	0.033	0.02	0.01	0.006	0.003	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.003	0.009	0.015	0.023	0.031	0.056	0.06	0.057	0.049	0.047	0.046	0.042	0.04	0.042	0.037	0.036	0.035	0.034	0.044	0.037	0.032	0.037	0.038	0.038	0.032	0.017	0.014	0.011	0.01	0.008	0.007	0.004	0.004	0.002	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.005	0.003	0.006	0.005	0.006	0.006	0.01	0.018	0.022	0.029	0.021	0.047	0.044	0.05	0.052	0.058	0.065	0.072	0.068	0.056	0.054	0.052	0.05	0.037	0.038	0.034	0.021	0.023	0.016	0.01	0.011	0.007	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.058	0	0.174	0.008	0.05	0	0.157	0.074	0	0.157	0.008	0.207	0.017	0.074	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.026	0.009	0.026	0.043	0.026	0.009	0.017	0	0.017	0.026	0.043	0.06	0.103	0.078	0.086	0.069	0.052	0.112	0.052	0.06	0.026	0.009	0.017	0.017	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.015	0.03	0.015	0.06	0.03	0.06	0.03	0.075	0.09	0.134	0.03	0.03	0.045	0.03	0.045	0.03	0.03	0.03	0.045	0.015	0.06	0.015	0.03	0	0	0.015	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.014	0.027	0.054	0.041	0.054	0.041	0.027	0.014	0.014	0.027	0	0.014	0	0	0.027	0.027	0.027	0.027	0	0.054	0.014	0.068	0.081	0.081	0.068	0.014	0.027	0.041	0.027	0.027	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0
