Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47	47-48
ClassI:LTR	0.006	0.001	0.003	0.006	0.009	0.014	0.021	0.027	0.03	0.034	0.034	0.039	0.036	0.036	0.038	0.038	0.035	0.036	0.039	0.038	0.046	0.044	0.043	0.041	0.044	0.043	0.041	0.038	0.033	0.027	0.023	0.019	0.014	0.01	0.007	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.003	0.002	0.001	0.002	0.001	0.001	0.002	0.002	0.004	0.006	0.007	0.014	0.018	0.022	0.021	0.019	0.019	0.035	0.037	0.039	0.044	0.057	0.07	0.069	0.07	0.081	0.075	0.071	0.061	0.047	0.037	0.025	0.014	0.009	0.008	0.004	0.001	0.001	0.001	0	0	0	0	0	0	0	0
Simple_repeat	0.12	0.003	0.009	0.023	0.049	0.033	0.014	0.027	0.036	0.036	0.029	0.032	0.039	0.046	0.037	0.038	0.039	0.037	0.041	0.037	0.038	0.038	0.033	0.029	0.03	0.022	0.019	0.017	0.014	0.009	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Low_complexity	0.0	0	0.001	0.002	0.0	0.002	0.006	0.01	0.011	0.012	0.021	0.029	0.039	0.037	0.046	0.058	0.059	0.061	0.067	0.066	0.066	0.061	0.058	0.052	0.054	0.039	0.034	0.031	0.02	0.017	0.014	0.008	0.008	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0.0	0
Unknown	0.003	0.002	0.004	0.005	0.008	0.017	0.02	0.026	0.033	0.037	0.044	0.05	0.052	0.054	0.053	0.052	0.055	0.053	0.055	0.05	0.05	0.044	0.041	0.034	0.031	0.03	0.022	0.018	0.017	0.011	0.01	0.008	0.005	0.002	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.009	0.009	0.021	0.008	0.014	0.016	0.013	0.02	0.023	0.042	0.052	0.051	0.061	0.054	0.032	0.031	0.039	0.036	0.02	0.04	0.038	0.038	0.038	0.037	0.031	0.03	0.04	0.029	0.026	0.014	0.013	0.019	0.016	0.009	0.008	0.011	0.004	0.005	0.002	0.002	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.003	0.002	0.006	0.011	0.015	0.017	0.024	0.025	0.03	0.033	0.035	0.032	0.041	0.045	0.044	0.048	0.054	0.053	0.05	0.054	0.055	0.048	0.045	0.039	0.036	0.028	0.026	0.022	0.02	0.016	0.013	0.009	0.007	0.004	0.003	0.002	0.001	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.009	0.002	0.002	0.004	0.009	0.015	0.016	0.016	0.024	0.021	0.024	0.041	0.041	0.038	0.051	0.051	0.057	0.058	0.076	0.07	0.052	0.061	0.043	0.038	0.034	0.032	0.025	0.021	0.021	0.014	0.012	0.009	0.005	0.004	0.001	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0	0.034	0	0	0.034	0.138	0	0.069	0.034	0	0	0.034	0	0.207	0.069	0.069	0.034	0.034	0.069	0.034	0	0.034	0.034	0.034	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.01	0	0	0.01	0	0.01	0.019	0.005	0.014	0.01	0.014	0.024	0.029	0.024	0.01	0.038	0.038	0.029	0.043	0.043	0.048	0.034	0.034	0.029	0.024	0.048	0.014	0.034	0.101	0.029	0.072	0.038	0.029	0.034	0.01	0.038	0.01	0.005	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.041	0	0	0	0	0	0	0	0.061	0.02	0	0.02	0.02	0.02	0.061	0	0.02	0.041	0.041	0.082	0.061	0.061	0.041	0.082	0.041	0.082	0.102	0	0.041	0.02	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0	0	0	0	0	0	0.038	0.026	0.064	0	0.026	0.013	0.038	0.051	0.038	0.026	0.051	0.103	0.128	0.103	0.051	0.064	0.051	0.077	0.038	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
