Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	52-53	54-55
Unknown	0.004	0.008	0.013	0.018	0.023	0.025	0.028	0.031	0.037	0.038	0.043	0.045	0.049	0.053	0.055	0.056	0.056	0.056	0.052	0.047	0.046	0.04	0.035	0.03	0.025	0.022	0.018	0.013	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.163	0.004	0.011	0.023	0.049	0.038	0.014	0.027	0.034	0.037	0.025	0.026	0.036	0.042	0.035	0.035	0.038	0.034	0.039	0.036	0.036	0.036	0.032	0.027	0.028	0.022	0.017	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.008	0.01	0.012	0.02	0.026	0.035	0.032	0.044	0.06	0.066	0.059	0.068	0.063	0.067	0.067	0.057	0.053	0.053	0.043	0.033	0.031	0.023	0.018	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0
ClassI:LINE	0.001	0.002	0.005	0.005	0.004	0.007	0.006	0.01	0.01	0.013	0.018	0.023	0.028	0.033	0.039	0.045	0.045	0.047	0.046	0.04	0.039	0.039	0.041	0.046	0.042	0.048	0.057	0.064	0.061	0.053	0.037	0.023	0.013	0.006	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.007	0.003	0.005	0.006	0.011	0.017	0.024	0.027	0.025	0.025	0.028	0.03	0.038	0.046	0.045	0.052	0.051	0.05	0.048	0.053	0.053	0.051	0.047	0.045	0.034	0.037	0.031	0.027	0.022	0.015	0.013	0.009	0.009	0.006	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.004	0.01	0.014	0.018	0.023	0.028	0.033	0.035	0.036	0.038	0.04	0.041	0.043	0.046	0.046	0.049	0.049	0.05	0.046	0.044	0.042	0.039	0.038	0.035	0.033	0.029	0.024	0.019	0.015	0.012	0.008	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.004	0.009	0.012	0.017	0.02	0.022	0.028	0.033	0.036	0.043	0.046	0.05	0.053	0.053	0.056	0.056	0.055	0.055	0.052	0.05	0.045	0.04	0.035	0.029	0.027	0.02	0.015	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.008	0.013	0.014	0.025	0.025	0.021	0.02	0.023	0.021	0.031	0.027	0.029	0.047	0.042	0.041	0.041	0.039	0.036	0.042	0.038	0.041	0.04	0.04	0.04	0.036	0.037	0.037	0.029	0.024	0.021	0.019	0.018	0.012	0.01	0.008	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.006	0	0	0.006	0.006	0.006	0.006	0.038	0.057	0.038	0.05	0.038	0.031	0.069	0.063	0.119	0.038	0.044	0.031	0.031	0.044	0.05	0.05	0.031	0.075	0.019	0.038	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.001	0.002	0.001	0.007	0.024	0.018	0.006	0.006	0.013	0.019	0.032	0.075	0.117	0.109	0.1	0.207	0.098	0.052	0.048	0.022	0.021	0.01	0.006	0.002	0	0.002	0.001	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
