Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	52-53	53-54
ClassII:TIR	0.007	0.009	0.013	0.015	0.018	0.022	0.024	0.028	0.035	0.037	0.039	0.042	0.05	0.051	0.052	0.052	0.054	0.052	0.054	0.053	0.052	0.05	0.041	0.035	0.029	0.023	0.017	0.013	0.011	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.184	0.001	0.009	0.026	0.051	0.038	0.014	0.029	0.035	0.037	0.026	0.026	0.036	0.041	0.034	0.032	0.036	0.033	0.036	0.033	0.035	0.033	0.029	0.026	0.027	0.021	0.016	0.015	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.018	0.013	0.016	0.023	0.023	0.028	0.031	0.036	0.038	0.043	0.046	0.049	0.051	0.056	0.054	0.055	0.055	0.051	0.048	0.041	0.041	0.035	0.031	0.026	0.021	0.019	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.004	0.009	0.01	0.012	0.022	0.025	0.035	0.034	0.044	0.061	0.067	0.062	0.069	0.066	0.067	0.065	0.059	0.049	0.05	0.04	0.033	0.031	0.023	0.018	0.011	0.01	0.006	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.006	0.007	0.011	0.02	0.024	0.029	0.031	0.032	0.033	0.037	0.031	0.04	0.038	0.044	0.042	0.05	0.047	0.059	0.053	0.054	0.047	0.042	0.038	0.034	0.034	0.028	0.024	0.019	0.016	0.008	0.007	0.004	0.004	0.002	0.002	0.0	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.071	0.048	0.036	0.043	0.026	0.066	0.054	0.092	0.066	0.059	0.057	0.052	0.028	0.033	0.028	0.024	0.021	0.019	0.029	0.026	0.017	0.009	0.024	0.01	0.01	0.014	0.009	0.017	0.007	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.006	0.006	0.012	0.03	0.026	0.027	0.105	0.086	0.072	0.073	0.067	0.043	0.048	0.058	0.054	0.056	0.053	0.044	0.038	0.022	0.008	0.016	0.006	0.009	0.008	0.008	0.009	0.003	0.003	0.002	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.004	0.006	0.013	0.011	0.009	0.008	0.009	0.011	0.012	0.015	0.02	0.022	0.033	0.038	0.042	0.045	0.044	0.043	0.042	0.045	0.044	0.045	0.046	0.044	0.042	0.048	0.046	0.049	0.047	0.041	0.031	0.023	0.012	0.006	0.003	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.01	0.007	0.011	0.016	0.016	0.019	0.024	0.027	0.029	0.031	0.036	0.038	0.04	0.041	0.043	0.045	0.043	0.044	0.047	0.046	0.045	0.044	0.044	0.042	0.04	0.038	0.033	0.028	0.023	0.018	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.044	0.048	0.023	0.025	0.061	0.027	0.034	0.026	0.031	0.03	0.03	0.039	0.048	0.036	0.034	0.032	0.034	0.037	0.041	0.038	0.028	0.03	0.023	0.027	0.027	0.022	0.023	0.025	0.017	0.017	0.011	0.011	0.008	0.005	0.004	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.048	0.016	0	0.016	0.079	0.095	0.063	0.063	0.095	0.111	0.095	0.048	0.079	0.032	0.016	0	0.016	0	0.048	0.032	0	0.016	0	0.016	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.047	0.023	0.023	0.012	0.035	0.012	0.047	0.081	0.052	0	0.006	0.012	0.035	0.029	0.035	0.029	0.064	0.087	0.087	0.052	0.058	0.035	0.041	0.029	0.006	0.029	0.012	0.006	0.012	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.013	0.013	0	0	0	0	0.013	0.013	0	0	0.013	0.013	0.127	0.089	0.063	0.013	0.076	0.025	0.038	0.038	0.013	0.076	0.013	0.051	0.051	0.051	0.063	0.013	0.013	0.025	0	0.025	0	0	0.013	0.025	0	0.013	0.013	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.015	0.015	0	0	0.059	0	0.015	0.015	0	0	0.015	0	0.015	0	0.059	0.015	0.044	0	0.059	0.044	0.074	0.118	0.074	0.074	0.044	0.015	0.074	0.059	0.059	0.015	0	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
