Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	46-47	50-51
Unknown	0.004	0.005	0.008	0.015	0.019	0.024	0.028	0.035	0.039	0.041	0.045	0.047	0.049	0.054	0.055	0.058	0.06	0.061	0.059	0.052	0.05	0.042	0.034	0.027	0.022	0.018	0.013	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.222	0.003	0.013	0.024	0.045	0.036	0.013	0.025	0.031	0.032	0.024	0.025	0.033	0.039	0.033	0.032	0.034	0.032	0.036	0.033	0.033	0.031	0.029	0.025	0.025	0.021	0.017	0.015	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.006	0.008	0.009	0.022	0.024	0.031	0.035	0.037	0.042	0.041	0.043	0.042	0.039	0.04	0.038	0.037	0.036	0.036	0.035	0.035	0.036	0.036	0.037	0.036	0.034	0.032	0.033	0.03	0.026	0.022	0.017	0.012	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.009	0.01	0.013	0.02	0.028	0.037	0.034	0.044	0.061	0.064	0.06	0.068	0.063	0.065	0.066	0.059	0.052	0.049	0.041	0.034	0.031	0.024	0.018	0.014	0.01	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0.0	0
ClassII:TIR	0.003	0.003	0.006	0.012	0.016	0.022	0.023	0.026	0.03	0.033	0.038	0.042	0.045	0.047	0.052	0.053	0.059	0.059	0.059	0.06	0.06	0.051	0.046	0.037	0.029	0.023	0.018	0.014	0.011	0.008	0.005	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.002	0.003	0.003	0.005	0.006	0.009	0.013	0.018	0.022	0.023	0.022	0.026	0.028	0.031	0.034	0.038	0.041	0.043	0.053	0.052	0.054	0.056	0.056	0.061	0.06	0.058	0.051	0.043	0.034	0.023	0.015	0.009	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.002	0.004	0.013	0.03	0.037	0.027	0.039	0.037	0.046	0.052	0.055	0.059	0.057	0.06	0.045	0.047	0.045	0.044	0.066	0.059	0.057	0.037	0.034	0.024	0.012	0.007	0.003	0.002	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.004	0.01	0.013	0.017	0.022	0.023	0.028	0.032	0.038	0.044	0.054	0.062	0.072	0.076	0.07	0.064	0.054	0.045	0.042	0.034	0.028	0.021	0.017	0.015	0.016	0.014	0.015	0.015	0.013	0.013	0.011	0.008	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.002	0.003	0.005	0.007	0.015	0.015	0.018	0.026	0.036	0.042	0.047	0.058	0.053	0.058	0.057	0.059	0.059	0.063	0.062	0.056	0.048	0.046	0.034	0.031	0.028	0.022	0.016	0.01	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.001	0.001	0.009	0.02	0.036	0.024	0.033	0.022	0.025	0.026	0.026	0.044	0.034	0.052	0.074	0.083	0.077	0.077	0.083	0.039	0.052	0.035	0.028	0.018	0.013	0.016	0.018	0.015	0.01	0.007	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.006	0	0	0.006	0.006	0.013	0.019	0.025	0.044	0.013	0.038	0.108	0.076	0.12	0.025	0.076	0.051	0.051	0.032	0	0.013	0.044	0.051	0.019	0.006	0	0.019	0.019	0.057	0.006	0.013	0.019	0.019	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.006	0.009	0.01	0.052	0.133	0.17	0.152	0.103	0.08	0.054	0.038	0.033	0.025	0.015	0.031	0.026	0.02	0.018	0.004	0.003	0.003	0.001	0.003	0.001	0	0.001	0.004	0.001	0.001	0.002	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0.006	0	0.012	0	0.023	0.006	0.023	0.041	0.053	0.047	0.14	0.123	0.146	0.076	0.135	0.07	0.029	0.035	0.023	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
